"","Character","Node","Appearances"
"1","Adam Smith Gradgrind",7,1
"2","Bitzer",51,14
"3","Bitzer",2,14
"4","Bitzer",68,14
"5","Bitzer",42,14
"6","Bitzer",64,14
"7","Bitzer",100,14
"8","Bitzer",63,14
"9","Bitzer",98,14
"10","Bitzer",43,14
"11","Bitzer",99,14
"12","Bitzer",10,14
"13","Bitzer",41,14
"14","Bitzer",65,14
"15","Bitzer",102,14
"16","Bounderby",19,69
"17","Bounderby",63,69
"18","Bounderby",61,69
"19","Bounderby",92,69
"20","Bounderby",25,69
"21","Bounderby",54,69
"22","Bounderby",89,69
"23","Bounderby",22,69
"24","Bounderby",45,69
"25","Bounderby",39,69
"26","Bounderby",55,69
"27","Bounderby",43,69
"28","Bounderby",33,69
"29","Bounderby",68,69
"30","Bounderby",71,69
"31","Bounderby",60,69
"32","Bounderby",41,69
"33","Bounderby",95,69
"34","Bounderby",35,69
"35","Bounderby",17,69
"36","Bounderby",51,69
"37","Bounderby",47,69
"38","Bounderby",81,69
"39","Bounderby",18,69
"40","Bounderby",70,69
"41","Bounderby",21,69
"42","Bounderby",13,69
"43","Bounderby",93,69
"44","Bounderby",11,69
"45","Bounderby",82,69
"46","Bounderby",38,69
"47","Bounderby",9,69
"48","Bounderby",83,69
"49","Bounderby",42,69
"50","Bounderby",7,69
"51","Bounderby",72,69
"52","Bounderby",64,69
"53","Bounderby",84,69
"54","Bounderby",16,69
"55","Bounderby",99,69
"56","Bounderby",79,69
"57","Bounderby",37,69
"58","Bounderby",6,69
"59","Bounderby",5,69
"60","Bounderby",46,69
"61","Bounderby",26,69
"62","Bounderby",62,69
"63","Bounderby",44,69
"64","Bounderby",36,69
"65","Bounderby",67,69
"66","Bounderby",53,69
"67","Bounderby",40,69
"68","Bounderby",48,69
"69","Bounderby",86,69
"70","Bounderby",65,69
"71","Bounderby",8,69
"72","Bounderby",10,69
"73","Bounderby",87,69
"74","Bounderby",52,69
"75","Bounderby",59,69
"76","Bounderby",34,69
"77","Bounderby",102,69
"78","Bounderby",90,69
"79","Bounderby",85,69
"80","Bounderby",14,69
"81","Bounderby",27,69
"82","Bounderby",98,69
"83","Bounderby",12,69
"84","Bounderby",56,69
"85","E.W.B. Childers",11,5
"86","E.W.B. Childers",100,5
"87","E.W.B. Childers",12,5
"88","E.W.B. Childers",97,5
"89","E.W.B. Childers",13,5
"90","Emma Gordon",14,2
"91","Emma Gordon",96,2
"92","Harthouse",70,25
"93","Harthouse",60,25
"94","Harthouse",64,25
"95","Harthouse",83,25
"96","Harthouse",68,25
"97","Harthouse",44,25
"98","Harthouse",46,25
"99","Harthouse",45,25
"100","Harthouse",65,25
"101","Harthouse",72,25
"102","Harthouse",67,25
"103","Harthouse",80,25
"104","Harthouse",62,25
"105","Harthouse",73,25
"106","Harthouse",59,25
"107","Harthouse",48,25
"108","Harthouse",63,25
"109","Harthouse",71,25
"110","Harthouse",79,25
"111","Harthouse",82,25
"112","Harthouse",61,25
"113","Harthouse",47,25
"114","Harthouse",52,25
"115","Harthouse",81,25
"116","Harthouse",98,25
"117","Jane Gradgrind",7,3
"118","Jane Gradgrind",68,3
"119","Jane Gradgrind",39,3
"120","Kidderminster",14,5
"121","Kidderminster",96,5
"122","Kidderminster",11,5
"123","Kidderminster",13,5
"124","Kidderminster",12,5
"125","Lady Scadgers",82,4
"126","Lady Scadgers",16,4
"127","Lady Scadgers",102,4
"128","Lady Scadgers",38,4
"129","Louisa Gradgrind",22,58
"130","Louisa Gradgrind",82,58
"131","Louisa Gradgrind",74,58
"132","Louisa Gradgrind",4,58
"133","Louisa Gradgrind",46,58
"134","Louisa Gradgrind",54,58
"135","Louisa Gradgrind",20,58
"136","Louisa Gradgrind",93,58
"137","Louisa Gradgrind",100,58
"138","Louisa Gradgrind",36,58
"139","Louisa Gradgrind",85,58
"140","Louisa Gradgrind",60,58
"141","Louisa Gradgrind",92,58
"142","Louisa Gradgrind",63,58
"143","Louisa Gradgrind",6,58
"144","Louisa Gradgrind",77,58
"145","Louisa Gradgrind",7,58
"146","Louisa Gradgrind",84,58
"147","Louisa Gradgrind",5,58
"148","Louisa Gradgrind",103,58
"149","Louisa Gradgrind",34,58
"150","Louisa Gradgrind",57,58
"151","Louisa Gradgrind",65,58
