"","Character","Node","Appearances"
"1","Bazzard",41,7
"2","Bazzard",39,7
"3","Bazzard",75,7
"4","Bazzard",76,7
"5","Bazzard",40,7
"6","Bazzard",37,7
"7","Bazzard",38,7
"8","Deputy",15,5
"9","Deputy",70,5
"10","Deputy",16,5
"11","Deputy",90,5
"12","Deputy",46,5
"13","Dick Datchery",90,6
"14","Dick Datchery",70,6
"15","Dick Datchery",91,6
"16","Dick Datchery",89,6
"17","Dick Datchery",68,6
"18","Dick Datchery",69,6
"19","Durdles",55,12
"20","Durdles",15,12
"21","Durdles",44,12
"22","Durdles",70,12
"23","Durdles",13,12
"24","Durdles",16,12
"25","Durdles",42,12
"26","Durdles",46,12
"27","Durdles",45,12
"28","Durdles",89,12
"29","Durdles",14,12
"30","Durdles",43,12
"31","Edwin Drood",52,33
"32","Edwin Drood",41,33
"33","Edwin Drood",35,33
"34","Edwin Drood",4,33
"35","Edwin Drood",50,33
"36","Edwin Drood",86,33
"37","Edwin Drood",5,33
"38","Edwin Drood",24,33
"39","Edwin Drood",7,33
"40","Edwin Drood",60,33
"41","Edwin Drood",6,33
"42","Edwin Drood",34,33
"43","Edwin Drood",27,33
"44","Edwin Drood",11,33
"45","Edwin Drood",61,33
"46","Edwin Drood",38,33
"47","Edwin Drood",36,33
"48","Edwin Drood",9,33
"49","Edwin Drood",10,33
"50","Edwin Drood",53,33
"51","Edwin Drood",47,33
"52","Edwin Drood",37,33
"53","Edwin Drood",31,33
"54","Edwin Drood",40,33
"55","Edwin Drood",39,33
"56","Edwin Drood",29,33
"57","Edwin Drood",22,33
"58","Edwin Drood",92,33
"59","Edwin Drood",25,33
"60","Edwin Drood",49,33
"61","Edwin Drood",66,33
"62","Edwin Drood",57,33
"63","Edwin Drood",89,33
"64","Helena Landless",24,26
"65","Helena Landless",23,26
"66","Helena Landless",22,26
"67","Helena Landless",80,26
"68","Helena Landless",74,26
"69","Helena Landless",32,26
"70","Helena Landless",71,26
"71","Helena Landless",58,26
"72","Helena Landless",34,26
"73","Helena Landless",65,26
"74","Helena Landless",51,26
"75","Helena Landless",50,26
"76","Helena Landless",27,26
"77","Helena Landless",78,26
"78","Helena Landless",52,26
"79","Helena Landless",33,26
"80","Helena Landless",79,26
"81","Helena Landless",76,26
"82","Helena Landless",35,26
"83","Helena Landless",47,26
"84","Helena Landless",19,26
"85","Helena Landless",28,26
"86","Helena Landless",81,26
"87","Helena Landless",49,26
"88","Helena Landless",18,26
"89","Helena Landless",72,26
"90","Hiram Grewgious",64,29
"91","Hiram Grewgious",30,29
"92","Hiram Grewgious",75,29
"93","Hiram Grewgious",58,29
"94","Hiram Grewgious",31,29
"95","Hiram Grewgious",47,29
"96","Hiram Grewgious",38,29
"97","Hiram Grewgious",86,29
"98","Hiram Grewgious",49,29
"99","Hiram Grewgious",82,29
"100","Hiram Grewgious",41,29
"101","Hiram Grewgious",76,29
"102","Hiram Grewgious",59,29
"103","Hiram Grewgious",40,29
"104","Hiram Grewgious",78,29
"105","Hiram Grewgious",67,29
"106","Hiram Grewgious",81,29
"107","Hiram Grewgious",60,29
"108","Hiram Grewgious",79,29
"109","Hiram Grewgious",39,29
"110","Hiram Grewgious",77,29
"111","Hiram Grewgious",29,29
"112","Hiram Grewgious",37,29
"113","Hiram Grewgious",66,29
"114","Hiram Grewgious",83,29
"115","Hiram Grewgious",80,29
"116","Hiram Grewgious",52,29
"117","Hiram Grewgious",61,29
"118","Hiram Grewgious",28,29
"119","Jack Chinaman",1,2
"120","Jack Chinaman",86,2
"121","Joe",74,3
"122","Joe",19,3
"123","Joe",56,3
"124","John Jasper",86,46
"125","John Jasper",36,46
"126","John Jasper",29,46
"127","John Jasper",32,46
"128","John Jasper",13,46
"129","John Jasper",90,46
"130","John Jasper",4,46
"131","John Jasper",55,46
"132","John Jasper",58,46
"133","John Jasper",45,46
"134","John Jasper",61,46
"135","John Jasper",59,46
"136","John Jasper",16,46
"137","John Jasper",50,46
"138","John Jasper",56,46
"139","John Jasper",69,46
"140","John Jasper",46,46
"141","John Jasper",25,46
"142","John Jasper",40,46
"143","John Jasper",18,46
"144","John Jasper",49,46
"145","John Jasper",66,46
"146","John Jasper",15,46
"147","John Jasper",12,46
"148","John Jasper",44,46
"149","John Jasper",71,46
"150","John Jasper",22,46
"151","John Jasper",6,46
"152","John Jasper",53,46
"153","John Jasper",54,46
"154","John Jasper",62,46
"155","John Jasper",31,46
"156","John Jasper",81,46
"157","John Jasper",7,46
"158","John Jasper",60,46
"159","John Jasper",24,46
"160","John Jasper",30,46
"161","John Jasper",14,46
"162","John Jasper",42,46
"163","John Jasper",57,46
"164","John Jasper",35,46
"165","John Jasper",5,46
"166","John Jasper",89,46
"167","John Jasper",43,46
"168","John Jasper",76,46
"169","John Jasper",26,46
"170","Lieutenant Tartar",81,7
"171","Lieutenant Tartar",83,7
"172","Lieutenant Tartar",78,7
"173","Lieutenant Tartar",66,7
"174","Lieutenant Tartar",67,7
"175","Lieutenant Tartar",79,7
"176","Lieutenant Tartar",80,7
"177","Lobley",83,1
"178","Luke Honeythunder",64,6
"179","Luke Honeythunder",22,6
"180","Luke Honeythunder",18,6
"181","Luke Honeythunder",19,6
"182","Luke Honeythunder",63,6
"183","Luke Honeythunder",17,6
"184","Miss Brobity",13,1
"185","Miss Dean",4,1
"186","Miss Ferdinand",30,3
"187","Miss Ferdinand",47,3
"188","Miss Ferdinand",28,3
"189","Miss Giggles",47,2
"190","Miss Giggles",28,2
"191","Miss Jennings",27,1
"192","Miss Rickitts",47,1
"193","Miss Twinkleton",49,20
"194","Miss Twinkleton",47,20
"195","Miss Twinkleton",85,20
"196","Miss Twinkleton",18,20
"197","Miss Twinkleton",71,20
"198","Miss Twinkleton",20,20
"199","Miss Twinkleton",22,20
"200","Miss Twinkleton",8,20
"201","Miss Twinkleton",81,20
"202","Miss Twinkleton",74,20
"203","Miss Twinkleton",78,20
"204","Miss Twinkleton",27,20
"205","Miss Twinkleton",28,20
"206","Miss Twinkleton",29,20
"207","Miss Twinkleton",84,20
"208","Miss Twinkleton",48,20
"209","Miss Twinkleton",83,20
"210","Miss Twinkleton",9,20
"211","Miss Twinkleton",10,20
"212","Miss Twinkleton",30,20
"213","Mr Porters",9,1
"214","Mr Tope",42,10
"215","Mr Tope",4,10
"216","Mr Tope",43,10
"217","Mr Tope",69,10
"218","Mr Tope",59,10
"219","Mr Tope",55,10
"220","Mr Tope",90,10
"221","Mr Tope",51,10
"222","Mr Tope",22,10
"223","Mr Tope",19,10
"224","Mrs Billickin",85,4
"225","Mrs Billickin",82,4
"226","Mrs Billickin",84,4
"227","Mrs Billickin",83,4
"228","Mrs Crisparkle",26,9
"229","Mrs Crisparkle",19,9
"230","Mrs Crisparkle",61,9
"231","Mrs Crisparkle",32,9
"232","Mrs Crisparkle",33,9
"233","Mrs Crisparkle",64,9
"234","Mrs Crisparkle",17,9
"235","Mrs Crisparkle",22,9
"236","Mrs Crisparkle",18,9
"237","Mrs Dean",4,1
"238","Mrs Tisher",48,8
"239","Mrs Tisher",27,8
"240","Mrs Tisher",22,8
"241","Mrs Tisher",8,8
"242","Mrs Tisher",47,8
"243","Mrs Tisher",71,8
"244","Mrs Tisher",10,8
"245","Mrs Tisher",9,8
"246","Mrs Tope",69,6
"247","Mrs Tope",68,6
"248","Mrs Tope",59,6
"249","Mrs Tope",90,6
"250","Mrs Tope",5,6
"251","Mrs Tope",51,6
"252","Neville Landless",34,36
"253","Neville Landless",66,36
"254","Neville Landless",44,36
"255","Neville Landless",72,36
"256","Neville Landless",24,36
"257","Neville Landless",81,36
"258","Neville Landless",56,36
"259","Neville Landless",26,36
"260","Neville Landless",76,36
"261","Neville Landless",67,36
"262","Neville Landless",57,36
"263","Neville Landless",18,36
"264","Neville Landless",64,36
"265","Neville Landless",19,36
"266","Neville Landless",79,36
"267","Neville Landless",25,36
