"","Character","Node","Appearances"
"1","Charles St EvrŽmonde",107,54
"2","Charles St EvrŽmonde",90,54
"3","Charles St EvrŽmonde",153,54
"4","Charles St EvrŽmonde",128,54
"5","Charles St EvrŽmonde",106,54
"6","Charles St EvrŽmonde",35,54
"7","Charles St EvrŽmonde",116,54
"8","Charles St EvrŽmonde",79,54
"9","Charles St EvrŽmonde",101,54
"10","Charles St EvrŽmonde",36,54
"11","Charles St EvrŽmonde",113,54
"12","Charles St EvrŽmonde",50,54
"13","Charles St EvrŽmonde",149,54
"14","Charles St EvrŽmonde",56,54
"15","Charles St EvrŽmonde",124,54
"16","Charles St EvrŽmonde",145,54
"17","Charles St EvrŽmonde",102,54
"18","Charles St EvrŽmonde",150,54
"19","Charles St EvrŽmonde",80,54
"20","Charles St EvrŽmonde",93,54
"21","Charles St EvrŽmonde",148,54
"22","Charles St EvrŽmonde",151,54
"23","Charles St EvrŽmonde",81,54
"24","Charles St EvrŽmonde",51,54
"25","Charles St EvrŽmonde",121,54
"26","Charles St EvrŽmonde",104,54
"27","Charles St EvrŽmonde",155,54
"28","Charles St EvrŽmonde",158,54
"29","Charles St EvrŽmonde",58,54
"30","Charles St EvrŽmonde",123,54
"31","Charles St EvrŽmonde",44,54
"32","Charles St EvrŽmonde",105,54
"33","Charles St EvrŽmonde",122,54
"34","Charles St EvrŽmonde",57,54
"35","Charles St EvrŽmonde",53,54
"36","Charles St EvrŽmonde",118,54
"37","Charles St EvrŽmonde",34,54
"38","Charles St EvrŽmonde",103,54
"39","Charles St EvrŽmonde",142,54
"40","Charles St EvrŽmonde",159,54
"41","Charles St EvrŽmonde",111,54
"42","Charles St EvrŽmonde",115,54
"43","Charles St EvrŽmonde",78,54
"44","Charles St EvrŽmonde",100,54
"45","Charles St EvrŽmonde",27,54
"46","Charles St EvrŽmonde",43,54
"47","Charles St EvrŽmonde",143,54
"48","Charles St EvrŽmonde",134,54
"49","Charles St EvrŽmonde",108,54
"50","Charles St EvrŽmonde",112,54
"51","Charles St EvrŽmonde",119,54
"52","Charles St EvrŽmonde",87,54
"53","Charles St EvrŽmonde",88,54
"54","Charles St EvrŽmonde",125,54
"55","Doctor Manette",107,55
"56","Doctor Manette",19,55
"57","Doctor Manette",33,55
"58","Doctor Manette",34,55
"59","Doctor Manette",41,55
"60","Doctor Manette",44,55
"61","Doctor Manette",115,55
"62","Doctor Manette",35,55
"63","Doctor Manette",12,55
"64","Doctor Manette",31,55
"65","Doctor Manette",59,55
"66","Doctor Manette",38,55
"67","Doctor Manette",113,55
"68","Doctor Manette",136,55
"69","Doctor Manette",142,55
"70","Doctor Manette",124,55
"71","Doctor Manette",43,55
"72","Doctor Manette",10,55
"73","Doctor Manette",77,55
"74","Doctor Manette",62,55
"75","Doctor Manette",80,55
"76","Doctor Manette",11,55
"77","Doctor Manette",84,55
"78","Doctor Manette",128,55
"79","Doctor Manette",81,55
"80","Doctor Manette",9,55
"81","Doctor Manette",30,55
"82","Doctor Manette",85,55
"83","Doctor Manette",58,55
"84","Doctor Manette",86,55
"85","Doctor Manette",111,55
"86","Doctor Manette",145,55
"87","Doctor Manette",78,55
"88","Doctor Manette",141,55
"89","Doctor Manette",64,55
"90","Doctor Manette",21,55
"91","Doctor Manette",146,55
"92","Doctor Manette",151,55
"93","Doctor Manette",65,55
"94","Doctor Manette",61,55
"95","Doctor Manette",82,55
"96","Doctor Manette",143,55
"97","Doctor Manette",40,55
"98","Doctor Manette",15,55
"99","Doctor Manette",125,55
