"","V1","V2"
"1","3","John Willet"
"2","4","Joe Willet"
"3","4","John Willet"
"4","4","Phil Parkes"
"5","4","Tom Cobb"
"6","5","Emma Haredale"
"7","5","Geoffrey Haredale"
"8","5","Joe Willet"
"9","5","John Willet"
"10","5","Phil Parkes"
"11","6","Geoffrey Haredale"
"12","6","Joe Willet"
"13","6","Solomon Daisy"
"14","7","Joe Willet"
"15","6","John Willet"
"16","7","Solomon Daisy"
"17","9","Gabriel Varden"
"18","8","Joe Willet"
"19","10","Gabriel Varden"
"20","10","Joe Willet"
"21","8","John Willet"
"22","10","Martha Varden"
"23","8","Solomon Daisy"
"24","11","Gabriel Varden"
"25","12","Barnaby Rudge"
"26","12","Gabriel Varden"
"27","11","Martha Varden"
"28","11","Dolly Varden"
"29","13","Gabriel Varden"
"30","15","Gabriel Varden"
"31","13","Barnaby Rudge"
"32","15","Dolly Varden"
"33","6","Emma Haredale"
"34","16","Gabriel Varden"
"35","11","Joe Willet"
"36","11","John Willet"
"37","13","Martha Varden"
"38","17","Barnaby Rudge"
"39","17","Gabriel Varden"
"40","19","Gabriel Varden"
"41","19","Barnaby Rudge"
"42","20","Gabriel Varden"
"43","17","John Willet"
"44","1","Mary Jones"
"45","21","Barnaby Rudge"
"46","17","Edward Chester"
"47","21","Gabriel Varden"
"48","22","Barnaby Rudge"
"49","22","Edward Chester"
"50","22","Gabriel Varden"
"51","21","Mary Jones"
"52","17","Mrs Rudge"
"53","17","Dolly Varden"
"54","23","Gabriel Varden"
"55","17","Martha Varden"
"56","23","Barnaby Rudge"
"57","25","Dolly Varden"
"58","25","Gabriel Varden"
"59","25","Martha Varden"
"60","25","Miggs"
"61","27","Stagg"
"62","21","John Willet"
"63","28","Stagg"
"64","26","Dolly Varden"
"65","26","Miggs"
"66","30","Miggs"
"67","29","John Willet"
"68","26","Barnaby Rudge"
"69","7","Geoffrey Haredale"
"70","1","Hugh"
"71","17","Joe Willet"
"72","19","John Chester"
"73","32","John Willet"
"74","23","Mrs Rudge"
"75","33","Barnaby Rudge"
"76","33","Geoffrey Haredale"
"77","33","John Chester"
"78","33","John Willet"
"79","34","Barnaby Rudge"
"80","33","Hugh"
"81","34","John Willet"
"82","35","Barnaby Rudge"
"83","34","Geoffrey Haredale"
"84","35","Hugh"
"85","33","Joe Willet"
"86","34","John Chester"
"87","35","John Willet"
"88","6","Phil Parkes"
"89","11","Solomon Daisy"
"90","36","Barnaby Rudge"
"91","36","Geoffrey Haredale"
"92","36","John Willet"
"93","36","Solomon Daisy"
"94","37","Geoffrey Haredale"
"95","36","John Chester"
"96","17","Emma Haredale"
"97","38","Geoffrey Haredale"
"98","38","John Chester"
"99","37","John Willet"
"100","38","Ned Dennis"
"101","37","Barnaby Rudge"
"102","36","Hugh"
"103","39","John Chester"
"104","39","John Willet"
"105","40","Hugh"
"106","36","Joe Willet"
"107","40","John Willet"
"108","41","John Willet"
"109","30","Dolly Varden"
"110","26","Gabriel Varden"
"111","41","Joe Willet"
"112","42","John Willet"
"113","26","Martha Varden"
"114","41","The Black Lion"
"115","43","Dolly Varden"
"116","43","Gabriel Varden"
"117","43","Joe Willet"
"118","43","John Willet"
"119","43","Martha Varden"
"120","31","Miggs"
"121","44","Dolly Varden"
"122","44","Gabriel Varden"
"123","44","Joe Willet"
"124","44","John Willet"
"125","44","Martha Varden"
"126","44","Miggs"
"127","43","The Black Lion"
"128","23","Edward Chester"
"129","39","Geoffrey Haredale"
"130","45","Joe Willet"
"131","45","John Willet"
"132","46","Edward Chester"
"133","46","Geoffrey Haredale"
"134","41","Hugh"
"135","46","Joe Willet"
"136","46","John Willet"
"137","47","Edward Chester"
"138","39","Emma Haredale"
"139","40","John Chester"
"140","47","John Willet"
"141","39","Ned Dennis"
"142","48","Edward Chester"
"143","48","Emma Haredale"
"144","47","Geoffrey Haredale"
"145","48","Ned Dennis"
"146","49","Edward Chester"
"147","49","Emma Haredale"
"148","49","Ned Dennis"
"149","48","John Chester"
"150","40","Barnaby Rudge"
"151","47","Hugh"
"152","55","Barnaby Rudge"
"153","55","Hugh"
"154","45","Miggs"
"155","29","Stagg"
"156","58","Stagg"
"157","45","Dolly Varden"
"158","50","Edward Chester"
"159","45","Gabriel Varden"
"160","45","Martha Varden"
"161","58","Miggs"
"162","56","Barnaby Rudge"
"163","60","Dolly Varden"
"164","60","Edward Chester"
"165","60","Gabriel Varden"
"166","48","John Willet"
"167","60","Martha Varden"
"168","60","Miggs"
"169","61","Dolly Varden"
"170","61","Gabriel Varden"
"171","47","Joe Willet"
"172","61","John Willet"
"173","61","Martha Varden"
"174","61","Miggs"
"175","62","Dolly Varden"
"176","62","Joe Willet"
"177","62","John Willet"
"178","62","Martha Varden"
"179","63","Dolly Varden"
"180","61","Edward Chester"
"181","50","Emma Haredale"
"182","62","Gabriel Varden"
"183","49","Geoffrey Haredale"
"184","63","Joe Willet"
"185","64","Dolly Varden"
"186","64","Edward Chester"
"187","64","Emma Haredale"
"188","64","Geoffrey Haredale"
"189","65","Dolly Varden"
"190","56","Hugh"
"191","64","Joe Willet"
"192","66","Dolly Varden"
"193","66","Hugh"
"194","66","Joe Willet"
"195","63","John Willet"
"196","63","Martha Varden"
"197","67","Dolly Varden"
"198","65","Emma Haredale"
"199","67","Hugh"
"200","67","Joe Willet"
"201","67","John Willet"
"202","67","Martha Varden"
"203","68","Dolly Varden"
"204","64","Gabriel Varden"
"205","68","Hugh"
"206","68","Joe Willet"
"207","68","Martha Varden"
"208","62","Miggs"
"209","69","Dolly Varden"
"210","69","Gabriel Varden"
"211","68","John Willet"
"212","69","Martha Varden"
"213","69","Miggs"
"214","70","Martha Varden"
"215","65","Edward Chester"
"216","69","Hugh"
"217","51","John Chester"
"218","50","Ned Dennis"
"219","72","Hugh"
"220","72","John Chester"
"221","73","Hugh"
"222","73","John Chester"
"223","74","John Chester"
"224","70","Gabriel Varden"
"225","75","John Chester"
"226","16","Simon Tappertit"
"227","61","Barnaby Rudge"
"228","70","Dolly Varden"
"229","76","John Chester"
"230","70","John Willet"
"231","70","Miggs"
"232","7","Mr Rudge"
"233","33","Mrs Rudge"
"234","77","Barnaby Rudge"
"235","65","Geoffrey Haredale"
"236","23","Mary Jones"
"237","78","Barnaby Rudge"
"238","68","Emma Haredale"
"239","78","Geoffrey Haredale"
"240","79","Barnaby Rudge"
"241","79","Emma Haredale"
"242","79","Geoffrey Haredale"
"243","74","Hugh"
"244","69","Joe Willet"
"245","80","Barnaby Rudge"
"246","80","Hugh"
"247","77","John Willet"
"248","81","Barnaby Rudge"
"249","72","Edward Chester"
"250","76","Gabriel Varden"
"251","80","Geoffrey Haredale"
"252","71","Martha Varden"
"253","78","Mary Jones"
"254","77","Mr Rudge"
"255","82","Barnaby Rudge"
"256","82","Gabriel Varden"
"257","82","Geoffrey Haredale"
"258","77","John Chester"
"259","72","Ned Dennis"
