"","V1","V2"
"1","2","Mary Jones"
"2","4","John Willet"
"3","5","John Willet"
"4","5","Phil Parkes"
"5","5","Tom Cobb"
"6","6","Emma Haredale"
"7","6","Geoffrey Haredale"
"8","6","Joe Willet"
"9","6","John Willet"
"10","6","Phil Parkes"
"11","6","Tom Cobb"
"12","7","Emma Haredale"
"13","7","Geoffrey Haredale"
"14","7","Joe Willet"
"15","7","John Willet"
"16","8","Geoffrey Haredale"
"17","8","Joe Willet"
"18","8","Solomon Daisy"
"19","9","Joe Willet"
"20","9","John Willet"
"21","9","Solomon Daisy"
"22","11","Gabriel Varden"
"23","11","Joe Willet"
"24","12","Joe Willet"
"25","13","Gabriel Varden"
"26","13","Joe Willet"
"27","13","John Willet"
"28","13","Solomon Daisy"
"29","14","Gabriel Varden"
"30","14","Joe Willet"
"31","14","John Willet"
"32","14","Martha Varden"
"33","15","Barnaby Rudge"
"34","15","Gabriel Varden"
"35","15","Martha Varden"
"36","17","Gabriel Varden"
"37","18","Dolly Varden"
"38","18","Gabriel Varden"
"39","19","Barnaby Rudge"
"40","19","Emma Haredale"
"41","19","Gabriel Varden"
"42","20","Dolly Varden"
"43","20","Gabriel Varden"
"44","20","Joe Willet"
"45","20","John Willet"
"46","20","Martha Varden"
"47","21","Barnaby Rudge"
"48","21","Gabriel Varden"
"49","21","John Willet"
"50","22","Gabriel Varden"
"51","23","Gabriel Varden"
"52","23","John Willet"
"53","23","Mary Jones"
"54","24","Barnaby Rudge"
"55","24","Edward Chester"
"56","24","Gabriel Varden"
"57","25","Barnaby Rudge"
"58","25","Edward Chester"
"59","25","Gabriel Varden"
"60","26","Barnaby Rudge"
"61","26","Edward Chester"
"62","26","Gabriel Varden"
"63","26","Mary Jones"
"64","26","Mrs Rudge"
"65","27","Barnaby Rudge"
"66","27","Gabriel Varden"
"67","27","Martha Varden"
"68","28","Dolly Varden"
"69","28","Gabriel Varden"
"70","28","Martha Varden"
"71","28","Miggs"
"72","29","Barnaby Rudge"
"73","31","Stagg"
"74","32","Stagg"
"75","33","John Willet"
"76","34","Miggs"
"77","35","Dolly Varden"
"78","35","Miggs"
"79","36","Miggs"
"80","37","John Willet"
"81","38","Barnaby Rudge"
"82","38","Hugh"
"83","38","Joe Willet"
"84","38","John Willet"
"85","39","Barnaby Rudge"
"86","39","Geoffrey Haredale"
"87","39","John Chester"
"88","39","John Willet"
"89","39","Mrs Rudge"
"90","40","Barnaby Rudge"
"91","40","Geoffrey Haredale"
"92","40","Hugh"
"93","40","John Chester"
"94","40","John Willet"
"95","41","Barnaby Rudge"
"96","42","Barnaby Rudge"
"97","42","Geoffrey Haredale"
"98","42","Hugh"
"99","42","Joe Willet"
"100","42","John Chester"
"101","42","John Willet"
"102","42","Phil Parkes"
"103","42","Solomon Daisy"
"104","43","Barnaby Rudge"
"105","43","Geoffrey Haredale"
"106","43","John Chester"
"107","43","John Willet"
"108","43","Phil Parkes"
"109","43","Solomon Daisy"
"110","44","Geoffrey Haredale"
"111","44","John Chester"
"112","45","Emma Haredale"
"113","45","Geoffrey Haredale"
"114","45","John Chester"
"115","45","Ned Dennis"
"116","46","Barnaby Rudge"
"117","46","Geoffrey Haredale"
"118","46","Hugh"
"119","46","John Chester"
"120","46","John Willet"
"121","47","Gabriel Varden"
"122","47","Hugh"
"123","47","Joe Willet"
"124","47","John Chester"
"125","47","John Willet"
"126","48","Hugh"
"127","48","Joe Willet"
"128","48","John Willet"
"129","48","The Black Lion"
"130","49","Dolly Varden"
"131","49","Gabriel Varden"
"132","49","Joe Willet"
"133","49","John Willet"
"134","49","Martha Varden"
"135","49","The Black Lion"
"136","50","Dolly Varden"
"137","50","Gabriel Varden"
"138","50","Joe Willet"
"139","50","John Willet"
"140","50","Martha Varden"
"141","50","Miggs"
"142","51","Dolly Varden"
"143","51","Gabriel Varden"
"144","51","Joe Willet"
"145","51","John Willet"
"146","51","Martha Varden"
"147","51","Miggs"
"148","51","The Black Lion"
"149","52","Edward Chester"
"150","52","Geoffrey Haredale"
"151","52","Joe Willet"
"152","52","John Willet"
"153","53","Edward Chester"
"154","53","Geoffrey Haredale"
"155","53","Hugh"
"156","53","Joe Willet"
"157","53","John Willet"
"158","54","Edward Chester"
"159","54","John Chester"
"160","54","John Willet"
"161","54","Ned Dennis"
"162","55","Edward Chester"
"163","55","Emma Haredale"
"164","55","Geoffrey Haredale"
"165","55","Ned Dennis"
"166","56","Edward Chester"
"167","56","Ned Dennis"
"168","57","Edward Chester"
"169","57","Emma Haredale"
"170","57","John Chester"
"171","57","Ned Dennis"
"172","62","Barnaby Rudge"
"173","63","Barnaby Rudge"
"174","63","Hugh"
"175","64","Barnaby Rudge"
"176","65","Miggs"
"177","66","Miggs"
"178","66","Stagg"
"179","67","Dolly Varden"
"180","67","Edward Chester"
"181","67","Gabriel Varden"
"182","67","Martha Varden"
"183","67","Miggs"
"184","68","Barnaby Rudge"
"185","68","Dolly Varden"
"186","68","Edward Chester"
"187","68","Gabriel Varden"
"188","68","John Willet"
"189","68","Martha Varden"
"190","68","Miggs"
"191","69","Dolly Varden"
"192","69","Martha Varden"
"193","69","Miggs"
"194","70","Dolly Varden"
"195","70","Gabriel Varden"
"196","70","Joe Willet"
"197","70","John Willet"
"198","70","Martha Varden"
"199","72","Dolly Varden"
"200","72","Emma Haredale"
"201","73","Dolly Varden"
"202","73","Edward Chester"
"203","73","Emma Haredale"
"204","73","Gabriel Varden"
"205","73","Geoffrey Haredale"
"206","73","Joe Willet"
"207","74","Dolly Varden"
"208","75","Dolly Varden"
"209","75","Hugh"
"210","75","Joe Willet"
"211","76","Dolly Varden"
"212","76","Hugh"
"213","76","Joe Willet"
"214","76","John Willet"
"215","76","Martha Varden"
"216","77","Dolly Varden"
"217","77","Emma Haredale"
"218","77","Hugh"
"219","77","Joe Willet"
"220","77","John Willet"
"221","77","Martha Varden"
"222","78","Dolly Varden"
"223","78","Joe Willet"
"224","78","John Willet"
"225","78","Martha Varden"
"226","79","Dolly Varden"
"227","79","Gabriel Varden"
"228","79","Hugh"
"229","79","Joe Willet"
"230","79","Martha Varden"
"231","79","Miggs"
"232","80","Dolly Varden"
"233","80","Gabriel Varden"
"234","80","Martha Varden"
"235","80","Miggs"
"236","81","Dolly Varden"
"237","81","Gabriel Varden"
"238","81","John Willet"
"239","81","Martha Varden"
"240","81","Miggs"
"241","82","Edward Chester"
"242","82","Hugh"
"243","82","John Chester"
"244","82","Ned Dennis"
"245","83","Dolly Varden"
"246","83","Gabriel Varden"
"247","83","Hugh"
"248","83","John Chester"
"249","84","Hugh"
"250","84","John Chester"
"251","85","Hugh"
"252","85","John Chester"
"253","86","Gabriel Varden"
"254","86","John Chester"
"255","86","Simon Tappertit"
"256","87","Barnaby Rudge"
"257","87","Dolly Varden"
"258","87","John Chester"
"259","87","John Willet"
"260","87","Miggs"
"261","87","Mr Rudge"
"262","87","Mrs Rudge"
"263","88","Barnaby Rudge"
"264","89","Barnaby Rudge"
"265","89","Emma Haredale"
"266","89","Geoffrey Haredale"
"267","89","Mary Jones"
"268","90","Emma Haredale"
"269","90","Geoffrey Haredale"
