"","V1","V2"
"1","2","Mr Gridley"
"2","4","Lady Dedlock"
"3","4","Sir Dedlock"
"4","5","Lady Dedlock"
"5","5","Mercury"
"6","5","Mr Tulkinghorn"
"7","5","Sir Dedlock"
"8","7","Esther Summerson"
"9","7","Mrs Chadband"
"10","8","Conversation Kenge"
"11","8","Esther Summerson"
"12","8","Miss Barbary"
"13","8","Mrs Chadband"
"14","9","Conversation Kenge"
"15","9","Esther Summerson"
"16","9","John Jarndyce"
"17","9","Mrs Chadband"
"18","10","Conversation Kenge"
"19","10","Esther Summerson"
"20","10","John Jarndyce"
"21","10","Miss Donny"
"22","11","Conversation Kenge"
"23","11","John Jarndyce"
"24","12","Ada Clare"
"25","12","Conversation Kenge"
"26","12","John Jarndyce"
"27","12","Richard Carstone"
"28","13","Ada Clare"
"29","13","Conversation Kenge"
"30","13","John Jarndyce"
"31","13","Richard Carstone"
"32","14","Ada Clare"
"33","14","John Jarndyce"
"34","15","Ada Clare"
"35","11","Esther Summerson"
"36","14","Mr Jellby"
"37","15","Peepy Jellby"
"38","14","Richard Carstone"
"39","16","Ada Clare"
"40","15","John Jarndyce"
"41","16","Richard Carstone"
"42","16","Peepy Jellby"
"43","17","Ada Clare"
"44","16","Mr Quale"
"45","18","Peepy Jellby"
"46","17","Priscilla"
"47","17","Richard Carstone"
"48","19","Ada Clare"
"49","19","Richard Carstone"
"50","20","Ada Clare"
"51","20","Krook"
"52","20","Richard Carstone"
"53","21","Ada Clare"
"54","21","Richard Carstone"
"55","22","Ada Clare"
"56","15","Caroline Caddy"
"57","17","John Jarndyce"
"58","21","Krook"
"59","19","Peepy Jellby"
"60","22","Richard Carstone"
"61","23","Ada Clare"
"62","16","Esther Summerson"
"63","23","John Jarndyce"
"64","23","Richard Carstone"
"65","24","Ada Clare"
"66","23","Caroline Caddy"
"67","24","Esther Summerson"
"68","24","John Jarndyce"
"69","24","Richard Carstone"
"70","25","Ada Clare"
"71","25","John Jarndyce"
"72","25","Richard Carstone"
"73","26","John Jarndyce"
"74","26","Mr Skimpole"
"75","26","Richard Carstone"
"76","26","Ada Clare"
"77","27","John Jarndyce"
"78","27","Mr Skimpole"
"79","27","Richard Carstone"
"80","28","Ada Clare"
"81","14","Conversation Kenge"
"82","28","John Jarndyce"
"83","28","Mr Skimpole"
"84","28","Richard Carstone"
"85","29","Ada Clare"
"86","25","Esther Summerson"
"87","29","John Jarndyce"
"88","29","Mr Skimpole"
"89","29","Richard Carstone"
"90","30","Ada Clare"
"91","30","Esther Summerson"
"92","30","John Jarndyce"
"93","30","Mr Skimpole"
"94","30","Richard Carstone"
"95","31","Esther Summerson"
"96","6","Lady Dedlock"
"97","6","Sir Dedlock"
"98","6","Mr Tulkinghorn"
"99","32","Mrs Rouncewell"
"100","32","Sir Dedlock"
"101","14","William Guppy"
"102","32","Lady Dedlock"
"103","33","Mrs Rouncewell"
"104","33","Rosa"
"105","33","Sir Dedlock"
"106","33","Watt Rouncewell"
"107","33","William Guppy"
"108","34","Lady Dedlock"
"109","34","Mrs Rouncewell"
"110","34","Rosa"
"111","34","Watt Rouncewell"
"112","31","Ada Clare"
"113","31","John Jarndyce"
"114","31","Mr Skimpole"
"115","36","Ada Clare"
"116","32","Esther Summerson"
"117","36","John Jarndyce"
"118","37","Ada Clare"
"119","37","Esther Summerson"
"120","37","John Jarndyce"
"121","31","Richard Carstone"
"122","38","Ada Clare"
"123","38","John Jarndyce"
"124","16","Mr Jellby"
"125","39","Ada Clare"
"126","39","Egbert Pardiggle"
"127","39","Francis Pardiggle"
"128","39","Mr Pardiggle"
"129","39","Mrs Pardiggle"
"130","39","Oswald Pardiggle"
"131","40","Ada Clare"
"132","39","John Jarndyce"
"133","40","Mrs Pardiggle"
"134","41","Ada Clare"
"135","38","Esther Summerson"
"136","41","John Jarndyce"
"137","38","Richard Carstone"
"138","42","Ada Clare"
"139","29","Coavinses"
"140","42","Esther Summerson"
"141","42","John Jarndyce"
"142","35","Lady Dedlock"
"143","36","Mr Skimpole"
"144","42","Richard Carstone"
"145","34","Sir Dedlock"
"146","43","Ada Clare"
"147","43","John Jarndyce"
"148","43","Richard Carstone"
"149","44","Ada Clare"
"150","44","John Jarndyce"
"151","43","Lady Dedlock"
"152","44","Lawrence Boythorn"
"153","44","Richard Carstone"
"154","43","Sir Dedlock"
"155","45","Ada Clare"
"156","29","Conversation Kenge"
"157","45","John Jarndyce"
"158","45","Lawrence Boythorn"
"159","45","Richard Carstone"
"160","34","William Guppy"
"161","46","William Guppy"
"162","47","William Guppy"
"163","43","Coavinses"
"164","49","Guster"
"165","49","Mr Snagsby"
