"Character","Node"
"Ada Clare",112
"Alfred Pardiggle",1
"Allan Woodcourt",43
"Arethusa Skimpole",3
"Bartholomew Smallweed",8
"Bob Stables",4
"Captain Hawden",10
"Captain Swosser",3
"Caroline Caddy",35
"Charley",37
"Coavinses",9
"Conversation Kenge",24
"Darby",2
"Egbert Pardiggle",2
"Emma Neckett",8
"Esther Summerson",80
"Francis Pardiggle",2
"George Rouncewell",39
"Grandfather Smallweed",26
"Guster",14
"Inspector Bucket",45
"James George Bogsby",2
"Jenny",8
"Jo",28
"Jobling",21
"John Jarndyce",95
"Judy Smallweed",18
"Kitty Skimpole",3
"Krook",29
"Lady Dedlock",66
"Laura Skimpole",3
"Lawrence Boythorn",22
"Little Swills",8
"Liz",5
"Lord Boodle",4
"Mademoiselle Hortense",12
"Malta Bagnet",8
"Matthew Bagnet",16
"Mercury",19
"Miss Barbary",4
"Miss Donny",2
"Miss Flite",27
"Miss Wisk",1
"Mooney",1
"Mr Badger",8
"Mr Gridley",21
"Mr Grubble",1
"Mr Gusher",2
"Mr Jellby",16
"Mr Pardiggle",2
"Mr Quale",6
"Mr Rouncewell",12
"Mr Skimpole",34
"Mr Snagsby",34
"Mr Tangle",1
"Mr Tulkinghorn",61
"Mr Turveydrop",17
"Mrs Badger",5
"Mrs Bagnet",15
"Mrs Blinder",7
"Mrs Bucket",5
"Mrs Chadband",13
"Mrs Guppy",4
"Mrs Pardiggle",6
"Mrs Perkins",8
"Mrs Piper",8
"Mrs Rouncewell",24
"Mrs Skimpole",4
"Mrs Smallweed",10
"Mrs Snagsby",26
"Mrs Woodcourt",9
"Oswald Pardiggle",2
"Peepy Jellby",18
"Peffer",1
"Phil Squod",13
"Polly",2
"Prince Turvey",17
"Priscilla",2
"Professor Dingo",4
"Quebec Bagnet",8
"Reverend Chadband",10
"Richard Carstone",92
"Rosa",10
"Sir Dedlock",71
"Sladdery",2
"Thomas",1
"Tom Neckett",9
"Vholes",22
"Volumnia Dedlock",17
"Watt Rouncewell",5
"William Buffy",7
"William Guppy",45
"Woolwich Bagnet",10
