"","Character","Node","Appearances"
"1","Adams",118,4
"2","Adams",100,4
"3","Adams",104,4
"4","Adams",107,4
"5","Agnes Wickfield",227,87
"6","Agnes Wickfield",333,87
"7","Agnes Wickfield",383,87
"8","Agnes Wickfield",167,87
"9","Agnes Wickfield",372,87
"10","Agnes Wickfield",103,87
"11","Agnes Wickfield",117,87
"12","Agnes Wickfield",216,87
"13","Agnes Wickfield",164,87
"14","Agnes Wickfield",269,87
"15","Agnes Wickfield",272,87
"16","Agnes Wickfield",156,87
"17","Agnes Wickfield",175,87
"18","Agnes Wickfield",361,87
"19","Agnes Wickfield",327,87
"20","Agnes Wickfield",191,87
"21","Agnes Wickfield",122,87
"22","Agnes Wickfield",124,87
"23","Agnes Wickfield",337,87
"24","Agnes Wickfield",266,87
"25","Agnes Wickfield",357,87
"26","Agnes Wickfield",373,87
"27","Agnes Wickfield",370,87
"28","Agnes Wickfield",334,87
"29","Agnes Wickfield",277,87
"30","Agnes Wickfield",365,87
"31","Agnes Wickfield",162,87
"32","Agnes Wickfield",157,87
"33","Agnes Wickfield",384,87
"34","Agnes Wickfield",99,87
"35","Agnes Wickfield",344,87
"36","Agnes Wickfield",108,87
"37","Agnes Wickfield",253,87
"38","Agnes Wickfield",254,87
"39","Agnes Wickfield",123,87
"40","Agnes Wickfield",342,87
"41","Agnes Wickfield",231,87
"42","Agnes Wickfield",264,87
"43","Agnes Wickfield",278,87
"44","Agnes Wickfield",102,87
"45","Agnes Wickfield",371,87
"46","Agnes Wickfield",101,87
"47","Agnes Wickfield",251,87
"48","Agnes Wickfield",163,87
"49","Agnes Wickfield",119,87
"50","Agnes Wickfield",270,87
"51","Agnes Wickfield",276,87
"52","Agnes Wickfield",160,87
"53","Agnes Wickfield",354,87
"54","Agnes Wickfield",250,87
"55","Agnes Wickfield",329,87
"56","Agnes Wickfield",339,87
"57","Agnes Wickfield",161,87
"58","Agnes Wickfield",386,87
"59","Agnes Wickfield",307,87
"60","Agnes Wickfield",166,87
"61","Agnes Wickfield",224,87
"62","Agnes Wickfield",112,87
"63","Agnes Wickfield",268,87
"64","Agnes Wickfield",387,87
"65","Agnes Wickfield",125,87
"66","Agnes Wickfield",283,87
"67","Agnes Wickfield",249,87
"68","Agnes Wickfield",228,87
"69","Agnes Wickfield",105,87
"70","Agnes Wickfield",267,87
"71","Agnes Wickfield",247,87
"72","Agnes Wickfield",168,87
"73","Agnes Wickfield",225,87
"74","Agnes Wickfield",226,87
"75","Agnes Wickfield",186,87
"76","Agnes Wickfield",252,87
"77","Agnes Wickfield",104,87
"78","Agnes Wickfield",111,87
"79","Agnes Wickfield",341,87
"80","Agnes Wickfield",330,87
"81","Agnes Wickfield",385,87
"82","Agnes Wickfield",379,87
"83","Agnes Wickfield",338,87
"84","Agnes Wickfield",262,87
"85","Agnes Wickfield",381,87
"86","Agnes Wickfield",380,87
"87","Agnes Wickfield",170,87
"88","Agnes Wickfield",118,87
"89","Agnes Wickfield",360,87
"90","Agnes Wickfield",165,87
"91","Agnes Wickfield",382,87
"92","Annie Strong",269,23
"93","Annie Strong",230,23
"94","Annie Strong",124,23
"95","Annie Strong",247,23
"96","Annie Strong",106,23
"97","Annie Strong",266,23
"98","Annie Strong",107,23
"99","Annie Strong",288,23
"100","Annie Strong",286,23
"101","Annie Strong",108,23
"102","Annie Strong",270,23
"103","Annie Strong",102,23
"104","Annie Strong",290,23
"105","Annie Strong",231,23
"106","Annie Strong",105,23
"107","Annie Strong",273,23
"108","Annie Strong",289,23
"109","Annie Strong",100,23
"110","Annie Strong",123,23
"111","Annie Strong",382,23
"112","Annie Strong",291,23
"113","Annie Strong",272,23
"114","Annie Strong",229,23
"115","Barkis",136,30
"116","Barkis",48,30
"117","Barkis",109,30
"118","Barkis",151,30
"119","Barkis",66,30
"120","Barkis",193,30
"121","Barkis",61,30
"122","Barkis",195,30
"123","Barkis",135,30
"124","Barkis",196,30
"125","Barkis",194,30
"126","Barkis",64,30
"127","Barkis",141,30
"128","Barkis",236,30
"129","Barkis",221,30
"130","Barkis",197,30
"131","Barkis",187,30
"132","Barkis",324,30
"133","Barkis",28,30
"134","Barkis",203,30
"135","Barkis",133,30
"136","Barkis",62,30
"137","Barkis",56,30
"138","Barkis",219,30
"139","Barkis",65,30
"140","Barkis",218,30
"141","Barkis",29,30
"142","Barkis",49,30
"143","Barkis",50,30
"144","Barkis",54,30
"145","Captain Bailey",119,1
"146","Captain Hopkins",74,2
"147","Captain Hopkins",75,2
"148","Caroline Crewler",364,3
"149","Caroline Crewler",365,3
"150","Caroline Crewler",387,3
"151","Charley Pyegrave",146,2
"152","Charley Pyegrave",82,2
"153","Clara Copperfield",20,37
"154","Clara Copperfield",49,37
"155","Clara Copperfield",8,37
"156","Clara Copperfield",6,37
"157","Clara Copperfield",93,37
"158","Clara Copperfield",2,37
"159","Clara Copperfield",9,37
"160","Clara Copperfield",7,37
"161","Clara Copperfield",23,37
"162","Clara Copperfield",11,37
"163","Clara Copperfield",190,37
"164","Clara Copperfield",5,37
"165","Clara Copperfield",92,37
"166","Clara Copperfield",54,37
"167","Clara Copperfield",21,37
"168","Clara Copperfield",51,37
"169","Clara Copperfield",14,37
"170","Clara Copperfield",55,37
"171","Clara Copperfield",25,37
"172","Clara Copperfield",4,37
"173","Clara Copperfield",53,37
"174","Clara Copperfield",18,37
"175","Clara Copperfield",27,37
"176","Clara Copperfield",153,37
"177","Clara Copperfield",34,37
"178","Clara Copperfield",24,37
"179","Clara Copperfield",52,37
"180","Clara Copperfield",22,37
"181","Clara Copperfield",19,37
"182","Clara Copperfield",48,37
"183","Clara Copperfield",15,37
"184","Clara Copperfield",50,37
"185","Clara Copperfield",58,37
"186","Clara Copperfield",210,37
"187","Clara Copperfield",10,37
"188","Clara Copperfield",26,37
"189","Clara Copperfield",3,37
"190","Clara Peggotty",6,96
"191","Clara Peggotty",45,96
"192","Clara Peggotty",199,96
"193","Clara Peggotty",12,96
"194","Clara Peggotty",151,96
"195","Clara Peggotty",386,96
"196","Clara Peggotty",198,96
"197","Clara Peggotty",218,96
"198","Clara Peggotty",72,96
"199","Clara Peggotty",4,96
"200","Clara Peggotty",354,96
"201","Clara Peggotty",35,96
"202","Clara Peggotty",320,96
"203","Clara Peggotty",46,96
"204","Clara Peggotty",322,96
"205","Clara Peggotty",9,96
"206","Clara Peggotty",78,96
"207","Clara Peggotty",142,96
"208","Clara Peggotty",17,96
"209","Clara Peggotty",368,96
"210","Clara Peggotty",7,96
"211","Clara Peggotty",55,96
"212","Clara Peggotty",22,96
"213","Clara Peggotty",63,96
"214","Clara Peggotty",141,96
"215","Clara Peggotty",343,96
"216","Clara Peggotty",64,96
"217","Clara Peggotty",62,96
"218","Clara Peggotty",13,96
"219","Clara Peggotty",209,96
"220","Clara Peggotty",27,96
"221","Clara Peggotty",121,96
"222","Clara Peggotty",226,96
"223","Clara Peggotty",19,96
"224","Clara Peggotty",67,96
"225","Clara Peggotty",65,96
"226","Clara Peggotty",385,96
"227","Clara Peggotty",109,96
"228","Clara Peggotty",236,96
"229","Clara Peggotty",28,96
"230","Clara Peggotty",18,96
"231","Clara Peggotty",194,96
"232","Clara Peggotty",149,96
"233","Clara Peggotty",347,96
"234","Clara Peggotty",225,96
"235","Clara Peggotty",206,96
"236","Clara Peggotty",201,96
"237","Clara Peggotty",216,96
"238","Clara Peggotty",3,96
"239","Clara Peggotty",197,96
"240","Clara Peggotty",61,96
"241","Clara Peggotty",15,96
"242","Clara Peggotty",23,96
"243","Clara Peggotty",345,96
"244","Clara Peggotty",66,96
"245","Clara Peggotty",26,96
"246","Clara Peggotty",384,96
"247","Clara Peggotty",147,96
"248","Clara Peggotty",30,96
"249","Clara Peggotty",256,96
"250","Clara Peggotty",49,96
"251","Clara Peggotty",31,96
"252","Clara Peggotty",60,96
"253","Clara Peggotty",135,96
"254","Clara Peggotty",222,96
"255","Clara Peggotty",48,96
"256","Clara Peggotty",53,96
"257","Clara Peggotty",275,96
"258","Clara Peggotty",220,96
"259","Clara Peggotty",208,96
"260","Clara Peggotty",21,96
"261","Clara Peggotty",87,96
"262","Clara Peggotty",51,96
"263","Clara Peggotty",14,96
"264","Clara Peggotty",195,96
"265","Clara Peggotty",382,96
"266","Clara Peggotty",32,96
"267","Clara Peggotty",11,96
"268","Clara Peggotty",93,96
"269","Clara Peggotty",8,96
"270","Clara Peggotty",20,96
"271","Clara Peggotty",136,96
"272","Clara Peggotty",381,96
"273","Clara Peggotty",148,96
"274","Clara Peggotty",203,96
"275","Clara Peggotty",324,96
"276","Clara Peggotty",196,96
"277","Clara Peggotty",58,96
"278","Clara Peggotty",187,96
"279","Clara Peggotty",277,96
"280","Clara Peggotty",50,96
"281","Clara Peggotty",210,96
"282","Clara Peggotty",319,96
"283","Clara Peggotty",227,96
"284","Clara Peggotty",133,96
"285","Clara Peggotty",59,96
"286","Clarissa Spenlow",261,11
"287","Clarissa Spenlow",260,11
"288","Clarissa Spenlow",275,11
"289","Clarissa Spenlow",305,11
"290","Clarissa Spenlow",277,11
"291","Clarissa Spenlow",262,11
"292","Clarissa Spenlow",263,11
"293","Clarissa Spenlow",245,11
"294","Clarissa Spenlow",259,11
"295","Clarissa Spenlow",266,11
"296","Clarissa Spenlow",267,11
"297","Daniel Peggotty",200,62
"298","Daniel Peggotty",208,62
"299","Daniel Peggotty",64,62
"300","Daniel Peggotty",321,62
"301","Daniel Peggotty",152,62
"302","Daniel Peggotty",201,62
"303","Daniel Peggotty",61,62
"304","Daniel Peggotty",220,62
"305","Daniel Peggotty",27,62
"306","Daniel Peggotty",299,62
"307","Daniel Peggotty",206,62
"308","Daniel Peggotty",137,62
"309","Daniel Peggotty",199,62
"310","Daniel Peggotty",196,62
"311","Daniel Peggotty",301,62
"312","Daniel Peggotty",109,62
"313","Daniel Peggotty",62,62
"314","Daniel Peggotty",194,62
"315","Daniel Peggotty",139,62
"316","Daniel Peggotty",133,62
"317","Daniel Peggotty",63,62
"318","Daniel Peggotty",322,62
"319","Daniel Peggotty",296,62
"320","Daniel Peggotty",325,62
"321","Daniel Peggotty",319,62
"322","Daniel Peggotty",320,62
"323","Daniel Peggotty",66,62
"324","Daniel Peggotty",207,62
"325","Daniel Peggotty",16,62
"326","Daniel Peggotty",17,62
"327","Daniel Peggotty",383,62
"328","Daniel Peggotty",356,62
"329","Daniel Peggotty",385,62
"330","Daniel Peggotty",354,62
"331","Daniel Peggotty",15,62
"332","Daniel Peggotty",256,62
"333","Daniel Peggotty",14,62
"334","Daniel Peggotty",141,62
"335","Daniel Peggotty",323,62
"336","Daniel Peggotty",202,62
"337","Daniel Peggotty",195,62
"338","Daniel Peggotty",46,62
"339","Daniel Peggotty",384,62
"340","Daniel Peggotty",300,62
"341","Daniel Peggotty",316,62
"342","Daniel Peggotty",314,62
"343","Daniel Peggotty",45,62
"344","Daniel Peggotty",197,62
"345","Daniel Peggotty",326,62
"346","Daniel Peggotty",258,62
"347","Daniel Peggotty",324,62
"348","Daniel Peggotty",198,62
"349","Daniel Peggotty",345,62
"350","Daniel Peggotty",18,62
"351","Daniel Peggotty",343,62
"352","Daniel Peggotty",143,62
"353","Daniel Peggotty",357,62
"354","Daniel Peggotty",65,62
"355","Daniel Peggotty",138,62
"356","Daniel Peggotty",257,62
"357","Daniel Peggotty",205,62
"358","Daniel Peggotty",302,62
"359","David Copperfield",186,234
"360","David Copperfield",178,234
"361","David Copperfield",94,234
"362","David Copperfield",62,234
"363","David Copperfield",335,234
"364","David Copperfield",142,234
"365","David Copperfield",243,234
"366","David Copperfield",259,234
"367","David Copperfield",251,234
"368","David Copperfield",158,234
"369","David Copperfield",224,234
"370","David Copperfield",151,234
"371","David Copperfield",374,234
"372","David Copperfield",378,234
"373","David Copperfield",249,234
"374","David Copperfield",46,234
"375","David Copperfield",234,234
"376","David Copperfield",37,234
"377","David Copperfield",242,234
"378","David Copperfield",166,234
"379","David Copperfield",67,234
"380","David Copperfield",31,234
"381","David Copperfield",7,234
"382","David Copperfield",274,234
"383","David Copperfield",205,234
"384","David Copperfield",164,234
"385","David Copperfield",114,234
"386","David Copperfield",159,234
"387","David Copperfield",10,234
"388","David Copperfield",334,234
"389","David Copperfield",115,234
"390","David Copperfield",268,234
"391","David Copperfield",42,234
"392","David Copperfield",63,234
"393","David Copperfield",25,234
"394","David Copperfield",119,234
"395","David Copperfield",355,234
"396","David Copperfield",184,234
"397","David Copperfield",53,234
"398","David Copperfield",172,234
"399","David Copperfield",104,234
"400","David Copperfield",24,234
"401","David Copperfield",244,234
"402","David Copperfield",127,234
"403","David Copperfield",69,234
"404","David Copperfield",365,234
"405","David Copperfield",199,234
"406","David Copperfield",19,234
"407","David Copperfield",213,234
"408","David Copperfield",99,234
"409","David Copperfield",255,234
"410","David Copperfield",195,234
"411","David Copperfield",214,234
"412","David Copperfield",33,234
"413","David Copperfield",156,234
"414","David Copperfield",66,234
"415","David Copperfield",241,234
"416","David Copperfield",137,234
"417","David Copperfield",102,234
"418","David Copperfield",201,234
"419","David Copperfield",318,234
"420","David Copperfield",321,234
"421","David Copperfield",17,234
"422","David Copperfield",41,234
"423","David Copperfield",297,234
"424","David Copperfield",377,234
