"Character","Node"
"Adams","118, 100, 104, 107"
"Agnes Wickfield","227, 333, 383, 167, 372, 103, 117, 216, 164, 269, 272, 156, 175, 361, 327, 191, 122, 124, 337, 266, 357, 373, 370, 334, 277, 365, 162, 157, 384, 99, 344, 108, 253, 254, 123, 342, 231, 264, 278, 102, 371, 101, 251, 163, 119, 270, 276, 160, 354, 250, 329, 339, 161, 386, 307, 166, 224, 112, 268, 387, 125, 283, 249, 228, 105, 267, 247, 168, 225, 226, 186, 252, 104, 111, 341, 330, 385, 379, 338, 262, 381, 380, 170, 118, 360, 165, 382"
"Annie Strong","269, 230, 124, 247, 106, 266, 107, 288, 286, 108, 270, 102, 290, 231, 105, 273, 289, 100, 123, 382, 291, 272, 229"
"Barkis","136, 48, 109, 151, 66, 193, 61, 195, 135, 196, 194, 64, 141, 236, 221, 197, 187, 324, 28, 203, 133, 62, 56, 219, 65, 218, 29, 49, 50, 54"
"Captain Bailey","119"
"Captain Hopkins","74, 75"
"Caroline Crewler","364, 365, 387"
"Charley Pyegrave","146, 82"
"Clara Copperfield","20, 49, 8, 6, 93, 2, 9, 7, 23, 11, 190, 5, 92, 54, 21, 51, 14, 55, 25, 4, 53, 18, 27, 153, 34, 24, 52, 22, 19, 48, 15, 50, 58, 210, 10, 26, 3"
"Clara Peggotty","6, 45, 199, 12, 151, 386, 198, 218, 72, 4, 354, 35, 320, 46, 322, 9, 78, 142, 17, 368, 7, 55, 22, 63, 141, 343, 64, 62, 13, 209, 27, 121, 226, 19, 67, 65, 385, 109, 236, 28, 18, 194, 149, 347, 225, 206, 201, 216, 3, 197, 61, 15, 23, 345, 66, 26, 384, 147, 30, 256, 49, 31, 60, 135, 222, 48, 53, 275, 220, 208, 21, 87, 51, 14, 195, 382, 32, 11, 93, 8, 20, 136, 381, 148, 203, 324, 196, 58, 187, 277, 50, 210, 319, 227, 133, 59"
"Clarissa Spenlow","261, 260, 275, 305, 277, 262, 263, 245, 259, 266, 267"
"Daniel Peggotty","200, 208, 64, 321, 152, 201, 61, 220, 27, 299, 206, 137, 199, 196, 301, 109, 62, 194, 139, 133, 63, 322, 296, 325, 319, 320, 66, 207, 16, 17, 383, 356, 385, 354, 15, 256, 14, 141, 323, 202, 195, 46, 384, 300, 316, 314, 45, 197, 326, 258, 324, 198, 345, 18, 343, 143, 357, 65, 138, 257, 205, 302"
"David Copperfield","186, 178, 94, 62, 335, 142, 243, 259, 251, 158, 224, 151, 374, 378, 249, 46, 234, 37, 242, 166, 67, 31, 7, 274, 205, 164, 114, 159, 10, 334, 115, 268, 42, 63, 25, 119, 355, 184, 53, 172, 104, 24, 244, 127, 69, 365, 199, 19, 213, 99, 255, 195, 214, 33, 156, 66, 241, 137, 102, 201, 318, 321, 17, 41, 297, 377, 9, 267, 327, 260, 149, 34, 375, 232, 27, 103, 266, 11, 146, 20, 168, 356, 154, 343, 136, 367, 110, 263, 122, 155, 106, 383, 272, 341, 310, 68, 273, 183, 181, 238, 191, 216, 101, 261, 79, 143, 233, 288, 177, 18, 298, 223, 354, 218, 226, 330, 60, 303, 50, 227, 269, 131, 139, 180, 176, 332, 52, 204, 256, 328, 248, 113, 230, 326, 282, 257, 295, 250, 258, 320, 78, 311, 301, 245, 73, 55, 312, 43, 185, 26, 252, 126, 212, 229, 76, 349, 280, 340, 380, 96, 153, 236, 28, 338, 187, 13, 147, 384, 342, 157, 253, 281, 163, 364, 319, 309, 225, 385, 370, 324, 262, 325, 128, 112, 210, 235, 287, 217, 329, 345, 381, 200, 111, 386, 121, 363, 49, 130, 294, 254, 38, 98, 77, 93, 337, 182, 270, 145, 296, 308, 148, 322, 333, 314, 51, 371, 152, 387, 85, 167, 161, 372, 188, 306, 220, 221, 160, 179, 45, 344, 276, 202, 162, 379"
