"","Character","Node","Appearances"
"1","Abel Magwitch",1,42
"2","Abel Magwitch",12,42
"3","Abel Magwitch",171,42
"4","Abel Magwitch",161,42
"5","Abel Magwitch",2,42
"6","Abel Magwitch",84,42
"7","Abel Magwitch",172,42
"8","Abel Magwitch",144,42
"9","Abel Magwitch",142,42
"10","Abel Magwitch",4,42
"11","Abel Magwitch",124,42
"12","Abel Magwitch",131,42
"13","Abel Magwitch",173,42
"14","Abel Magwitch",143,42
"15","Abel Magwitch",125,42
"16","Abel Magwitch",6,42
"17","Abel Magwitch",126,42
"18","Abel Magwitch",7,42
"19","Abel Magwitch",122,42
"20","Abel Magwitch",133,42
"21","Abel Magwitch",130,42
"22","Abel Magwitch",45,42
"23","Abel Magwitch",156,42
"24","Abel Magwitch",119,42
"25","Abel Magwitch",162,42
"26","Abel Magwitch",177,42
"27","Abel Magwitch",128,42
"28","Abel Magwitch",28,42
"29","Abel Magwitch",132,42
"30","Abel Magwitch",169,42
"31","Abel Magwitch",146,42
"32","Abel Magwitch",158,42
"33","Abel Magwitch",134,42
"34","Abel Magwitch",127,42
"35","Abel Magwitch",139,42
"36","Abel Magwitch",170,42
"37","Abel Magwitch",165,42
"38","Abel Magwitch",120,42
"39","Abel Magwitch",166,42
"40","Abel Magwitch",129,42
"41","Abel Magwitch",13,42
"42","Abel Magwitch",14,42
"43","Avenger",3,8
"44","Avenger",84,8
"45","Avenger",82,8
"46","Avenger",103,8
"47","Avenger",102,8
"48","Avenger",124,8
"49","Avenger",81,8
"50","Avenger",92,8
"51","Bentley Drummle",31,18
"52","Bentley Drummle",80,18
"53","Bentley Drummle",79,18
"54","Bentley Drummle",150,18
"55","Bentley Drummle",102,18
"56","Bentley Drummle",134,18
"57","Bentley Drummle",75,18
"58","Bentley Drummle",81,18
"59","Bentley Drummle",78,18
"60","Bentley Drummle",149,18
"61","Bentley Drummle",70,18
"62","Bentley Drummle",72,18
"63","Bentley Drummle",135,18
"64","Bentley Drummle",71,18
"65","Bentley Drummle",137,18
"66","Bentley Drummle",117,18
"67","Bentley Drummle",138,18
"68","Bentley Drummle",116,18
"69","Biddy",164,31
"70","Biddy",83,31
"71","Biddy",185,31
"72","Biddy",181,31
"73","Biddy",68,31
"74","Biddy",52,31
"75","Biddy",48,31
"76","Biddy",49,31
"77","Biddy",102,31
"78","Biddy",27,31
"79","Biddy",56,31
"80","Biddy",179,31
"81","Biddy",165,31
"82","Biddy",41,31
"83","Biddy",122,31
"84","Biddy",104,31
"85","Biddy",36,31
"86","Biddy",54,31
"87","Biddy",53,31
"88","Biddy",55,31
"89","Biddy",184,31
"90","Biddy",105,31
"91","Biddy",46,31
"92","Biddy",16,31
"93","Biddy",178,31
"94","Biddy",186,31
"95","Biddy",59,31
"96","Biddy",180,31
"97","Biddy",106,31
"98","Biddy",47,31
"99","Biddy",81,31
"100","Black Bill",97,1
"101","Camilla",52,7
"102","Camilla",32,7
"103","Camilla",102,7
"104","Camilla",136,7
"105","Camilla",179,7
"106","Camilla",30,7
"107","Camilla",75,7
"108","Clara Barley",143,10
"109","Clara Barley",144,10
"110","Clara Barley",96,10
"111","Clara Barley",165,10
"112","Clara Barley",142,10
"113","Clara Barley",174,10
"114","Clara Barley",185,10
"115","Clara Barley",186,10
"116","Clara Barley",94,10
"117","Clara Barley",161,10
"118","Compeyson",131,19
"119","Compeyson",134,19
"120","Compeyson",143,19
"121","Compeyson",14,19
"122","Compeyson",165,19
"123","Compeyson",122,19
"124","Compeyson",132,19
"125","Compeyson",84,19
"126","Compeyson",45,19
"127","Compeyson",13,19
"128","Compeyson",172,19
"129","Compeyson",130,19
"130","Compeyson",173,19
"131","Compeyson",157,19
"132","Compeyson",171,19
"133","Compeyson",133,19
"134","Compeyson",174,19
"135","Compeyson",129,19
"136","Compeyson",146,19
"137","Dunstable",9,1
"138","Estella",136,58
"139","Estella",48,58
"140","Estella",83,58
"141","Estella",89,58
"142","Estella",88,58
"143","Estella",116,58
"144","Estella",96,58
"145","Estella",41,58
"146","Estella",98,58
"147","Estella",36,58
"148","Estella",102,58
"149","Estella",21,58
"150","Estella",153,58
"151","Estella",34,58
"152","Estella",90,58
"153","Estella",35,58
"154","Estella",49,58
"155","Estella",32,58
"156","Estella",137,58
"157","Estella",26,58
"158","Estella",31,58
"159","Estella",108,58
"160","Estella",65,58
"161","Estella",139,58
"162","Estella",179,58
"163","Estella",121,58
"164","Estella",87,58
"165","Estella",99,58
"166","Estella",22,58
"167","Estella",154,58
"168","Estella",150,58
"169","Estella",122,58
"170","Estella",43,58
"171","Estella",144,58
"172","Estella",33,58
"173","Estella",118,58
"174","Estella",53,58
"175","Estella",186,58
"176","Estella",134,58
"177","Estella",38,58
"178","Estella",93,58
"179","Estella",40,58
"180","Estella",117,58
"181","Estella",37,58
"182","Estella",55,58
"183","Estella",159,58
"184","Estella",23,58
"185","Estella",115,58
"186","Estella",114,58
"187","Estella",145,58
"188","Estella",138,58
"189","Estella",47,58
"190","Estella",152,58
"191","Estella",67,58
"192","Estella",100,58
"193","Estella",101,58
"194","Estella",30,58
"195","Estella",187,58
"196","Flopson",101,5
"197","Flopson",71,5
"198","Flopson",72,5
"199","Flopson",68,5
"200","Flopson",69,5
"201","Georiana Pocket",183,5
"202","Georiana Pocket",32,5
"203","Georiana Pocket",179,5
"204","Georiana Pocket",75,5
"205","Georiana Pocket",136,5
"206","Herbert Pocket",63,72
"207","Herbert Pocket",75,72
"208","Herbert Pocket",162,72
"209","Herbert Pocket",181,72
"210","Herbert Pocket",126,72
"211","Herbert Pocket",102,72
"212","Herbert Pocket",173,72
"213","Herbert Pocket",33,72
"214","Herbert Pocket",156,72
"215","Herbert Pocket",36,72
"216","Herbert Pocket",79,72
"217","Herbert Pocket",85,72
"218","Herbert Pocket",170,72
"219","Herbert Pocket",169,72
"220","Herbert Pocket",144,72
"221","Herbert Pocket",134,72
"222","Herbert Pocket",88,72
"223","Herbert Pocket",133,72
"224","Herbert Pocket",116,72
"225","Herbert Pocket",143,72
"226","Herbert Pocket",82,72
"227","Herbert Pocket",130,72
"228","Herbert Pocket",35,72
"229","Herbert Pocket",108,72
"230","Herbert Pocket",165,72
"231","Herbert Pocket",96,72
"232","Herbert Pocket",172,72
"233","Herbert Pocket",62,72
"234","Herbert Pocket",128,72
"235","Herbert Pocket",171,72
"236","Herbert Pocket",161,72
"237","Herbert Pocket",174,72
"238","Herbert Pocket",142,72
"239","Herbert Pocket",70,72
"240","Herbert Pocket",43,72
"241","Herbert Pocket",80,72
"242","Herbert Pocket",65,72
"243","Herbert Pocket",103,72
"244","Herbert Pocket",112,72
"245","Herbert Pocket",154,72
"246","Herbert Pocket",66,72
"247","Herbert Pocket",145,72
"248","Herbert Pocket",67,72
"249","Herbert Pocket",164,72
"250","Herbert Pocket",94,72
"251","Herbert Pocket",84,72
"252","Herbert Pocket",119,72
"253","Herbert Pocket",64,72
"254","Herbert Pocket",168,72
"255","Herbert Pocket",95,72
"256","Herbert Pocket",129,72
"257","Herbert Pocket",153,72
"258","Herbert Pocket",93,72
"259","Herbert Pocket",68,72
"260","Herbert Pocket",185,72
"261","Herbert Pocket",81,72
"262","Herbert Pocket",109,72
"263","Herbert Pocket",110,72
"264","Herbert Pocket",140,72
"265","Herbert Pocket",127,72
