"Character","Node"
"Affery Flintwinch",42
"Amy Dorrit",146
"Anastasia Rugg",4
"Arthur Clennam",209
"Augustus Stiltstalking",1
"Bob",4
"Captain Maroon",1
"Captain Martin",1
"Christopher Casby",21
"Clarence Barnacle",3
"Daniel Doyce",40
"Dawes",1
"Edward Dorrit",24
"Ephraim Flintwinch",1
"Fanny Dorrit",71
"Ferdinand Barnacle",12
"Flora Finching",36
"Harriet Beadle",19
"Henry Gowan",45
"Jeremiah Flintwinch",43
"John Baptist Cavalletto",21
"John Chivery",1
"John Edward Nandy",9
"Lady Stiltstalking",1
"Lord Decimus Tite Barnacle",5
"Lord Lancaster Stiltstalking",2
"Madame Barronneau",2
"Maggy",31
"Minnie Meagles",33
"Miss Tite Barnacles",1
"Miss Wade",21
"Mr Cripples",2
"Mr Frederick Dorrit",13
"Mr John Chivery",25
"Mr Meagles",50
"Mr Merdle",45
"Mr Pancks",56
"Mr Plornish",17
"Mr Rugg",16
"Mr Sparkler",31
"Mr Tite Barnacle",11
"Mr William Dorrit",81
"Mr Wobbler",1
"Mrs Bangham",8
"Mrs Captain Barbary",1
"Mrs Chivery",7
"Mrs Clennam",37
"Mrs General",37
"Mrs Gowan",24
"Mrs Meagles",19
"Mrs Merdle",34
"Mrs Plornish",19
"Mrs Tickit",6
"Mrs Tite Barnacle",2
"Physician",6
"Rigaud",57
"Slingo",1
"Tinkler",5
"Treasury",5
"Tudor Stiltstalking",2
