"","Character","Node","Type","Appearances"
"1","Anonymous Woman",94,"First Appearance",6
"2","Anonymous Woman",309,"Last Appearance",6
"3","Anthony Chuzzlewit",21,"First Appearance",27
"4","Anthony Chuzzlewit",292,"Last Appearance",27
"5","Augustus Moddle",55,"First Appearance",23
"6","Augustus Moddle",309,"Last Appearance",23
"7","Bullamy",162,"First Appearance",4
"8","Bullamy",288,"Last Appearance",4
"9","Captain Kedgick",201,"Last Appearance",3
"10","Captain Kedgick",137,"First Appearance",3
"11","Charity Pecksniff",5,"First Appearance",41
"12","Charity Pecksniff",309,"Last Appearance",41
"13","Chevy Slyme",18,"First Appearance",13
"14","Chevy Slyme",295,"Last Appearance",13
"15","Chiggle",199,"First Appearance",2
"16","Chiggle",202,"Last Appearance",2
"17","Chuffey",308,"Last Appearance",32
"18","Chuffey",67,"First Appearance",32
"19","Cicero",106,"First Appearance",2
"20","Cicero",107,"Last Appearance",2
"21","Colonel Diver",98,"First Appearance",5
"22","Colonel Diver",132,"Last Appearance",5
"23","Colonel Groper",201,"First Appearance",1
"24","Colonel Groper",201,"Last Appearance",1
"25","David Crimple",288,"Last Appearance",9
"26","David Crimple",161,"First Appearance",9
"27","Doctor Dunkle",201,"First Appearance",2
"28","Doctor Dunkle",203,"Last Appearance",2
"29","Doctor Jobling",118,"First Appearance",14
"30","Doctor Jobling",241,"Last Appearance",14
"31","General Choke",131,"First Appearance",3
"32","General Choke",193,"Last Appearance",3
"33","General Fladdock",109,"First Appearance",2
"34","General Fladdock",203,"Last Appearance",2
"35","George Chuzzlewit",309,"Last Appearance",5
"36","George Chuzzlewit",22,"First Appearance",5
"37","Jack Coach",209,"First Appearance",1
"38","Jack Coach",209,"Last Appearance",1
"39","Jane",186,"First Appearance",2
"40","Jane",188,"Last Appearance",2
"41","Jeff Brick",99,"First Appearance",8
"42","Jeff Brick",135,"Last Appearance",8
"43","Jodd",201,"Last Appearance",1
"44","Jodd",201,"First Appearance",1
"45","John Westlock",7,"First Appearance",61
"46","John Westlock",306,"Last Appearance",61
"47","Jonas Chuzzlewit",21,"First Appearance",86
"48","Jonas Chuzzlewit",307,"Last Appearance",86
"49","Julius Bib",201,"First Appearance",1
"50","Julius Bib",201,"Last Appearance",1
"51","La Fayette Kettle",135,"Last Appearance",3
"52","La Fayette Kettle",131,"First Appearance",3
"53","Lewsome",153,"First Appearance",8
"54","Lewsome",294,"Last Appearance",8
"55","Major Chollop",194,"First Appearance",4
"56","Major Chollop",200,"Last Appearance",4
"57","Major Pawkins",100,"First Appearance",3
"58","Major Pawkins",132,"Last Appearance",3
"59","Mark Tapley",26,"First Appearance",81
"60","Mark Tapley",309,"Last Appearance",81
"61","Martin Jr",305,"Last Appearance",127
"62","Martin Jr",15,"First Appearance",127
"63","Martin Sr",309,"Last Appearance",62
"64","Martin Sr",15,"First Appearance",62
"65","Mary",178,"First Appearance",5
"66","Mary",297,"Last Appearance",5
"67","Mercy Pecksniff",214,"First Appearance",1
"68","Mercy Pecksniff",214,"Last Appearance",1
"69","Miss Codger",202,"Last Appearance",1
"70","Miss Codger",202,"First Appearance",1
"71","Miss Toppit",202,"Last Appearance",1
"72","Miss Toppit",202,"First Appearance",1
"73","Misses Mould",151,"First Appearance",1
"74","Misses Mould",151,"Last Appearance",1
"75","Mr Bevan",105,"First Appearance",12
"76","Mr Bevan",250,"Last Appearance",12
"77","Mr Fips",305,"Last Appearance",8
"78","Mr Fips",227,"First Appearance",8
"79","Mr Gander",57,"Last Appearance",3
"80","Mr Gander",54,"First Appearance",3
"81","Mr Izzard",201,"First Appearance",1
"82","Mr Izzard",201,"Last Appearance",1
"83","Mr Jinkins",47,"First Appearance",19
"84","Mr Jinkins",310,"Last Appearance",19
"85","Mr Mould",116,"First Appearance",11
"86","Mr Mould",294,"Last Appearance",11
"87","Mr Norris",107,"First Appearance",4
"88","Mr Norris",197,"Last Appearance",4
"89","Mr Pip",169,"Last Appearance",2
"90","Mr Pip",168,"First Appearance",2
"91","Mr/Mrs Spottletoe",20,"First Appearance",8
"92","Mr/Mrs Spottletoe",310,"Last Appearance",8
"93","Mrs Gamp",116,"First Appearance",47
"94","Mrs Gamp",302,"Last Appearance",47
"95","Mrs Gill",172,"First Appearance",2
"96","Mrs Gill",173,"Last Appearance",2
"97","Mrs Hominy",202,"Last Appearance",5
"98","Mrs Hominy",138,"First Appearance",5
"99","Mrs Lupin",14,"First Appearance",27
"100","Mrs Lupin",305,"Last Appearance",27
"101","Mrs Mould",151,"First Appearance",4
"102","Mrs Mould",175,"Last Appearance",4
"103","Mrs Ned Chuzzlewit",1,"First Appearance",8
"104","Mrs Ned Chuzzlewit",310,"Last Appearance",8
"105","Mrs Norris",108,"Last Appearance",2
"106","Mrs Norris",107,"First Appearance",2
"107","Mrs Pawkins",101,"First Appearance",4
"108","Mrs Pawkins",107,"Last Appearance",4
"109","Mrs Prig",153,"First Appearance",15
"110","Mrs Prig",292,"Last Appearance",15
"111","Mrs Todgers",48,"First Appearance",35
"112","Mrs Todgers",309,"Last Appearance",35
"113","Nadgett",166,"First Appearance",19
"114","Nadgett",296,"Last Appearance",19
"115","Oscar Buffum",203,"Last Appearance",3
"116","Oscar Buffum",201,"First Appearance",3
"117","Pogram",199,"First Appearance",5
"118","Pogram",203,"Last Appearance",5
"119","Professor Mullit",102,"First Appearance",1
"120","Professor Mullit",102,"Last Appearance",1
"121","Professor Piper",201,"First Appearance",1
"122","Professor Piper",201,"Last Appearance",1
"123","Ruth Pinch",274,"Last Appearance",14
"124","Ruth Pinch",50,"First Appearance",14
"125","Seth Pecksniff",5,"First Appearance",131
"126","Seth Pecksniff",307,"Last Appearance",131
"127","Sophia",34,"First Appearance",1
"128","Sophia",34,"Last Appearance",1
"129","Tacker",120,"First Appearance",3
"130","Tacker",220,"Last Appearance",3
"131","Tigg Montague",299,"Last Appearance",46
"132","Tigg Montague",19,"First Appearance",46
"133","Tom Pinch",7,"First Appearance",63
"134","Tom Pinch",275,"Last Appearance",63
"135","William Simmons",82,"First Appearance",1
"136","William Simmons",82,"Last Appearance",1
"137","Young Bailey",48,"First Appearance",27
"138","Young Bailey",307,"Last Appearance",27
"139","Zephaniah Scadder",134,"First Appearance",8
"140","Zephaniah Scadder",199,"Last Appearance",8
