"","Character","Node","Appearances"
"1","Anonymous Woman",364,6
"2","Anonymous Woman",111,6
"3","Anonymous Woman",232,6
"4","Anonymous Woman",230,6
"5","Anonymous Woman",227,6
"6","Anonymous Woman",226,6
"7","Anthony Chuzzlewit",171,29
"8","Anthony Chuzzlewit",223,29
"9","Anthony Chuzzlewit",324,29
"10","Anthony Chuzzlewit",344,29
"11","Anthony Chuzzlewit",26,29
"12","Anthony Chuzzlewit",140,29
"13","Anthony Chuzzlewit",209,29
"14","Anthony Chuzzlewit",132,29
"15","Anthony Chuzzlewit",133,29
"16","Anthony Chuzzlewit",144,29
"17","Anthony Chuzzlewit",141,29
"18","Anthony Chuzzlewit",134,29
"19","Anthony Chuzzlewit",86,29
"20","Anthony Chuzzlewit",135,29
"21","Anthony Chuzzlewit",25,29
"22","Anthony Chuzzlewit",83,29
"23","Anthony Chuzzlewit",181,29
"24","Anthony Chuzzlewit",131,29
"25","Anthony Chuzzlewit",85,29
"26","Anthony Chuzzlewit",82,29
"27","Anthony Chuzzlewit",313,29
"28","Anthony Chuzzlewit",80,29
"29","Anthony Chuzzlewit",138,29
"30","Anthony Chuzzlewit",57,29
"31","Anthony Chuzzlewit",309,29
"32","Anthony Chuzzlewit",55,29
"33","Anthony Chuzzlewit",28,29
"34","Anthony Chuzzlewit",192,29
"35","Anthony Chuzzlewit",81,29
"36","Augustus Moddle",76,23
"37","Augustus Moddle",68,23
"38","Augustus Moddle",254,23
"39","Augustus Moddle",84,23
"40","Augustus Moddle",75,23
"41","Augustus Moddle",225,23
"42","Augustus Moddle",310,23
"43","Augustus Moddle",85,23
"44","Augustus Moddle",86,23
"45","Augustus Moddle",223,23
"46","Augustus Moddle",363,23
"47","Augustus Moddle",306,23
"48","Augustus Moddle",309,23
"49","Augustus Moddle",226,23
"50","Augustus Moddle",307,23
"51","Augustus Moddle",364,23
"52","Augustus Moddle",365,23
"53","Augustus Moddle",311,23
"54","Augustus Moddle",256,23
"55","Augustus Moddle",70,23
"56","Augustus Moddle",224,23
"57","Augustus Moddle",362,23
"58","Augustus Moddle",305,23
"59","Bullamy",339,3
"60","Bullamy",194,3
"61","Bullamy",192,3
"62","Captain Kedgick",162,4
"63","Captain Kedgick",164,4
"64","Captain Kedgick",236,4
"65","Captain Kedgick",161,4
"66","Charity Pecksniff",225,44
"67","Charity Pecksniff",149,44
"68","Charity Pecksniff",256,44
"69","Charity Pecksniff",310,44
"70","Charity Pecksniff",8,44
"71","Charity Pecksniff",37,44
"72","Charity Pecksniff",78,44
"73","Charity Pecksniff",56,44
"74","Charity Pecksniff",175,44
"75","Charity Pecksniff",254,44
"76","Charity Pecksniff",85,44
"77","Charity Pecksniff",68,44
"78","Charity Pecksniff",307,44
"79","Charity Pecksniff",83,44
"80","Charity Pecksniff",174,44
"81","Charity Pecksniff",80,44
"82","Charity Pecksniff",148,44
"83","Charity Pecksniff",7,44
"84","Charity Pecksniff",82,44
"85","Charity Pecksniff",69,44
"86","Charity Pecksniff",29,44
"87","Charity Pecksniff",62,44
"88","Charity Pecksniff",172,44
"89","Charity Pecksniff",224,44
"90","Charity Pecksniff",66,44
"91","Charity Pecksniff",79,44
"92","Charity Pecksniff",171,44
"93","Charity Pecksniff",365,44
"94","Charity Pecksniff",208,44
"95","Charity Pecksniff",223,44
"96","Charity Pecksniff",207,44
"97","Charity Pecksniff",39,44
"98","Charity Pecksniff",42,44
"99","Charity Pecksniff",26,44
"100","Charity Pecksniff",27,44
"101","Charity Pecksniff",43,44
"102","Charity Pecksniff",253,44
"103","Charity Pecksniff",72,44
"104","Charity Pecksniff",147,44
"105","Charity Pecksniff",57,44
"106","Charity Pecksniff",55,44
"107","Charity Pecksniff",9,44
"108","Charity Pecksniff",213,44
"109","Charity Pecksniff",215,44
"110","Chevy Slyme",23,14
"111","Chevy Slyme",348,14
"112","Chevy Slyme",51,14
"113","Chevy Slyme",100,14
"114","Chevy Slyme",25,14
"115","Chevy Slyme",49,14
"116","Chevy Slyme",346,14
"117","Chevy Slyme",345,14
"118","Chevy Slyme",347,14
"119","Chevy Slyme",99,14
"120","Chevy Slyme",24,14
"121","Chevy Slyme",48,14
"122","Chevy Slyme",27,14
"123","Chevy Slyme",50,14
"124","Chiggle",234,2
"125","Chiggle",238,2
"126","Chuffey",333,37
"127","Chuffey",340,37
"128","Chuffey",138,37
"129","Chuffey",188,37
"130","Chuffey",363,37
"131","Chuffey",343,37
"132","Chuffey",347,37
"133","Chuffey",362,37
"134","Chuffey",134,37
"135","Chuffey",310,37
"136","Chuffey",307,37
"137","Chuffey",326,37
"138","Chuffey",342,37
"139","Chuffey",339,37
"140","Chuffey",349,37
"141","Chuffey",82,37
"142","Chuffey",142,37
"143","Chuffey",181,37
"144","Chuffey",187,37
"145","Chuffey",344,37
"146","Chuffey",312,37
"147","Chuffey",313,37
"148","Chuffey",308,37
"149","Chuffey",184,37
"150","Chuffey",81,37
"151","Chuffey",133,37
"152","Chuffey",341,37
"153","Chuffey",135,37
"154","Chuffey",131,37
"155","Chuffey",332,37
"156","Chuffey",331,37
"157","Chuffey",132,37
"158","Chuffey",141,37
"159","Chuffey",346,37
"160","Chuffey",140,37
"161","Chuffey",180,37
"162","Chuffey",139,37
"163","Cicero",125,1
"164","Colonel Diver",118,6
"165","Colonel Diver",117,6
"166","Colonel Diver",121,6
"167","Colonel Diver",116,6
"168","Colonel Diver",115,6
"169","Colonel Diver",155,6
"170","Colonel Groper",237,1
"171","David Crimple",329,9
"172","David Crimple",193,9
"173","David Crimple",200,9
"174","David Crimple",194,9
"175","David Crimple",191,9
"176","David Crimple",199,9
"177","David Crimple",339,9
"178","David Crimple",204,9
"179","David Crimple",192,9
"180","Doctor Dunkle",237,3
"181","Doctor Dunkle",239,3
"182","Doctor Dunkle",236,3
"183","Doctor Jobling",281,14
"184","Doctor Jobling",184,14
"185","Doctor Jobling",279,14
"186","Doctor Jobling",259,14
"187","Doctor Jobling",138,14
"188","Doctor Jobling",280,14
"189","Doctor Jobling",194,14
"190","Doctor Jobling",199,14
"191","Doctor Jobling",192,14
"192","Doctor Jobling",198,14
"193","Doctor Jobling",181,14
"194","Doctor Jobling",142,14
"195","Doctor Jobling",193,14
"196","Doctor Jobling",141,14
"197","General Choke",153,4
"198","General Choke",155,4
"199","General Choke",226,4
"200","General Choke",154,4
"201","General Fladdock",239,2
"202","General Fladdock",128,2
"203","George Chuzzlewit",365,5
"204","George Chuzzlewit",28,5
"205","George Chuzzlewit",29,5
"206","George Chuzzlewit",27,5
"207","George Chuzzlewit",362,5
"208","Jack Coach",245,1
"209","Jane",218,3
"210","Jane",221,3
"211","Jane",219,3
"212","Jeff Brick",117,9
"213","Jeff Brick",120,9
"214","Jeff Brick",155,9
"215","Jeff Brick",128,9
"216","Jeff Brick",116,9
"217","Jeff Brick",121,9
"218","Jeff Brick",119,9
"219","Jeff Brick",158,9
"220","Jeff Brick",118,9
"221","Jodd",237,1
"222","John Westlock",42,66
"223","John Westlock",323,66
"224","John Westlock",341,66
"225","John Westlock",333,66
"226","John Westlock",249,66
"227","John Westlock",11,66
"228","John Westlock",361,66
"229","John Westlock",264,66
"230","John Westlock",181,66
"231","John Westlock",302,66
"232","John Westlock",205,66
"233","John Westlock",12,66
"234","John Westlock",268,66
"235","John Westlock",337,66
"236","John Westlock",263,66
"237","John Westlock",360,66
"238","John Westlock",265,66
"239","John Westlock",245,66
"240","John Westlock",301,66
"241","John Westlock",93,66
"242","John Westlock",43,66
"243","John Westlock",10,66
"244","John Westlock",359,66
"245","John Westlock",326,66
"246","John Westlock",247,66
"247","John Westlock",182,66
"248","John Westlock",101,66
"249","John Westlock",320,66
"250","John Westlock",334,66
"251","John Westlock",358,66
"252","John Westlock",256,66
"253","John Westlock",91,66
"254","John Westlock",184,66
"255","John Westlock",267,66
"256","John Westlock",325,66
"257","John Westlock",342,66
"258","John Westlock",88,66
"259","John Westlock",89,66
"260","John Westlock",303,66
"261","John Westlock",41,66
"262","John Westlock",304,66
"263","John Westlock",300,66
"264","John Westlock",336,66
"265","John Westlock",266,66
"266","John Westlock",269,66
"267","John Westlock",332,66
"268","John Westlock",92,66
"269","John Westlock",257,66
"270","John Westlock",354,66
"271","John Westlock",244,66
"272","John Westlock",324,66
"273","John Westlock",351,66
"274","John Westlock",347,66
"275","John Westlock",357,66
"276","John Westlock",322,66
"277","John Westlock",216,66
"278","John Westlock",9,66
"279","John Westlock",206,66
"280","John Westlock",248,66
"281","John Westlock",321,66
"282","John Westlock",349,66
"283","John Westlock",327,66
"284","John Westlock",252,66
"285","John Westlock",192,66
"286","John Westlock",270,66
"287","John Westlock",90,66
"288","Jonas Chuzzlewit",339,94
"289","Jonas Chuzzlewit",346,94
"290","Jonas Chuzzlewit",296,94
"291","Jonas Chuzzlewit",78,94
"292","Jonas Chuzzlewit",313,94
"293","Jonas Chuzzlewit",347,94
"294","Jonas Chuzzlewit",317,94
"295","Jonas Chuzzlewit",141,94
"296","Jonas Chuzzlewit",311,94
"297","Jonas Chuzzlewit",56,94
"298","Jonas Chuzzlewit",135,94
"299","Jonas Chuzzlewit",280,94
"300","Jonas Chuzzlewit",316,94
"301","Jonas Chuzzlewit",275,94
"302","Jonas Chuzzlewit",174,94
"303","Jonas Chuzzlewit",195,94
"304","Jonas Chuzzlewit",171,94
"305","Jonas Chuzzlewit",281,94
"306","Jonas Chuzzlewit",274,94
"307","Jonas Chuzzlewit",318,94
"308","Jonas Chuzzlewit",142,94
"309","Jonas Chuzzlewit",25,94
"310","Jonas Chuzzlewit",144,94
"311","Jonas Chuzzlewit",343,94
"312","Jonas Chuzzlewit",199,94
"313","Jonas Chuzzlewit",344,94
"314","Jonas Chuzzlewit",146,94
"315","Jonas Chuzzlewit",86,94
"316","Jonas Chuzzlewit",278,94
"317","Jonas Chuzzlewit",26,94
"318","Jonas Chuzzlewit",224,94
"319","Jonas Chuzzlewit",298,94
"320","Jonas Chuzzlewit",201,94
"321","Jonas Chuzzlewit",173,94
"322","Jonas Chuzzlewit",294,94
"323","Jonas Chuzzlewit",299,94
"324","Jonas Chuzzlewit",259,94
"325","Jonas Chuzzlewit",308,94
"326","Jonas Chuzzlewit",202,94
"327","Jonas Chuzzlewit",139,94
"328","Jonas Chuzzlewit",282,94
"329","Jonas Chuzzlewit",348,94
"330","Jonas Chuzzlewit",134,94
"331","Jonas Chuzzlewit",207,94
"332","Jonas Chuzzlewit",82,94
"333","Jonas Chuzzlewit",283,94
"334","Jonas Chuzzlewit",340,94
"335","Jonas Chuzzlewit",333,94
"336","Jonas Chuzzlewit",133,94
"337","Jonas Chuzzlewit",341,94
"338","Jonas Chuzzlewit",80,94
"339","Jonas Chuzzlewit",194,94
"340","Jonas Chuzzlewit",148,94
"341","Jonas Chuzzlewit",188,94
"342","Jonas Chuzzlewit",277,94
"343","Jonas Chuzzlewit",200,94
"344","Jonas Chuzzlewit",145,94
"345","Jonas Chuzzlewit",172,94
"346","Jonas Chuzzlewit",79,94
"347","Jonas Chuzzlewit",349,94
"348","Jonas Chuzzlewit",138,94
"349","Jonas Chuzzlewit",310,94
"350","Jonas Chuzzlewit",187,94
"351","Jonas Chuzzlewit",279,94
"352","Jonas Chuzzlewit",177,94
"353","Jonas Chuzzlewit",305,94
"354","Jonas Chuzzlewit",136,94
"355","Jonas Chuzzlewit",131,94
"356","Jonas Chuzzlewit",196,94
"357","Jonas Chuzzlewit",324,94
"358","Jonas Chuzzlewit",261,94
