"","V1","V2"
"1","6","Seth Pecksniff"
"2","7","Charity Pecksniff"
"3","7","Seth Pecksniff"
"4","8","Charity Pecksniff"
"5","8","Seth Pecksniff"
"6","9","John Westlock"
"7","9","Seth Pecksniff"
"8","9","Tom Pinch"
"9","10","John Westlock"
"10","10","Seth Pecksniff"
"11","10","Tom Pinch"
"12","11","John Westlock"
"13","11","Tom Pinch"
"14","11","Seth Pecksniff"
"15","13","Seth Pecksniff"
"16","14","Seth Pecksniff"
"17","16","Mrs Lupin"
"18","16","Seth Pecksniff"
"19","17","Mrs Lupin"
"20","17","Seth Pecksniff"
"21","18","Seth Pecksniff"
"22","18","Martin Jr"
"23","18","Martin Sr"
"24","19","Seth Pecksniff"
"25","18","Mrs Lupin"
"26","20","Seth Pecksniff"
"27","22","Seth Pecksniff"
"28","23","Chevy Slyme"
"29","20","Martin Sr"
"30","23","Seth Pecksniff"
"31","23","Tigg Montague"
"32","24","Chevy Slyme"
"33","24","Mr/Mrs Spottletoe"
"34","22","Mrs Lupin"
"35","24","Seth Pecksniff"
"36","24","Tigg Montague"
"37","25","Anthony Chuzzlewit"
"38","9","Charity Pecksniff"
"39","25","Jonas Chuzzlewit"
"40","25","Mr/Mrs Spottletoe"
"41","2","Mrs Ned Chuzzlewit"
"42","25","Seth Pecksniff"
"43","26","Charity Pecksniff"
"44","25","Chevy Slyme"
"45","26","Mr/Mrs Spottletoe"
"46","26","Mrs Ned Chuzzlewit"
"47","26","Seth Pecksniff"
"48","25","Tigg Montague"
"49","26","Anthony Chuzzlewit"
"50","27","George Chuzzlewit"
"51","27","Mr/Mrs Spottletoe"
"52","27","Mrs Ned Chuzzlewit"
"53","27","Seth Pecksniff"
"54","27","Tigg Montague"
"55","27","Charity Pecksniff"
"56","28","George Chuzzlewit"
"57","24","Martin Sr"
"58","28","Mr/Mrs Spottletoe"
"59","28","Mrs Ned Chuzzlewit"
"60","28","Seth Pecksniff"
"61","29","Seth Pecksniff"
"62","28","Tigg Montague"
"63","30","Seth Pecksniff"
"64","12","Tom Pinch"
"65","31","Tom Pinch"
"66","32","Mark Tapley"
"67","25","Mrs Lupin"
"68","32","Tom Pinch"
"69","31","Seth Pecksniff"
"70","33","Tom Pinch"
"71","20","Martin Jr"
"72","34","Tom Pinch"
"73","35","Martin Jr"
"74","29","Martin Sr"
"75","34","Seth Pecksniff"
"76","35","Tom Pinch"
