"","Character","Node","Appearances"
"1","Anny",77,1
"2","Artful Dodger",148,27
"3","Artful Dodger",40,27
"4","Artful Dodger",32,27
"5","Artful Dodger",146,27
"6","Artful Dodger",64,27
"7","Artful Dodger",36,27
"8","Artful Dodger",51,27
"9","Artful Dodger",31,27
"10","Artful Dodger",159,27
"11","Artful Dodger",59,27
"12","Artful Dodger",58,27
"13","Artful Dodger",42,27
"14","Artful Dodger",85,27
"15","Artful Dodger",129,27
"16","Artful Dodger",29,27
"17","Artful Dodger",39,27
"18","Artful Dodger",145,27
"19","Artful Dodger",38,27
"20","Artful Dodger",130,27
"21","Artful Dodger",80,27
"22","Artful Dodger",128,27
"23","Artful Dodger",147,27
"24","Artful Dodger",41,27
"25","Artful Dodger",26,27
"26","Artful Dodger",79,27
"27","Artful Dodger",30,27
"28","Artful Dodger",60,27
"29","Barney",143,8
"30","Barney",72,8
"31","Barney",48,8
"32","Barney",152,8
"33","Barney",71,8
"34","Barney",73,8
"35","Barney",142,8
"36","Barney",83,8
"37","Bet",80,7
"38","Bet",29,7
"39","Bet",59,7
"40","Bet",53,7
"41","Bet",159,7
"42","Bet",60,7
"43","Bet",79,7
"44","Bill Sikes",160,50
"45","Bill Sikes",65,50
"46","Bill Sikes",84,50
"47","Bill Sikes",71,50
"48","Bill Sikes",64,50
"49","Bill Sikes",131,50
"50","Bill Sikes",151,50
"51","Bill Sikes",128,50
"52","Bill Sikes",149,50
"53","Bill Sikes",72,50
"54","Bill Sikes",103,50
"55","Bill Sikes",158,50
"56","Bill Sikes",82,50
"57","Bill Sikes",48,50
"58","Bill Sikes",42,50
"59","Bill Sikes",58,50
"60","Bill Sikes",162,50
"61","Bill Sikes",53,50
"62","Bill Sikes",170,50
"63","Bill Sikes",47,50
"64","Bill Sikes",159,50
"65","Bill Sikes",51,50
"66","Bill Sikes",62,50
"67","Bill Sikes",73,50
"68","Bill Sikes",68,50
"69","Bill Sikes",150,50
"70","Bill Sikes",135,50
"71","Bill Sikes",63,50
"72","Bill Sikes",41,50
"73","Bill Sikes",129,50
"74","Bill Sikes",67,50
"75","Bill Sikes",59,50
"76","Bill Sikes",141,50
"77","Bill Sikes",69,50
"78","Bill Sikes",132,50
"79","Bill Sikes",164,50
"80","Bill Sikes",61,50
"81","Bill Sikes",83,50
"82","Bill Sikes",81,50
"83","Bill Sikes",52,50
"84","Bill Sikes",182,50
"85","Bill Sikes",66,50
"86","Bill Sikes",50,50
"87","Bill Sikes",90,50
"88","Bill Sikes",184,50
"89","Bill Sikes",171,50
"90","Bill Sikes",40,50
"91","Bill Sikes",130,50
"92","Bill Sikes",91,50
"93","Bill Sikes",70,50
"94","Blathers",99,5
"95","Blathers",139,5
"96","Blathers",102,5
"97","Blathers",101,5
"98","Blathers",100,5
"99","Brittles",93,11
"100","Brittles",91,11
"101","Brittles",94,11
"102","Brittles",184,11
"103","Brittles",90,11
"104","Brittles",102,11
"105","Brittles",99,11
"106","Brittles",98,11
"107","Brittles",97,11
"108","Brittles",96,11
"109","Brittles",92,11
"110","Charley Bates",38,25
"111","Charley Bates",169,25
"112","Charley Bates",39,25
"113","Charley Bates",53,25
"114","Charley Bates",184,25
"115","Charley Bates",58,25
"116","Charley Bates",129,25
"117","Charley Bates",80,25
"118","Charley Bates",147,25
"119","Charley Bates",31,25
"120","Charley Bates",79,25
"121","Charley Bates",128,25
"122","Charley Bates",60,25
"123","Charley Bates",32,25
"124","Charley Bates",148,25
"125","Charley Bates",171,25
"126","Charley Bates",29,25
"127","Charley Bates",170,25
"128","Charley Bates",59,25
"129","Charley Bates",41,25
"130","Charley Bates",159,25
"131","Charley Bates",51,25
"132","Charley Bates",40,25
"133","Charley Bates",130,25
"134","Charley Bates",146,25
"135","Charlotte",20,14
"136","Charlotte",14,14
"137","Charlotte",184,14
"138","Charlotte",13,14
"139","Charlotte",19,14
"140","Charlotte",142,14
"141","Charlotte",143,14
"142","Charlotte",22,14
"143","Charlotte",21,14
"144","Charlotte",15,14
"145","Charlotte",89,14
"146","Charlotte",88,14
"147","Charlotte",141,14
"148","Charlotte",144,14
"149","Conkey Chickweed",101,3
"150","Conkey Chickweed",102,3
"151","Conkey Chickweed",100,3
"152","Dick",55,5
"153","Dick",175,5
"154","Dick",48,5
"155","Dick",23,5
"156","Dick",179,5
"157","Duff",116,6
"158","Duff",99,6
"159","Duff",100,6
"160","Duff",102,6
"161","Duff",139,6
"162","Duff",101,6
"163","Edward Leeford",130,25
"164","Edward Leeford",166,25
"165","Edward Leeford",134,25
"166","Edward Leeford",178,25
"167","Edward Leeford",125,25
"168","Edward Leeford",135,25
"169","Edward Leeford",86,25
"170","Edward Leeford",124,25
"171","Edward Leeford",139,25
"172","Edward Leeford",126,25
"173","Edward Leeford",165,25
"174","Edward Leeford",155,25
"175","Edward Leeford",184,25
"176","Edward Leeford",175,25
"177","Edward Leeford",182,25
"178","Edward Leeford",168,25
"179","Edward Leeford",176,25
"180","Edward Leeford",177,25
"181","Edward Leeford",156,25
"182","Edward Leeford",131,25
"183","Edward Leeford",140,25
"184","Edward Leeford",85,25
"185","Edward Leeford",127,25
"186","Edward Leeford",167,25
"187","Edward Leeford",159,25
"188","Fagin",72,56
"189","Fagin",83,56
"190","Fagin",47,56
"191","Fagin",176,56
"192","Fagin",53,56
"193","Fagin",40,56
"194","Fagin",85,56
"195","Fagin",135,56
"196","Fagin",147,56
"197","Fagin",51,56
"198","Fagin",131,56
"199","Fagin",61,56
"200","Fagin",164,56
"201","Fagin",184,56
"202","Fagin",29,56
"203","Fagin",52,56
"204","Fagin",30,56
"205","Fagin",41,56
"206","Fagin",39,56
"207","Fagin",128,56
"208","Fagin",144,56
"209","Fagin",151,56
"210","Fagin",105,56
"211","Fagin",152,56
"212","Fagin",153,56
"213","Fagin",64,56
"214","Fagin",149,56
"215","Fagin",62,56
"216","Fagin",146,56
"217","Fagin",134,56
"218","Fagin",159,56
"219","Fagin",82,56
"220","Fagin",60,56
"221","Fagin",170,56
"222","Fagin",26,56
"223","Fagin",169,56
"224","Fagin",145,56
"225","Fagin",182,56
"226","Fagin",129,56
"227","Fagin",130,56
"228","Fagin",63,56
"229","Fagin",183,56
"230","Fagin",80,56
"231","Fagin",142,56
"232","Fagin",84,56
"233","Fagin",156,56
"234","Fagin",171,56
"235","Fagin",158,56
"236","Fagin",79,56
"237","Fagin",59,56
"238","Fagin",58,56
"239","Fagin",65,56
"240","Fagin",150,56
"241","Fagin",148,56
"242","Fagin",48,56
"243","Fagin",143,56
"244","Grannett",75,1
"245","Harry Maylie",113,13
"246","Harry Maylie",184,13
"247","Harry Maylie",119,13
"248","Harry Maylie",116,13
"249","Harry Maylie",109,13
"250","Harry Maylie",179,13
"251","Harry Maylie",114,13
"252","Harry Maylie",140,13
"253","Harry Maylie",137,13
"254","Harry Maylie",118,13
"255","Harry Maylie",178,13
"256","Harry Maylie",117,13
"257","Harry Maylie",112,13
"258","Jem Spyers",101,1
"259","Kags",169,2
"260","Kags",170,2
"261","Martha",78,1
"262","Morris Bolter",146,5
"263","Morris Bolter",145,5
"264","Morris Bolter",152,5
"265","Morris Bolter",144,5
"266","Morris Bolter",147,5
"267","Mr Brownlow",176,31
"268","Mr Brownlow",137,31
"269","Mr Brownlow",168,31
"270","Mr Brownlow",53,31
"271","Mr Brownlow",178,31
"272","Mr Brownlow",46,31
"273","Mr Brownlow",57,31
"274","Mr Brownlow",35,31
"275","Mr Brownlow",56,31
"276","Mr Brownlow",140,31
"277","Mr Brownlow",44,31
"278","Mr Brownlow",182,31
"279","Mr Brownlow",157,31
"280","Mr Brownlow",183,31
"281","Mr Brownlow",185,31
"282","Mr Brownlow",36,31
"283","Mr Brownlow",104,31
"284","Mr Brownlow",179,31
"285","Mr Brownlow",43,31
"286","Mr Brownlow",175,31
"287","Mr Brownlow",37,31
"288","Mr Brownlow",165,31
"289","Mr Brownlow",167,31
"290","Mr Brownlow",166,31
"291","Mr Brownlow",184,31
"292","Mr Brownlow",38,31
"293","Mr Brownlow",138,31
"294","Mr Brownlow",45,31
"295","Mr Brownlow",177,31
"296","Mr Brownlow",34,31
"297","Mr Brownlow",139,31
"298","Mr Bumble",13,37
"299","Mr Bumble",16,37
"300","Mr Bumble",87,37
"301","Mr Bumble",4,37
"302","Mr Bumble",9,37
"303","Mr Bumble",124,37
"304","Mr Bumble",6,37
"305","Mr Bumble",20,37
"306","Mr Bumble",7,37
"307","Mr Bumble",11,37
"308","Mr Bumble",123,37
"309","Mr Bumble",74,37
