"Character","Node"
"Abbey Potterson",15
"Alfred Lammle",41
"Analytical Chemist",11
"Bella Wilfer",97
"Betty Higden",22
"Blight",5
"Bob Glamour",3
"Bob Gliddery",5
"Boots Brewer",16
"Bradley Headstone",50
"Captain Joey",3
"Charley Hexam",21
"Eugene Wrayburn",81
"Fledgeby",35
"Gaffer Hexam",20
"George Jones",8
"George Sampson",17
"Georgiana Podsnap",22
"Gruff and Glum",2
"Jack Mullins",1
"Jacob Kibble",4
"Jenny Wren",44
"Job Potterson",3
"John Harmon",111
"Johnny",12
"Lady Tippins",22
"Lavinia Wilfer",28
"Lizzie Hexam",70
"Lord Snigsworth",10
"Mary Anne",5
"Melvin Twemlow",29
"Miss Peecher",10
"Mortimer Lightwood",66
"Mr Boffin",103
"Mr Dolls",10
"Mr Grompus",1
"Mr Inspector",16
"Mr Podsnap",18
"Mr Riah",31
"Mr Veneering",34
"Mr Wilfer",41
"Mrs  Veneering",27
"Mrs Boffin",83
"Mrs Milvey",11
"Mrs Podsnap",12
"Mrs Sprodgkin",2
"Mrs Swoshle",1
"Mrs Wilfer",28
"MrVenus",34
"Pleasant Riderhood",12
"Poddles",3
"Reverend  FrankMilvey",12
"Rogue Riderhood",46
"Silas Wegg",45
"Sloppy",21
"Sophronia Akershem",40
"The Tapkins",1
"Toddles",3
"Tom Tootle",4
"William Williams",2
