"","V1","V2"
"1","1","Samuel Pickwick"
"2","1","Augustus Snodgrass"
"3","1","Nathaniel Winkle"
"4","2","Samuel Pickwick"
"5","1","Tracy Tupman"
"6","3","Augustus Snodgrass"
"7","3","Nathaniel Winkle"
"8","3","Samuel Pickwick"
"9","3","Tracy Tupman"
"10","4","Augustus Snodgrass"
"11","4","Nathaniel Winkle"
"12","4","Samuel Pickwick"
"13","4","Tracy Tupman"
"14","5","Augustus Snodgrass"
"15","5","Nathaniel Winkle"
"16","5","Samuel Pickwick"
"17","5","Tracy Tupman"
"18","6","Lady Clubber"
"19","6","Tracy Tupman"
"20","6","Augustus Snodgrass"
"21","7","Doctor Slammer"
"22","6","Nathaniel Winkle"
"23","6","Samuel Pickwick"
"24","7","Tracy Tupman"
"25","8","Augustus Snodgrass"
"26","8","Doctor Slammer"
"27","8","Nathaniel Winkle"
"28","8","Samuel Pickwick"
"29","8","Tracy Tupman"
"30","9","Augustus Snodgrass"
"31","9","Doctor Slammer"
"32","9","Nathaniel Winkle"
"33","9","Samuel Pickwick"
"34","9","Tracy Tupman"
"35","10","Augustus Snodgrass"
"36","10","Nathaniel Winkle"
"37","10","Samuel Pickwick"
"38","10","Tracy Tupman"
"39","11","Jem Hutley"
"40","11","Augustus Snodgrass"
"41","10","Doctor Payne"
"42","10","Lieutenant Tappleton"
"43","11","Nathaniel Winkle"
"44","11","Samuel Pickwick"
"45","11","Tracy Tupman"
"46","13","Augustus Snodgrass"
"47","13","Doctor Payne"
"48","10","Doctor Slammer"
"49","13","Lieutenant Tappleton"
"50","13","Nathaniel Winkle"
"51","13","Samuel Pickwick"
"52","13","Tracy Tupman"
"53","14","Augustus Snodgrass"
"54","7","Colonel Bulder"
"55","14","Nathaniel Winkle"
"56","14","Samuel Pickwick"
"57","14","Tracy Tupman"
"58","15","Augustus Snodgrass"
"59","15","Nathaniel Winkle"
"60","15","Samuel Pickwick"
"61","15","Tracy Tupman"
"62","16","Augustus Snodgrass"
"63","16","Joe"
"64","16","Nathaniel Winkle"
"65","16","Samuel Pickwick"
"66","16","Tracy Tupman"
"67","17","Emily Wardle"
"68","17","Isabella Wardle"
"69","17","Joe"
"70","17","Mr Wardle"
"71","17","Rachael Wardle"
"72","17","Samuel Pickwick"
"73","17","Tracy Tupman"
"74","17","Augustus Snodgrass"
"75","18","Mr Wardle"
"76","17","Nathaniel Winkle"
"77","18","Samuel Pickwick"
"78","18","Tracy Tupman"
"79","19","Augustus Snodgrass"
"80","19","Nathaniel Winkle"
"81","19","Samuel Pickwick"
"82","19","Tracy Tupman"
"83","20","Augustus Snodgrass"
"84","18","Joe"
"85","19","Mr Wardle"
"86","20","Nathaniel Winkle"
"87","20","Samuel Pickwick"
"88","20","Tracy Tupman"
"89","21","Emma"
"90","21","Tracy Tupman"
"91","21","Augustus Snodgrass"
"92","18","Isabella Wardle"
"93","21","Mr Wardle"
"94","21","Samuel Pickwick"
"95","22","Tracy Tupman"
"96","23","Augustus Snodgrass"
"97","23","Clergyman"
"98","23","Isabella Wardle"
"99","17","Mr Trundle"
"100","23","Mr Wardle"
"101","23","Mrs Wardle"
"102","21","Nathaniel Winkle"
"103","23","Samuel Pickwick"
"104","23","Tracy Tupman"
"105","24","Augustus Snodgrass"
"106","23","Mr Miller"
"107","24","Mr Wardle"
"108","24","Mrs Wardle"
"109","24","Samuel Pickwick"
"110","24","Tracy Tupman"
"111","25","John Edmunds"
"112","26","John Edmunds"
"113","25","Augustus Snodgrass"
"114","24","Clergyman"
"115","21","Joe"
"116","25","Mr Wardle"
"117","24","Nathaniel Winkle"
"118","25","Samuel Pickwick"
"119","25","Tracy Tupman"
"120","28","Augustus Snodgrass"
"121","24","Isabella Wardle"
"122","28","Mr Wardle"
"123","28","Nathaniel Winkle"
"124","18","Rachael Wardle"
"125","28","Samuel Pickwick"
"126","28","Tracy Tupman"
"127","29","Augustus Snodgrass"
"128","29","Mr Wardle"
"129","29","Nathaniel Winkle"
