"","x"
"1","Akerman"
"2","Barnaby Rudge"
"3","Dolly Varden"
"4","Edward Chester"
"5","Emma Haredale"
"6","Gabriel Varden"
"7","Gashford"
"8","General Conway"
"9","Geoffrey Haredale"
"10","Herbert"
"11","Hugh"
"12","Joe Willet"
"13","John Chester"
"14","John Fielding"
"15","John Grueby"
"16","John Willet"
"17","Lord George Gordon"
"18","Mark Gilbert"
"19","Martha Varden"
"20","Mary Jones"
"21","Miggs"
"22","Mr Rudge"
"23","Mrs Rudge"
"24","Ned Dennis"
"25","Phil Parkes"
"26","Simon Tappertit"
"27","Solomon Daisy"
"28","The Black Lion"
"29","Peak"
"30","Stagg"
"31","Tom Cobb"
"32","Tom Green"
"33","Lord Algernon Percy"
"34","Philips"
