"Character","Node","Appearances"
"Akerman",65,2
"Akerman",78,2
"Barnaby Rudge",60,37
"Barnaby Rudge",48,37
"Barnaby Rudge",70,37
"Barnaby Rudge",77,37
"Barnaby Rudge",7,37
"Barnaby Rudge",61,37
"Barnaby Rudge",76,37
"Barnaby Rudge",20,37
"Barnaby Rudge",11,37
"Barnaby Rudge",6,37
"Barnaby Rudge",5,37
"Barnaby Rudge",74,37
"Barnaby Rudge",54,37
"Barnaby Rudge",50,37
"Barnaby Rudge",12,37
"Barnaby Rudge",49,37
"Barnaby Rudge",25,37
"Barnaby Rudge",53,37
"Barnaby Rudge",78,37
"Barnaby Rudge",69,37
"Barnaby Rudge",46,37
"Barnaby Rudge",41,37
"Barnaby Rudge",4,37
"Barnaby Rudge",47,37
"Barnaby Rudge",26,37
"Barnaby Rudge",59,37
"Barnaby Rudge",83,37
"Barnaby Rudge",8,37
"Barnaby Rudge",43,37
"Barnaby Rudge",66,37
"Barnaby Rudge",13,37
"Barnaby Rudge",58,37
"Barnaby Rudge",18,37
"Barnaby Rudge",63,37
"Barnaby Rudge",80,37
"Barnaby Rudge",27,37
"Barnaby Rudge",51,37
"Dolly Varden",25,25
"Dolly Varden",73,25
"Dolly Varden",24,25
"Dolly Varden",20,25
"Dolly Varden",71,25
"Dolly Varden",31,25
"Dolly Varden",23,25
"Dolly Varden",21,25
"Dolly Varden",60,25
"Dolly Varden",14,25
"Dolly Varden",22,25
"Dolly Varden",8,25
"Dolly Varden",72,25
"Dolly Varden",29,25
"Dolly Varden",42,25
"Dolly Varden",10,25
"Dolly Varden",4,25
"Dolly Varden",83,25
"Dolly Varden",79,25
"Dolly Varden",81,25
"Dolly Varden",74,25
"Dolly Varden",32,25
"Dolly Varden",43,25
"Dolly Varden",28,25
"Dolly Varden",5,25
"Edward Chester",76,20
"Edward Chester",20,20
"Edward Chester",80,20
"Edward Chester",15,20
"Edward Chester",42,20
"Edward Chester",83,20
"Edward Chester",27,20
"Edward Chester",73,20
"Edward Chester",82,20
"Edward Chester",24,20
"Edward Chester",7,20
"Edward Chester",79,20
"Edward Chester",33,20
"Edward Chester",21,20
"Edward Chester",68,20
"Edward Chester",30,20
"Edward Chester",28,20
"Edward Chester",43,20
"Edward Chester",72,20
"Edward Chester",16,20
"Emma Haredale",26,17
"Emma Haredale",30,17
"Emma Haredale",5,17
"Emma Haredale",80,17
"Emma Haredale",43,17
"Emma Haredale",74,17
"Emma Haredale",42,17
"Emma Haredale",35,17
"Emma Haredale",60,17
"Emma Haredale",28,17
"Emma Haredale",13,17
"Emma Haredale",71,17
"Emma Haredale",16,17
"Emma Haredale",22,17
"Emma Haredale",21,17
"Emma Haredale",72,17
"Emma Haredale",2,17
"Gabriel Varden",20,28
"Gabriel Varden",52,28
"Gabriel Varden",8,28
"Gabriel Varden",4,28
"Gabriel Varden",6,28
"Gabriel Varden",14,28
"Gabriel Varden",31,28
"Gabriel Varden",32,28
"Gabriel Varden",42,28
"Gabriel Varden",27,28
"Gabriel Varden",64,28
"Gabriel Varden",40,28
"Gabriel Varden",76,28
"Gabriel Varden",80,28
"Gabriel Varden",21,28
"Gabriel Varden",60,28
"Gabriel Varden",25,28
"Gabriel Varden",3,28
"Gabriel Varden",24,28
"Gabriel Varden",7,28
"Gabriel Varden",43,28
"Gabriel Varden",75,28
"Gabriel Varden",5,28
"Gabriel Varden",83,28
"Gabriel Varden",65,28
"Gabriel Varden",79,28
"Gabriel Varden",28,28
"Gabriel Varden",23,28
"Gashford",58,20
"Gashford",50,20
"Gashford",83,20
"Gashford",60,20
"Gashford",49,20
"Gashford",72,20
"Gashford",53,20
"Gashford",44,20
"Gashford",82,20
"Gashford",45,20
"Gashford",54,20
"Gashford",40,20
"Gashford",36,20
"Gashford",52,20
"Gashford",51,20
"Gashford",71,20
"Gashford",55,20
"Gashford",37,20
"Gashford",38,20
"Gashford",39,20
"General Conway",50,1
"Geoffrey Haredale",11,31
"Geoffrey Haredale",82,31
"Geoffrey Haredale",21,31
"Geoffrey Haredale",15,31
"Geoffrey Haredale",16,31
"Geoffrey Haredale",57,31
"Geoffrey Haredale",62,31
"Geoffrey Haredale",33,31
"Geoffrey Haredale",45,31
"Geoffrey Haredale",12,31
"Geoffrey Haredale",56,31
"Geoffrey Haredale",55,31
"Geoffrey Haredale",27,31
"Geoffrey Haredale",80,31
"Geoffrey Haredale",28,31
"Geoffrey Haredale",41,31
"Geoffrey Haredale",26,31
"Geoffrey Haredale",83,31
"Geoffrey Haredale",30,31
"Geoffrey Haredale",77,31
"Geoffrey Haredale",67,31
"Geoffrey Haredale",60,31
"Geoffrey Haredale",42,31
"Geoffrey Haredale",68,31
"Geoffrey Haredale",44,31
"Geoffrey Haredale",54,31
"Geoffrey Haredale",43,31
"Geoffrey Haredale",2,31
"Geoffrey Haredale",72,31
"Geoffrey Haredale",35,31
"Geoffrey Haredale",13,31
"Herbert",74,1
"Hugh",1,45
"Hugh",11,45
"Hugh",18,45
"Hugh",60,45
"Hugh",69,45
"Hugh",15,45
"Hugh",41,45
"Hugh",24,45
"Hugh",29,45
"Hugh",61,45
"Hugh",26,45
"Hugh",78,45
"Hugh",71,45
"Hugh",65,45
"Hugh",53,45
"Hugh",51,45
"Hugh",83,45
"Hugh",77,45
"Hugh",58,45
"Hugh",39,45
"Hugh",64,45
"Hugh",12,45
"Hugh",50,45
"Hugh",14,45
"Hugh",72,45
"Hugh",38,45
"Hugh",40,45
"Hugh",75,45
"Hugh",23,45
"Hugh",43,45
"Hugh",13,45
"Hugh",59,45
"Hugh",66,45
"Hugh",70,45
"Hugh",22,45
"Hugh",36,45
"Hugh",76,45
"Hugh",56,45
"Hugh",68,45
"Hugh",45,45
"Hugh",49,45
"Hugh",30,45
"Hugh",54,45
"Hugh",35,45
"Hugh",55,45
"Joe Willet",68,27
"Joe Willet",21,27
"Joe Willet",26,27
"Joe Willet",3,27
"Joe Willet",14,27
"Joe Willet",60,27
"Joe Willet",72,27
"Joe Willet",2,27
"Joe Willet",12,27
"Joe Willet",73,27
"Joe Willet",33,27
"Joe Willet",22,27
"Joe Willet",4,27
"Joe Willet",32,27
"Joe Willet",31,27
"Joe Willet",20,27
"Joe Willet",29,27
"Joe Willet",15,27
"Joe Willet",23,27
"Joe Willet",83,27
"Joe Willet",30,27
"Joe Willet",79,27
"Joe Willet",42,27
"Joe Willet",81,27
"Joe Willet",11,27
"Joe Willet",5,27
"Joe Willet",74,27
"John Chester",12,20
"John Chester",24,20
"John Chester",44,20
"John Chester",33,20
"John Chester",27,20
"John Chester",6,20
"John Chester",13,20
"John Chester",11,20
"John Chester",77,20
"John Chester",16,20
"John Chester",76,20
"John Chester",41,20
"John Chester",29,20
"John Chester",54,20
"John Chester",28,20
"John Chester",30,20
"John Chester",14,20
"John Chester",82,20
"John Chester",25,20
"John Chester",31,20
"John Fielding",62,2
"John Fielding",67,2
"John Grueby",83,8
"John Grueby",67,8
"John Grueby",44,8
"John Grueby",36,8
"John Grueby",38,8
"John Grueby",68,8
"John Grueby",39,8
"John Grueby",58,8
"John Willet",26,49
"John Willet",7,49
"John Willet",67,49
"John Willet",83,49
"John Willet",73,49
"John Willet",38,49
"John Willet",76,49
"John Willet",22,49
"John Willet",35,49
"John Willet",58,49
"John Willet",48,49
"John Willet",15,49
"John Willet",44,49
"John Willet",59,49
"John Willet",3,49
"John Willet",31,49
"John Willet",30,49
"John Willet",32,49
"John Willet",57,49
"John Willet",42,49
"John Willet",41,49
"John Willet",72,49
"John Willet",82,49
"John Willet",39,49
"John Willet",14,49
"John Willet",16,49
"John Willet",81,49
"John Willet",54,49
"John Willet",79,49
"John Willet",13,49
"John Willet",9,49
"John Willet",28,49
"John Willet",4,49
"John Willet",12,49
"John Willet",80,49
"John Willet",6,49
"John Willet",56,49
"John Willet",34,49
"John Willet",11,49
"John Willet",55,49
"John Willet",33,49
"John Willet",62,49
"John Willet",25,49
"John Willet",23,49
"John Willet",20,49
"John Willet",2,49
"John Willet",68,49
"John Willet",5,49
"John Willet",36,49
"Lord Algernon Percy",68,1
"Lord George Gordon",67,17
"Lord George Gordon",36,17
"Lord George Gordon",49,17
"Lord George Gordon",38,17
"Lord George Gordon",51,17
"Lord George Gordon",42,17
"Lord George Gordon",53,17
"Lord George Gordon",39,17
"Lord George Gordon",41,17
"Lord George Gordon",50,17
"Lord George Gordon",83,17
"Lord George Gordon",44,17
"Lord George Gordon",74,17
"Lord George Gordon",54,17
"Lord George Gordon",58,17
"Lord George Gordon",37,17
"Lord George Gordon",40,17
"Mark Gilbert",9,2
"Mark Gilbert",40,2
"Martha Varden",4,20
"Martha Varden",30,20
"Martha Varden",32,20
"Martha Varden",43,20
"Martha Varden",5,20
"Martha Varden",52,20
"Martha Varden",23,20
"Martha Varden",72,20
