"","V1","V2"
"1","3","Joe Willet"
"2","3","John Willet"
"3","3","Solomon Daisy"
"4","4","Gabriel Varden"
"5","4","Joe Willet"
"6","4","John Willet"
"7","4","Martha Varden"
"8","4","Solomon Daisy"
"9","5","Barnaby Rudge"
"10","5","Dolly Varden"
"11","5","Emma Haredale"
"12","5","Gabriel Varden"
"13","5","Joe Willet"
"14","5","John Willet"
"15","5","Martha Varden"
"16","6","Barnaby Rudge"
"17","6","Gabriel Varden"
"18","6","John Willet"
"19","7","Barnaby Rudge"
"20","7","Gabriel Varden"
"21","7","John Willet"
"22","7","Mary Jones"
"23","7","Mrs Rudge"
"24","8","Barnaby Rudge"
"25","8","Dolly Varden"
"26","8","Gabriel Varden"
"27","8","Martha Varden"
"28","9","John Willet"
"29","10","Dolly Varden"
"30","10","Miggs"
"31","11","Barnaby Rudge"
"32","11","Geoffrey Haredale"
"33","11","Hugh"
"34","11","Joe Willet"
"35","11","John Chester"
"36","11","John Willet"
"37","11","Mrs Rudge"
"38","12","Barnaby Rudge"
"39","12","Geoffrey Haredale"
"40","12","Hugh"
"41","12","Joe Willet"
"42","12","John Chester"
"43","12","John Willet"
"44","12","Phil Parkes"
"45","12","Solomon Daisy"
"46","13","Barnaby Rudge"
"47","13","Emma Haredale"
"48","13","Geoffrey Haredale"
"49","13","Hugh"
"50","13","John Chester"
"51","13","John Willet"
"52","13","Ned Dennis"
"53","14","Dolly Varden"
"54","14","Gabriel Varden"
"55","14","Hugh"
"56","14","Joe Willet"
"57","14","John Chester"
"58","14","John Willet"
"59","14","Martha Varden"
"60","14","Miggs"
"61","15","Edward Chester"
"62","15","Geoffrey Haredale"
"63","15","Hugh"
"64","15","Joe Willet"
"65","15","John Willet"
"66","16","Edward Chester"
"67","16","Emma Haredale"
"68","16","Geoffrey Haredale"
"69","16","John Chester"
"70","16","John Willet"
"71","16","Ned Dennis"
"72","18","Barnaby Rudge"
"73","18","Hugh"
"74","19","Miggs"
"75","19","Stagg"
"76","20","Barnaby Rudge"
"77","20","Dolly Varden"
"78","20","Edward Chester"
"79","20","Gabriel Varden"
"80","20","Joe Willet"
"81","20","John Willet"
"82","20","Martha Varden"
"83","20","Miggs"
"84","21","Dolly Varden"
"85","21","Edward Chester"
"86","21","Emma Haredale"
"87","21","Gabriel Varden"
"88","21","Geoffrey Haredale"
"89","21","Joe Willet"
"90","22","Dolly Varden"
"91","22","Emma Haredale"
"92","22","Hugh"
"93","22","Joe Willet"
"94","22","John Willet"
"95","22","Martha Varden"
"96","23","Dolly Varden"
"97","23","Gabriel Varden"
"98","23","Hugh"
"99","23","Joe Willet"
"100","23","John Willet"
"101","23","Martha Varden"
"102","23","Miggs"
"103","24","Dolly Varden"
"104","24","Edward Chester"
"105","24","Gabriel Varden"
"106","24","Hugh"
"107","24","John Chester"
"108","24","Ned Dennis"
"109","25","Barnaby Rudge"
"110","25","Dolly Varden"
"111","25","Gabriel Varden"
"112","25","John Chester"
"113","25","John Willet"
"114","25","Miggs"
"115","25","Mr Rudge"
"116","25","Mrs Rudge"
"117","25","Simon Tappertit"
"118","26","Barnaby Rudge"
"119","26","Emma Haredale"
"120","26","Geoffrey Haredale"
"121","26","Hugh"
"122","26","Joe Willet"
"123","26","John Willet"
"124","26","Mary Jones"
