"source" "target" "tag"
"1" 2 3 "Joe Willet"
"2" 2 3 "John Willet"
"3" 2 3 "Solomon Daisy"
"4" 3 4 "Gabriel Varden"
"5" 3 4 "Joe Willet"
"6" 3 4 "John Willet"
"7" 3 4 "Martha Varden"
"8" 3 4 "Solomon Daisy"
"9" 4 5 "Barnaby Rudge"
"10" 4 5 "Dolly Varden"
"11" 2 5 "Emma Haredale"
"12" 4 5 "Gabriel Varden"
"13" 4 5 "Joe Willet"
"14" 4 5 "John Willet"
"15" 4 5 "Martha Varden"
"16" 5 6 "Barnaby Rudge"
"17" 5 6 "Gabriel Varden"
"18" 5 6 "John Willet"
"19" 6 7 "Barnaby Rudge"
"20" 6 7 "Gabriel Varden"
"21" 6 7 "John Willet"
"22" 1 7 "Mary Jones"
"23" 5 7 "Mrs Rudge"
"24" 7 8 "Barnaby Rudge"
"25" 5 8 "Dolly Varden"
"26" 7 8 "Gabriel Varden"
"27" 5 8 "Martha Varden"
"28" 7 9 "John Willet"
"29" 8 10 "Dolly Varden"
"30" 8 10 "Miggs"
"31" 8 11 "Barnaby Rudge"
"32" 2 11 "Geoffrey Haredale"
"33" 1 11 "Hugh"
"34" 5 11 "Joe Willet"
"35" 6 11 "John Chester"
"36" 9 11 "John Willet"
"37" 7 11 "Mrs Rudge"
"38" 11 12 "Barnaby Rudge"
"39" 11 12 "Geoffrey Haredale"
"40" 11 12 "Hugh"
"41" 11 12 "Joe Willet"
"42" 11 12 "John Chester"
"43" 11 12 "John Willet"
"44" 2 12 "Phil Parkes"
"45" 4 12 "Solomon Daisy"
"46" 12 13 "Barnaby Rudge"
"47" 5 13 "Emma Haredale"
"48" 12 13 "Geoffrey Haredale"
"49" 12 13 "Hugh"
"50" 12 13 "John Chester"
"51" 12 13 "John Willet"
"52" 1 13 "Ned Dennis"
"53" 10 14 "Dolly Varden"
"54" 8 14 "Gabriel Varden"
"55" 13 14 "Hugh"
"56" 12 14 "Joe Willet"
"57" 13 14 "John Chester"
"58" 13 14 "John Willet"
"59" 8 14 "Martha Varden"
"60" 10 14 "Miggs"
"61" 7 15 "Edward Chester"
"62" 13 15 "Geoffrey Haredale"
"63" 14 15 "Hugh"
"64" 14 15 "Joe Willet"
"65" 14 15 "John Willet"
"66" 15 16 "Edward Chester"
"67" 13 16 "Emma Haredale"
"68" 15 16 "Geoffrey Haredale"
"69" 14 16 "John Chester"
"70" 15 16 "John Willet"
"71" 13 16 "Ned Dennis"
"72" 13 18 "Barnaby Rudge"
"73" 15 18 "Hugh"
"74" 14 19 "Miggs"
"75" 9 19 "Stagg"
"76" 18 20 "Barnaby Rudge"
"77" 14 20 "Dolly Varden"
"78" 16 20 "Edward Chester"
"79" 14 20 "Gabriel Varden"
"80" 15 20 "Joe Willet"
"81" 16 20 "John Willet"
