"id1" "id2" "label"
"Akerman" "Barnaby Rudge" 1
"Akerman" "Gabriel Varden" 1
"Akerman" "Hugh" 2
"Akerman" "Mr Rudge" 1
"Akerman" "Ned Dennis" 2
"Barnaby Rudge" "Dolly Varden" 9
"Barnaby Rudge" "Edward Chester" 7
"Barnaby Rudge" "Emma Haredale" 7
"Barnaby Rudge" "Gabriel Varden" 13
"Barnaby Rudge" "Gashford" 8
"Barnaby Rudge" "General Conway" 1
"Barnaby Rudge" "Geoffrey Haredale" 12
"Barnaby Rudge" "Herbert" 1
"Barnaby Rudge" "Hugh" 23
"Barnaby Rudge" "Joe Willet" 9
"Barnaby Rudge" "John Chester" 10
"Barnaby Rudge" "John Grueby" 2
"Barnaby Rudge" "John Willet" 18
"Barnaby Rudge" "Lord George Gordon" 9
"Barnaby Rudge" "Martha Varden" 7
"Barnaby Rudge" "Mary Jones" 4
"Barnaby Rudge" "Miggs" 7
"Barnaby Rudge" "Mr Rudge" 8
"Barnaby Rudge" "Mrs Rudge" 5
"Barnaby Rudge" "Ned Dennis" 15
"Barnaby Rudge" "Peak" 1
"Barnaby Rudge" "Phil Parkes" 2
"Barnaby Rudge" "Simon Tappertit" 12
"Barnaby Rudge" "Solomon Daisy" 3
"Barnaby Rudge" "Stagg" 4
"Barnaby Rudge" "The Black Lion" 1
"Barnaby Rudge" "Tom Cobb" 1
"Barnaby Rudge" "Tom Green" 1
"Dolly Varden" "Edward Chester" 10
"Dolly Varden" "Emma Haredale" 10
"Dolly Varden" "Gabriel Varden" 17
"Dolly Varden" "Gashford" 4
"Dolly Varden" "Geoffrey Haredale" 7
"Dolly Varden" "Herbert" 1
"Dolly Varden" "Hugh" 10
"Dolly Varden" "Joe Willet" 18
"Dolly Varden" "John Chester" 6
"Dolly Varden" "John Grueby" 1
"Dolly Varden" "John Willet" 16
"Dolly Varden" "Lord George Gordon" 3
"Dolly Varden" "Martha Varden" 14
"Dolly Varden" "Miggs" 15
"Dolly Varden" "Mr Rudge" 1
"Dolly Varden" "Mrs Rudge" 4
"Dolly Varden" "Ned Dennis" 5
"Dolly Varden" "Peak" 1
"Dolly Varden" "Phil Parkes" 2
"Dolly Varden" "Simon Tappertit" 7
"Dolly Varden" "Solomon Daisy" 4
"Dolly Varden" "The Black Lion" 5
"Dolly Varden" "Tom Cobb" 4
"Edward Chester" "Emma Haredale" 8
"Edward Chester" "Gabriel Varden" 12
"Edward Chester" "Gashford" 3
"Edward Chester" "Geoffrey Haredale" 14
"Edward Chester" "Hugh" 8
"Edward Chester" "Joe Willet" 11
"Edward Chester" "John Chester" 8
"Edward Chester" "John Grueby" 2
"Edward Chester" "John Willet" 16
"Edward Chester" "Lord Algernon Percy" 1
"Edward Chester" "Lord George Gordon" 2
"Edward Chester" "Martha Varden" 9
"Edward Chester" "Mary Jones" 2
"Edward Chester" "Miggs" 7
"Edward Chester" "Mr Rudge" 2
"Edward Chester" "Mrs Rudge" 3
"Edward Chester" "Ned Dennis" 8
"Edward Chester" "Peak" 2
"Edward Chester" "Phil Parkes" 1
"Edward Chester" "Simon Tappertit" 3
"Edward Chester" "Solomon Daisy" 2
"Edward Chester" "The Black Lion" 4
"Edward Chester" "Tom Cobb" 2
"Emma Haredale" "Gabriel Varden" 7
"Emma Haredale" "Gashford" 3
"Emma Haredale" "Geoffrey Haredale" 13
"Emma Haredale" "Herbert" 1
"Emma Haredale" "Hugh" 9
"Emma Haredale" "Joe Willet" 10
"Emma Haredale" "John Chester" 4
"Emma Haredale" "John Willet" 12
"Emma Haredale" "Lord George Gordon" 2
"Emma Haredale" "Martha Varden" 8
"Emma Haredale" "Mary Jones" 1
"Emma Haredale" "Miggs" 7
"Emma Haredale" "Mr Rudge" 2
"Emma Haredale" "Mrs Rudge" 3
"Emma Haredale" "Ned Dennis" 7
"Emma Haredale" "Phil Parkes" 1
"Emma Haredale" "Simon Tappertit" 5
"Emma Haredale" "Solomon Daisy" 3
"Emma Haredale" "The Black Lion" 2
"Emma Haredale" "Tom Cobb" 1
"Gabriel Varden" "Gashford" 4
"Gabriel Varden" "Geoffrey Haredale" 8
"Gabriel Varden" "Hugh" 11
"Gabriel Varden" "Joe Willet" 13
"Gabriel Varden" "John Chester" 8
"Gabriel Varden" "John Grueby" 1
"Gabriel Varden" "John Willet" 17
"Gabriel Varden" "Lord George Gordon" 3
"Gabriel Varden" "Mark Gilbert" 1
"Gabriel Varden" "Martha Varden" 14
"Gabriel Varden" "Mary Jones" 3
"Gabriel Varden" "Miggs" 15
"Gabriel Varden" "Mr Rudge" 3
"Gabriel Varden" "Mrs Rudge" 5
"Gabriel Varden" "Ned Dennis" 9
"Gabriel Varden" "Peak" 2
"Gabriel Varden" "Phil Parkes" 2
"Gabriel Varden" "Simon Tappertit" 8
"Gabriel Varden" "Solomon Daisy" 5
"Gabriel Varden" "The Black Lion" 4
"Gabriel Varden" "Tom Cobb" 3
"Gashford" "General Conway" 1
"Gashford" "Geoffrey Haredale" 8
"Gashford" "Hugh" 16
"Gashford" "Joe Willet" 3
"Gashford" "John Chester" 3
"Gashford" "John Grueby" 6
"Gashford" "John Willet" 10
"Gashford" "Lord George Gordon" 13
"Gashford" "Mark Gilbert" 1
"Gashford" "Martha Varden" 3
"Gashford" "Mary Jones" 5
"Gashford" "Miggs" 7
"Gashford" "Mr Rudge" 1
"Gashford" "Ned Dennis" 14
"Gashford" "Phil Parkes" 2
"Gashford" "Simon Tappertit" 12
"Gashford" "Solomon Daisy" 2
"Gashford" "The Black Lion" 1
"Gashford" "Tom Cobb" 2
"General Conway" "Hugh" 1
"General Conway" "Lord George Gordon" 1
"General Conway" "Ned Dennis" 1
"General Conway" "Simon Tappertit" 1
"Geoffrey Haredale" "Hugh" 18
"Geoffrey Haredale" "Joe Willet" 13
"Geoffrey Haredale" "John Chester" 13
"Geoffrey Haredale" "John Fielding" 2
"Geoffrey Haredale" "John Grueby" 4
"Geoffrey Haredale" "John Willet" 25
"Geoffrey Haredale" "Lord Algernon Percy" 1
"Geoffrey Haredale" "Lord George Gordon" 6
"Geoffrey Haredale" "Martha Varden" 7
"Geoffrey Haredale" "Mary Jones" 4
"Geoffrey Haredale" "Miggs" 7
"Geoffrey Haredale" "Mr Rudge" 6
"Geoffrey Haredale" "Mrs Rudge" 3
"Geoffrey Haredale" "Ned Dennis" 13
"Geoffrey Haredale" "Phil Parkes" 4
"Geoffrey Haredale" "Philips" 1
"Geoffrey Haredale" "Simon Tappertit" 5
"Geoffrey Haredale" "Solomon Daisy" 7
"Geoffrey Haredale" "The Black Lion" 2
"Geoffrey Haredale" "Tom Cobb" 3
"Herbert" "Joe Willet" 1
"Herbert" "Lord George Gordon" 1
"Hugh" "Joe Willet" 13
"Hugh" "John Chester" 11
"Hugh" "John Grueby" 6
"Hugh" "John Willet" 23
"Hugh" "Lord Algernon Percy" 1
"Hugh" "Lord George Gordon" 12
"Hugh" "Mark Gilbert" 1
"Hugh" "Martha Varden" 6
"Hugh" "Mary Jones" 5
"Hugh" "Miggs" 9
"Hugh" "Mr Rudge" 4
"Hugh" "Mrs Rudge" 2
"Hugh" "Ned Dennis" 27
"Hugh" "Peak" 2
"Hugh" "Phil Parkes" 3
"Hugh" "Simon Tappertit" 13
"Hugh" "Solomon Daisy" 4
"Hugh" "Stagg" 1
"Hugh" "The Black Lion" 2
"Hugh" "Tom Cobb" 2
"Hugh" "Tom Green" 1
"Joe Willet" "John Chester" 7
"Joe Willet" "John Grueby" 2
"Joe Willet" "John Willet" 23
"Joe Willet" "Lord Algernon Percy" 1
"Joe Willet" "Lord George Gordon" 3
"Joe Willet" "Martha Varden" 13
"Joe Willet" "Mary Jones" 1
"Joe Willet" "Miggs" 9
"Joe Willet" "Mr Rudge" 1
"Joe Willet" "Mrs Rudge" 2
"Joe Willet" "Ned Dennis" 4
"Joe Willet" "Phil Parkes" 4
"Joe Willet" "Simon Tappertit" 4
"Joe Willet" "Solomon Daisy" 7
"Joe Willet" "The Black Lion" 5
"Joe Willet" "Tom Cobb" 5
"John Chester" "John Grueby" 1
"John Chester" "John Willet" 16
"John Chester" "Lord George Gordon" 3
"John Chester" "Martha Varden" 4
"John Chester" "Mary Jones" 3
"John Chester" "Miggs" 3
"John Chester" "Mr Rudge" 4
"John Chester" "Mrs Rudge" 3
"John Chester" "Ned Dennis" 11
"John Chester" "Peak" 2
"John Chester" "Phil Parkes" 2
"John Chester" "Simon Tappertit" 2
"John Chester" "Solomon Daisy" 2
"John Chester" "The Black Lion" 1
"John Chester" "Tom Cobb" 1
"John Fielding" "John Grueby" 1
"John Fielding" "John Willet" 2
"John Fielding" "Lord George Gordon" 1
"John Fielding" "Philips" 1
"John Grueby" "John Willet" 8
"John Grueby" "Lord Algernon Percy" 1
"John Grueby" "Lord George Gordon" 7
"John Grueby" "Mary Jones" 3
"John Grueby" "Miggs" 1
"John Grueby" "Ned Dennis" 2
"John Grueby" "Phil Parkes" 1
"John Grueby" "Simon Tappertit" 1
"John Grueby" "Solomon Daisy" 1
"John Grueby" "Tom Cobb" 1
"John Willet" "Lord Algernon Percy" 1
"John Willet" "Lord George Gordon" 10
"John Willet" "Mark Gilbert" 1
"John Willet" "Martha Varden" 15
"John Willet" "Mary Jones" 5
"John Willet" "Miggs" 11
"John Willet" "Mr Rudge" 5
"John Willet" "Mrs Rudge" 5
"John Willet" "Ned Dennis" 12
"John Willet" "Peak" 1
"John Willet" "Phil Parkes" 6
"John Willet" "Philips" 1
"John Willet" "Simon Tappertit" 6
"John Willet" "Solomon Daisy" 11
"John Willet" "Stagg" 1
"John Willet" "The Black Lion" 6
"John Willet" "Tom Cobb" 7
"John Willet" "Tom Green" 1
"Lord George Gordon" "Mark Gilbert" 1
"Lord George Gordon" "Martha Varden" 2
"Lord George Gordon" "Mary Jones" 4
"Lord George Gordon" "Miggs" 4
"Lord George Gordon" "Mr Rudge" 2
"Lord George Gordon" "Ned Dennis" 10
"Lord George Gordon" "Phil Parkes" 1
"Lord George Gordon" "Simon Tappertit" 8
"Lord George Gordon" "Solomon Daisy" 2
"Lord George Gordon" "Tom Cobb" 1
"Mark Gilbert" "Miggs" 1
"Mark Gilbert" "Ned Dennis" 1
"Mark Gilbert" "Simon Tappertit" 1
"Mark Gilbert" "Stagg" 1
"Martha Varden" "Mary Jones" 3
"Martha Varden" "Miggs" 13
"Martha Varden" "Mr Rudge" 2
"Martha Varden" "Mrs Rudge" 3
"Martha Varden" "Ned Dennis" 5
"Martha Varden" "Simon Tappertit" 5
"Martha Varden" "Solomon Daisy" 3
"Martha Varden" "The Black Lion" 5
"Martha Varden" "Tom Cobb" 2
"Mary Jones" "Miggs" 2
"Mary Jones" "Mr Rudge" 2
"Mary Jones" "Mrs Rudge" 1
