"","x"
"1","Ada Clare"
"2","Alfred Pardiggle"
"3","Allan Woodcourt"
"4","Arethusa Skimpole"
"5","Bartholomew Smallweed"
"6","Bob Stables"
"7","Captain Hawden"
"8","Captain Swosser"
"9","Caroline Caddy"
"10","Charley"
"11","Coavinses"
"12","Conversation Kenge"
"13","Darby"
"14","Egbert Pardiggle"
"15","Emma Neckett"
"16","Esther Summerson"
"17","Francis Pardiggle"
"18","George Rouncewell"
"19","Grandfather Smallweed"
"20","Guster"
"21","Inspector Bucket"
"22","James George Bogsby"
"23","Jenny"
"24","Jo"
"25","Jobling"
"26","John Jarndyce"
"27","Judy Smallweed"
"28","Kitty Skimpole"
"29","Krook"
"30","Lady Dedlock"
"31","Laura Skimpole"
"32","Lawrence Boythorn"
"33","Little Swills"
"34","Liz"
"35","Lord Boodle"
"36","Mademoiselle Hortense"
"37","Malta Bagnet"
"38","Matthew Bagnet"
"39","Mercury"
"40","Miss Barbary"
"41","Miss Donny"
"42","Miss Flite"
"43","Miss Wisk"
"44","Mooney"
"45","Mr Badger"
"46","Mr Gridley"
"47","Mr Grubble"
"48","Mr Gusher"
"49","Mr Jellby"
"50","Mr Pardiggle"
"51","Mr Quale"
"52","Mr Rouncewell"
"53","Mr Skimpole"
"54","Mr Snagsby"
"55","Mr Tulkinghorn"
"56","Mr Turveydrop"
"57","Mrs Badger"
"58","Mrs Bagnet"
"59","Mrs Blinder"
"60","Mrs Bucket"
"61","Mrs Chadband"
"62","Mrs Guppy"
"63","Mrs Pardiggle"
"64","Mrs Perkins"
"65","Mrs Piper"
"66","Mrs Rouncewell"
"67","Mrs Skimpole"
"68","Mrs Smallweed"
"69","Mrs Snagsby"
"70","Mrs Woodcourt"
"71","Oswald Pardiggle"
"72","Peepy Jellby"
"73","Phil Squod"
"74","Polly"
"75","Prince Turvey"
"76","Priscilla"
"77","Professor Dingo"
"78","Quebec Bagnet"
"79","Reverend Chadband"
"80","Richard Carstone"
"81","Rosa"
"82","Sir Dedlock"
"83","Sladdery"
"84","Thomas"
"85","Vholes"
"86","Volumnia Dedlock"
"87","Watt Rouncewell"
"88","William Guppy"
"89","Tom Neckett"
"90","Woolwich Bagnet"
"91","William Buffy"
"92","Peffer"
"93","Mr Tangle"
