"Character","Node","Type","Appearances"
"Ada Clare",3,"First Appearance",30
"Ada Clare",67,"Last Appearance",30
"Alfred Pardiggle",8,"Last Appearance",1
"Alfred Pardiggle",8,"First Appearance",1
"Allan Woodcourt",67,"Last Appearance",17
"Allan Woodcourt",14,"First Appearance",17
"Arethusa Skimpole",61,"Last Appearance",2
"Arethusa Skimpole",43,"First Appearance",2
"Bartholomew Smallweed",39,"Last Appearance",4
"Bartholomew Smallweed",20,"First Appearance",4
"Bob Stables",58,"Last Appearance",4
"Bob Stables",2,"First Appearance",4
"Captain Hawden",54,"Last Appearance",8
"Captain Hawden",5,"First Appearance",8
"Captain Swosser",17,"Last Appearance",2
"Captain Swosser",13,"First Appearance",2
"Caroline Caddy",67,"Last Appearance",15
"Caroline Caddy",4,"First Appearance",15
"Charley",67,"Last Appearance",16
"Charley",15,"First Appearance",16
"Coavinses",61,"Last Appearance",6
"Coavinses",6,"First Appearance",6
"Conversation Kenge",65,"Last Appearance",14
"Conversation Kenge",3,"First Appearance",14
"Darby",22,"Last Appearance",1
"Darby",22,"First Appearance",1
"Egbert Pardiggle",8,"First Appearance",1
"Egbert Pardiggle",8,"Last Appearance",1
"Emma Neckett",67,"Last Appearance",6
"Emma Neckett",15,"First Appearance",6
"Esther Summerson",3,"First Appearance",34
"Esther Summerson",67,"Last Appearance",34
"Francis Pardiggle",8,"First Appearance",1
"Francis Pardiggle",8,"Last Appearance",1
"George Rouncewell",21,"First Appearance",10
"George Rouncewell",63,"Last Appearance",10
"Grandfather Smallweed",62,"Last Appearance",9
"Grandfather Smallweed",20,"First Appearance",9
"Guster",10,"First Appearance",7
"Guster",59,"Last Appearance",7
"Inspector Bucket",22,"First Appearance",15
"Inspector Bucket",63,"Last Appearance",15
"James George Bogsby",33,"First Appearance",1
"James George Bogsby",33,"Last Appearance",1
"Jenny",57,"Last Appearance",5
"Jenny",8,"First Appearance",5
"Jo",11,"First Appearance",12
"Jo",64,"Last Appearance",12
"Jobling",20,"First Appearance",7
"Jobling",64,"Last Appearance",7
"John Jarndyce",3,"First Appearance",34
"John Jarndyce",65,"Last Appearance",34
"Judy Smallweed",47,"Last Appearance",7
"Judy Smallweed",21,"First Appearance",7
"Kitty Skimpole",61,"Last Appearance",2
"Kitty Skimpole",43,"First Appearance",2
"Krook",5,"First Appearance",13
"Krook",62,"Last Appearance",13
"Lady Dedlock",2,"First Appearance",26
"Lady Dedlock",66,"Last Appearance",26
"Laura Skimpole",43,"First Appearance",2
"Laura Skimpole",61,"Last Appearance",2
"Lawrence Boythorn",66,"Last Appearance",13
"Lawrence Boythorn",9,"First Appearance",13
"Little Swills",11,"First Appearance",5
"Little Swills",39,"Last Appearance",5
"Liz",22,"First Appearance",4
"Liz",57,"Last Appearance",4
"Lord Boodle",12,"First Appearance",3
"Lord Boodle",66,"Last Appearance",3
"Mademoiselle Hortense",54,"Last Appearance",6
"Mademoiselle Hortense",12,"First Appearance",6
"Malta Bagnet",27,"First Appearance",4
"Malta Bagnet",55,"Last Appearance",4
"Matthew Bagnet",27,"First Appearance",5
"Matthew Bagnet",55,"Last Appearance",5
"Mercury",2,"First Appearance",9
"Mercury",55,"Last Appearance",9
"Miss Barbary",55,"Last Appearance",3
"Miss Barbary",3,"First Appearance",3
"Miss Donny",3,"First Appearance",1
"Miss Donny",3,"Last Appearance",1
"Miss Flite",65,"Last Appearance",14
