"","V1","V2"
"1","4","Ada Clare"
"2","4","Conversation Kenge"
"3","4","Esther Summerson"
"4","4","John Jarndyce"
"5","4","Richard Carstone"
"6","5","Ada Clare"
"7","5","Caroline Caddy"
"8","5","John Jarndyce"
"9","5","Mr Quale"
"10","5","Mrs Jellyby"
"11","5","Peepy Jellby"
"12","5","Priscilla"
"13","5","Richard Carstone"
"14","6","Ada Clare"
"15","6","Caroline Caddy"
"16","6","Conversation Kenge"
"17","6","Esther Summerson"
"18","6","John Jarndyce"
"19","6","Mrs Jellyby"
"20","6","Peepy Jellby"
"21","6","Richard Carstone"
"22","7","Esther Summerson"
"23","7","Lady Dedlock"
"24","7","Mr Tulkinghorn"
"25","7","Sir Dedlock"
"26","7","William Guppy"
"27","8","Ada Clare"
"28","8","Esther Summerson"
"29","8","John Jarndyce"
"30","8","Mr Jellyby"
"31","8","Mr Skimpole"
"32","8","Mrs Jellyby"
"33","8","Richard Carstone"
"34","9","Ada Clare"
"35","9","Coavinses"
"36","9","Conversation Kenge"
"37","9","Esther Summerson"
"38","9","John Jarndyce"
"39","9","Lady Dedlock"
"40","9","Mr Skimpole"
"41","9","Richard Carstone"
"42","9","Sir Dedlock"
"43","9","William Guppy"
"44","10","Captain Hawden"
"45","10","Coavinses"
"46","10","Krook"
"47","10","Mr Tulkinghorn"
"48","11","Captain Hawden"
"49","11","Guster"
"50","11","Krook"
"51","11","Mr Snagsby"
"52","11","Mr Tulkinghorn"
"53","11","Mrs Snagsby"
"54","12","Lady Dedlock"
"55","12","Lawrence Boythorn"
"56","12","Mr Tulkinghorn"
"57","12","Mrs Rouncewell"
"58","12","Rosa"
"59","12","Sir Dedlock"
"60","12","Watt Rouncewell"
"61","13","Ada Clare"
"62","13","Conversation Kenge"
"63","13","Esther Summerson"
"64","13","John Jarndyce"
"65","13","Lawrence Boythorn"
"66","13","Richard Carstone"
"67","13","William Guppy"
"68","14","Ada Clare"
"69","14","Caroline Caddy"
"70","14","Conversation Kenge"
"71","14","Esther Summerson"
"72","14","John Jarndyce"
"73","14","Krook"
"74","14","Miss Flite"
"75","14","Mr Badger"
"76","14","Mr Jellyby"
"77","14","Mr Quale"
"78","14","Mrs Jellyby"
"79","14","Peepy Jellby"
"80","14","Richard Carstone"
"81","14","William Guppy"
"82","15","Ada Clare"
"83","15","Coavinses"
"84","15","John Jarndyce"
"85","15","Lawrence Boythorn"
"86","15","Mr Gridley"
"87","15","Mr Gusher"
"88","15","Mr Quale"
"89","15","Mr Skimpole"
"90","15","Mr Tulkinghorn"
"91","15","Mrs Jellyby"
"92","15","Mrs Pardiggle"
"93","16","Jo"
"94","16","Krook"
"95","16","Lady Dedlock"
"96","16","Lawrence Boythorn"
"97","16","Mercury"
"98","16","Mr Gridley"
"99","16","Mr Tulkinghorn"
