"id1" "id2" "label"
"1" "Ada Clare" "Alfred Pardiggle" 1
"2" "Ada Clare" "Allan Woodcourt" 14
"3" "Ada Clare" "Arethusa Skimpole" 2
"4" "Ada Clare" "Captain Hawden" 1
"5" "Ada Clare" "Captain Swosser" 2
"6" "Ada Clare" "Caroline Caddy" 13
"7" "Ada Clare" "Charley" 14
"8" "Ada Clare" "Coavinses" 5
"9" "Ada Clare" "Conversation Kenge" 12
"10" "Ada Clare" "Egbert Pardiggle" 1
"11" "Ada Clare" "Emma Neckett" 5
"12" "Ada Clare" "Esther Summerson" 27
"13" "Ada Clare" "Francis Pardiggle" 1
"14" "Ada Clare" "George Rouncewell" 1
"15" "Ada Clare" "Grandfather Smallweed" 1
"16" "Ada Clare" "Guster" 1
"17" "Ada Clare" "Inspector Bucket" 3
"18" "Ada Clare" "Jenny" 3
"19" "Ada Clare" "Jo" 2
"20" "Ada Clare" "Jobling" 1
"21" "Ada Clare" "John Jarndyce" 27
"22" "Ada Clare" "Kitty Skimpole" 2
"23" "Ada Clare" "Krook" 3
"24" "Ada Clare" "Lady Dedlock" 6
"25" "Ada Clare" "Laura Skimpole" 2
"26" "Ada Clare" "Lawrence Boythorn" 9
"27" "Ada Clare" "Liz" 1
"28" "Ada Clare" "Mademoiselle Hortense" 2
"29" "Ada Clare" "Miss Barbary" 1
"30" "Ada Clare" "Miss Donny" 1
"31" "Ada Clare" "Miss Flite" 10
"32" "Ada Clare" "Miss Wisk" 1
"33" "Ada Clare" "Mr Badger" 6
"34" "Ada Clare" "Mr Gridley" 4
"35" "Ada Clare" "Mr Grubble" 1
"36" "Ada Clare" "Mr Gusher" 2
"37" "Ada Clare" "Mr Jellyby" 7
"38" "Ada Clare" "Mr Pardiggle" 1
"39" "Ada Clare" "Mr Quale" 6
"40" "Ada Clare" "Mr Rouncewell" 1
"41" "Ada Clare" "Mr Skimpole" 10
"42" "Ada Clare" "Mr Snagsby" 1
"43" "Ada Clare" "Mr Tulkinghorn" 4
"44" "Ada Clare" "Mr Turveydrop" 5
"45" "Ada Clare" "Mrs Badger" 3
"46" "Ada Clare" "Mrs Blinder" 3
"47" "Ada Clare" "Mrs Chadband" 3
"48" "Ada Clare" "Mrs Guppy" 2
"49" "Ada Clare" "Mrs Jellyby" 10
"50" "Ada Clare" "Mrs Pardiggle" 3
"51" "Ada Clare" "Mrs Skimpole" 3
"52" "Ada Clare" "Mrs Snagsby" 2
"53" "Ada Clare" "Mrs Woodcourt" 7
"54" "Ada Clare" "Oswald Pardiggle" 1
"55" "Ada Clare" "Peepy Jellby" 8
"56" "Ada Clare" "Phil Squod" 1
"57" "Ada Clare" "Prince Turvey" 5
"58" "Ada Clare" "Priscilla" 2
"59" "Ada Clare" "Professor Dingo" 2
"60" "Ada Clare" "Richard Carstone" 27
"61" "Ada Clare" "Sir Dedlock" 5
"62" "Ada Clare" "Tom Neckett" 4
"63" "Ada Clare" "Vholes" 7
"64" "Ada Clare" "William Guppy" 8
"65" "Alfred Pardiggle" "Egbert Pardiggle" 1
"66" "Alfred Pardiggle" "Esther Summerson" 1
"67" "Alfred Pardiggle" "Francis Pardiggle" 1
"68" "Alfred Pardiggle" "Jenny" 1
"69" "Alfred Pardiggle" "John Jarndyce" 1
"70" "Alfred Pardiggle" "Mr Gusher" 1
"71" "Alfred Pardiggle" "Mr Jellyby" 1
"72" "Alfred Pardiggle" "Mr Pardiggle" 1
"73" "Alfred Pardiggle" "Mr Skimpole" 1
"74" "Alfred Pardiggle" "Mrs Jellyby" 1
"75" "Alfred Pardiggle" "Mrs Pardiggle" 1
"76" "Alfred Pardiggle" "Oswald Pardiggle" 1
"77" "Alfred Pardiggle" "Richard Carstone" 1
"78" "Allan Woodcourt" "Arethusa Skimpole" 1
"79" "Allan Woodcourt" "Captain Swosser" 1
"80" "Allan Woodcourt" "Caroline Caddy" 8
"81" "Allan Woodcourt" "Charley" 8
"82" "Allan Woodcourt" "Coavinses" 1
"83" "Allan Woodcourt" "Conversation Kenge" 4
"84" "Allan Woodcourt" "Emma Neckett" 1
"85" "Allan Woodcourt" "Esther Summerson" 14
"86" "Allan Woodcourt" "George Rouncewell" 2
"87" "Allan Woodcourt" "Guster" 1
"88" "Allan Woodcourt" "Inspector Bucket" 1
"89" "Allan Woodcourt" "Jenny" 1
"90" "Allan Woodcourt" "Jo" 3
"91" "Allan Woodcourt" "Jobling" 1
"92" "Allan Woodcourt" "John Jarndyce" 13
"93" "Allan Woodcourt" "Judy Smallweed" 1
"94" "Allan Woodcourt" "Kitty Skimpole" 1
"95" "Allan Woodcourt" "Krook" 1
"96" "Allan Woodcourt" "Lady Dedlock" 1
"97" "Allan Woodcourt" "Laura Skimpole" 1
"98" "Allan Woodcourt" "Lawrence Boythorn" 2
