"Character","Node","Type","Appearances"
"Adams",16,"First Appearance",2
"Adams",18,"Last Appearance",2
"Agnes Wickfield",15,"First Appearance",30
"Agnes Wickfield",64,"Last Appearance",30
"Annie Strong",62,"Last Appearance",8
"Annie Strong",16,"First Appearance",8
"Barkis",51,"Last Appearance",18
"Barkis",5,"First Appearance",18
"Captain Bailey",18,"Last Appearance",1
"Captain Bailey",18,"First Appearance",1
"Captain Hopkins",11,"First Appearance",1
"Captain Hopkins",11,"Last Appearance",1
"Caroline Crewler",64,"Last Appearance",2
"Caroline Crewler",59,"First Appearance",2
"Charley Pyegrave",22,"Last Appearance",2
"Charley Pyegrave",13,"First Appearance",2
"Clara Copperfield",33,"Last Appearance",12
"Clara Copperfield",1,"First Appearance",12
"Clara Peggotty",1,"First Appearance",38
"Clara Peggotty",64,"Last Appearance",38
"Clarissa Spenlow",48,"Last Appearance",5
"Clarissa Spenlow",38,"First Appearance",5
"Clickett",11,"Last Appearance",1
"Clickett",11,"First Appearance",1
"Daniel Peggotty",63,"Last Appearance",24
"Daniel Peggotty",3,"First Appearance",24
"David Copperfield",1,"First Appearance",62
"David Copperfield",64,"Last Appearance",62
"Doctor Strong",16,"First Appearance",8
"Doctor Strong",62,"Last Appearance",8
"George Demple",7,"Last Appearance",2
"George Demple",5,"First Appearance",2
"Grainger",24,"Last Appearance",1
"Grainger",24,"First Appearance",1
"Gregory",11,"Last Appearance",1
"Gregory",11,"First Appearance",1
"Ham Peggotty",55,"Last Appearance",17
"Ham Peggotty",1,"First Appearance",17
"Jack Maldon",64,"Last Appearance",6
"Jack Maldon",16,"First Appearance",6
"James Steerforth",51,"Last Appearance",24
"James Steerforth",5,"First Appearance",24
"Jane Murdstone",59,"Last Appearance",14
"Jane Murdstone",4,"First Appearance",14
"Janet",60,"Last Appearance",7
"Janet",13,"First Appearance",7
"Julia Mills",64,"Last Appearance",9
"Julia Mills",33,"First Appearance",9
"Lady Mithers",22,"Last Appearance",1
"Lady Mithers",22,"First Appearance",1
"Lavinia Spenlow",48,"Last Appearance",5
"Lavinia Spenlow",38,"First Appearance",5
"Littimer",61,"Last Appearance",8
"Littimer",21,"First Appearance",8
"Little Emily",3,"First Appearance",24
"Little Emily",63,"Last Appearance",24
"Louisa Crewler",59,"Last Appearance",1
"Louisa Crewler",59,"First Appearance",1
"Markham",25,"Last Appearance",2
"Markham",24,"First Appearance",2
"Martha Endell",63,"Last Appearance",10
"Martha Endell",22,"First Appearance",10
"Mary Anne Paragon",44,"Last Appearance",1
"Mary Anne Paragon",44,"First Appearance",1
"Mealy Potatoes",16,"Last Appearance",3
"Mealy Potatoes",11,"First Appearance",3
"Mick Walker",16,"Last Appearance",3
"Mick Walker",11,"First Appearance",3
"Minnie Joram",51,"Last Appearance",5
"Minnie Joram",9,"First Appearance",5
"Miss Betsey Trotwood",64,"Last Appearance",44
"Miss Betsey Trotwood",1,"First Appearance",44
"Miss Creakle",7,"Last Appearance",3
"Miss Creakle",5,"First Appearance",3
"Miss Kitt",33,"Last Appearance",1
"Miss Kitt",33,"First Appearance",1
"Miss Larkins",60,"Last Appearance",4
"Miss Larkins",18,"First Appearance",4
"Miss Micawber",57,"Last Appearance",6
"Miss Micawber",11,"First Appearance",6
"Miss Mowcher",22,"First Appearance",3
"Miss Mowcher",61,"Last Appearance",3
"Miss Shepherd",18,"First Appearance",2
"Miss Shepherd",60,"Last Appearance",2
"Misses Nettingall",18,"Last Appearance",1
"Misses Nettingall",18,"First Appearance",1
"Mithers",22,"Last Appearance",1
"Mithers",22,"First Appearance",1
"Mr Chestle",18,"Last Appearance",1
"Mr Chestle",18,"First Appearance",1
"Mr Chillip",1,"First Appearance",8
"Mr Chillip",59,"Last Appearance",8
"Mr Creakle",61,"Last Appearance",10
"Mr Creakle",5,"First Appearance",10
"Mr Dick",62,"Last Appearance",26
"Mr Dick",13,"First Appearance",26
"Mr Dolloby",13,"Last Appearance",1
"Mr Dolloby",13,"First Appearance",1
"Mr Grayper",9,"First Appearance",2
"Mr Grayper",22,"Last Appearance",2
"Mr Gulpidge",25,"Last Appearance",1
"Mr Gulpidge",25,"First Appearance",1
"Mr Gummidge",31,"Last Appearance",5
"Mr Gummidge",3,"First Appearance",5
"Mr Henry Spiker",25,"Last Appearance",1
"Mr Henry Spiker",25,"First Appearance",1
"Mr Joram",9,"First Appearance",8
"Mr Joram",56,"Last Appearance",8
"Mr Jorkins",23,"First Appearance",7
"Mr Jorkins",39,"Last Appearance",7
"Mr Larkins",18,"Last Appearance",1
"Mr Larkins",18,"First Appearance",1
"Mr Mell",63,"Last Appearance",4
"Mr Mell",5,"First Appearance",4
"Mr Micawber",63,"Last Appearance",19
"Mr Micawber",11,"First Appearance",19
"Mr Mills",41,"Last Appearance",4
"Mr Mills",33,"First Appearance",4
"Mr Murdstone",59,"Last Appearance",14
"Mr Murdstone",2,"First Appearance",14
"Mr Omer",51,"Last Appearance",7
"Mr Omer",9,"First Appearance",7
"Mr Passnidge",2,"Last Appearance",1
"Mr Passnidge",2,"First Appearance",1
"Mr Quinion",12,"Last Appearance",4
"Mr Quinion",2,"First Appearance",4
"Mr Sharp",9,"Last Appearance",3
"Mr Sharp",6,"First Appearance",3
"Mr Spenlow",41,"Last Appearance",9
"Mr Spenlow",23,"First Appearance",9
"Mr Tiffey",38,"Last Appearance",4
"Mr Tiffey",26,"First Appearance",4
"Mr Waterbrook",27,"Last Appearance",2
"Mr Waterbrook",25,"First Appearance",2
"Mr Wickfield",15,"First Appearance",16
"Mr Wickfield",60,"Last Appearance",16
"Mrs Chillip",59,"Last Appearance",1
"Mrs Chillip",59,"First Appearance",1
"Mrs Creakle",9,"Last Appearance",4
"Mrs Creakle",5,"First Appearance",4
"Mrs Crewler",64,"Last Appearance",3
"Mrs Crewler",41,"First Appearance",3
"Mrs Crupp",44,"Last Appearance",12
"Mrs Crupp",23,"First Appearance",12
"Mrs Fibbitson",5,"Last Appearance",1
"Mrs Fibbitson",5,"First Appearance",1
"Mrs Grayper",22,"Last Appearance",2
"Mrs Grayper",2,"First Appearance",2
"Mrs Gulpidge",25,"Last Appearance",1
"Mrs Gulpidge",25,"First Appearance",1
"Mrs Gummidge",63,"Last Appearance",13
"Mrs Gummidge",3,"First Appearance",13
"Mrs Heep",52,"Last Appearance",5
"Mrs Heep",17,"First Appearance",5
"Mrs Henry Spiker",25,"Last Appearance",1
"Mrs Henry Spiker",25,"First Appearance",1
"Mrs Markleham",64,"Last Appearance",5
"Mrs Markleham",16,"First Appearance",5
"Mrs Mell",6,"Last Appearance",1
"Mrs Mell",6,"First Appearance",1
"Mrs Micawber",11,"First Appearance",14
"Mrs Micawber",57,"Last Appearance",14
"Mrs Steerforth",20,"First Appearance",9
"Mrs Steerforth",56,"Last Appearance",9
"Mrs Waterbrook",25,"Last Appearance",1
"Mrs Waterbrook",25,"First Appearance",1
"Reverend Crewler",64,"Last Appearance",3
"Reverend Crewler",41,"First Appearance",3
"Rosa Dartle",64,"Last Appearance",12
"Rosa Dartle",20,"First Appearance",12
"Sarah Crewler",34,"First Appearance",3
"Sarah Crewler",59,"Last Appearance",3
"Sophy Crewler",64,"Last Appearance",8
"Sophy Crewler",34,"First Appearance",8
"Tipp",12,"Last Appearance",2
"Tipp",11,"First Appearance",2
"Tom Jones",4,"Last Appearance",1
"Tom Jones",4,"First Appearance",1
"Tommy Traddles",5,"First Appearance",27
"Tommy Traddles",64,"Last Appearance",27
"Topsawyer",5,"Last Appearance",1
"Topsawyer",5,"First Appearance",1
"Tungay",7,"Last Appearance",2
"Tungay",6,"First Appearance",2
"Uriah",61,"Last Appearance",16
"Uriah",15,"First Appearance",16
"William",19,"First Appearance",1
"William",19,"Last Appearance",1
"Yawler",27,"First Appearance",1
"Yawler",27,"Last Appearance",1
