"node_id" "tags" "dpub"
"1" "1" "Clara Copperfield, Clara Peggotty, David Copperfield, Ham Peggotty, Miss Betsey Trotwood, Mr Chillip" "1"
"2" "2" "Clara Copperfield, Clara Peggotty, David Copperfield, Ham Peggotty, Mr Chillip, Mr Murdstone, Mr Passnidge, Mr Quinion, Mrs Grayper" "2"
"3" "3" "Clara Copperfield, Clara Peggotty, Daniel Peggotty, David Copperfield, Ham Peggotty, Little Emily, Mr Gummidge, Mr Murdstone, Mrs Gummidge" "3"
"4" "4" "Clara Copperfield, Clara Peggotty, Daniel Peggotty, David Copperfield, Ham Peggotty, Jane Murdstone, Little Emily, Mr Gummidge, Mr Murdstone, Mrs Gummidge, Tom Jones" "4"
"5" "5" "Barkis, Clara Copperfield, Clara Peggotty, Daniel Peggotty, David Copperfield, George Demple, James Steerforth, Jane Murdstone, Little Emily, Miss Creakle, Mr Creakle, Mr Mell, Mr Murdstone, Mrs Creakle, Mrs Fibbitson, Tommy Traddles, Topsawyer" "5"
"6" "6" "Clara Copperfield, Clara Peggotty, David Copperfield, James Steerforth, Miss Creakle, Mr Creakle, Mr Mell, Mr Sharp, Mrs Creakle, Mrs Mell, Tommy Traddles, Tungay" "6"
"7" "7" "Clara Peggotty, Daniel Peggotty, David Copperfield, George Demple, Ham Peggotty, James Steerforth, Jane Murdstone, Little Emily, Miss Creakle, Mr Creakle, Mr Mell, Mr Sharp, Mrs Creakle, Mrs Gummidge, Tommy Traddles, Tungay" "7"
"8" "8" "Barkis, Clara Copperfield, Clara Peggotty, David Copperfield, James Steerforth, Jane Murdstone, Miss Betsey Trotwood, Mr Creakle, Mr Murdstone" "8"
"9" "9" "Barkis, Clara Copperfield, Clara Peggotty, David Copperfield, James Steerforth, Jane Murdstone, Minnie Joram, Mr Chillip, Mr Creakle, Mr Grayper, Mr Joram, Mr Murdstone, Mr Omer, Mr Sharp, Mrs Creakle, Tommy Traddles" "9"
"10" "10" "Barkis, Clara Peggotty, Daniel Peggotty, David Copperfield, Ham Peggotty, Jane Murdstone, Little Emily, Mr Chillip, Mr Gummidge, Mr Murdstone, Mr Quinion, Mrs Gummidge" "10"
"11" "11" "Captain Hopkins, Clara Peggotty, Clickett, David Copperfield, Gregory, James Steerforth, Mealy Potatoes, Mick Walker, Miss Micawber, Mr Micawber, Mr Murdstone, Mr Quinion, Mrs Micawber, Tipp, Tommy Traddles" "11"
"12" "12" "Barkis, Clara Peggotty, David Copperfield, Jane Murdstone, Mealy Potatoes, Mick Walker, Miss Betsey Trotwood, Miss Micawber, Mr Micawber, Mr Murdstone, Mr Quinion, Mrs Micawber, Tipp" "12"
"13" "13" "Charley Pyegrave, Clara Peggotty, David Copperfield, James Steerforth, Janet, Miss Betsey Trotwood, Mr Creakle, Mr Dick, Mr Dolloby, Mr Micawber, Mrs Micawber, Tommy Traddles" "13"
"14" "14" "Clara Copperfield, Clara Peggotty, David Copperfield, Jane Murdstone, Janet, Miss Betsey Trotwood, Mr Dick, Mr Murdstone" "14"
"15" "15" "Agnes Wickfield, Clara Peggotty, David Copperfield, Miss Betsey Trotwood, Mr Dick, Mr Wickfield, Uriah" "15"
"16" "16" "Adams, Agnes Wickfield, Annie Strong, Daniel Peggotty, David Copperfield, Doctor Strong, Jack Maldon, Little Emily, Mealy Potatoes, Mick Walker, Miss Betsey Trotwood, Mr Creakle, Mr Wickfield, Mrs Markleham, Uriah" "16"
"17" "17" "Agnes Wickfield, Barkis, Clara Peggotty, Daniel Peggotty, David Copperfield, Doctor Strong, Ham Peggotty, Jane Murdstone, Little Emily, Miss Betsey Trotwood, Mr Dick, Mr Micawber, Mr Murdstone, Mr Wickfield, Mrs Gummidge, Mrs Heep, Mrs Micawber, Uriah" "17"
"18" "18" "Adams, Agnes Wickfield, Captain Bailey, David Copperfield, Doctor Strong, James Steerforth, Miss Betsey Trotwood, Miss Larkins, Miss Shepherd, Misses Nettingall, Mr Chestle, Mr Dick, Mr Larkins, Mr Wickfield" "18"
"19" "19" "Agnes Wickfield, Annie Strong, Clara Peggotty, David Copperfield, Doctor Strong, Jack Maldon, James Steerforth, Miss Betsey Trotwood, Miss Larkins, Mr Creakle, Mr Dick, Mr Wickfield, Mrs Markleham, Uriah, William" "19"
"20" "20" "Daniel Peggotty, David Copperfield, James Steerforth, Miss Betsey Trotwood, Mr Creakle, Mrs Steerforth, Rosa Dartle, Tommy Traddles" "20"
"21" "21" "Barkis, Clara Peggotty, Daniel Peggotty, David Copperfield, Ham Peggotty, James Steerforth, Littimer, Little Emily, Minnie Joram, Mr Gummidge, Mr Joram, Mr Omer, Mrs Gummidge, Mrs Steerforth, Rosa Dartle" "21"
"22" "22" "Barkis, Charley Pyegrave, Clara Peggotty, Daniel Peggotty, David Copperfield, Ham Peggotty, James Steerforth, Lady Mithers, Littimer, Little Emily, Martha Endell, Miss Betsey Trotwood, Miss Mowcher, Mithers, Mr Chillip, Mr Grayper, Mr Joram, Mr Omer, Mrs Grayper, Mrs Gummidge, Mrs Steerforth, Rosa Dartle" "22"
"23" "23" "Agnes Wickfield, Barkis, Clara Copperfield, Clara Peggotty, Daniel Peggotty, David Copperfield, James Steerforth, Jane Murdstone, Janet, Littimer, Little Emily, Martha Endell, Miss Betsey Trotwood, Mr Dick, Mr Joram, Mr Jorkins, Mr Spenlow, Mr Wickfield, Mrs Crupp" "23"
"24" "24" "Agnes Wickfield, David Copperfield, Grainger, James Steerforth, Markham, Miss Betsey Trotwood, Mrs Crupp, Mrs Steerforth, Rosa Dartle" "24"
"25" "25" "Agnes Wickfield, David Copperfield, James Steerforth, Markham, Miss Larkins, Mr Gulpidge, Mr Henry Spiker, Mr Waterbrook, Mr Wickfield, Mrs Crupp, Mrs Gulpidge, Mrs Henry Spiker, Mrs Waterbrook, Tommy Traddles, Uriah" "25"
"26" "26" "Agnes Wickfield, David Copperfield, James Steerforth, Jane Murdstone, Little Emily, Miss Betsey Trotwood, Mr Jorkins, Mr Murdstone, Mr Spenlow, Mr Tiffey, Mrs Crupp, Uriah" "26"
"27" "27" "David Copperfield, Miss Micawber, Mr Micawber, Mr Spenlow, Mr Waterbrook, Mrs Crupp, Mrs Micawber, Tommy Traddles, Yawler" "27"
"28" "28" "Agnes Wickfield, Barkis, Clara Peggotty, David Copperfield, James Steerforth, Littimer, Little Emily, Mr Micawber, Mrs Crupp, Mrs Micawber, Rosa Dartle, Tommy Traddles" "28"
"29" "29" "Agnes Wickfield, Clara Copperfield, David Copperfield, James Steerforth, Littimer, Mr Jorkins, Mr Spenlow, Mrs Steerforth, Rosa Dartle" "29"
"30" "30" "Barkis, Clara Peggotty, Daniel Peggotty, David Copperfield, Ham Peggotty, Little Emily, Martha Endell, Minnie Joram, Miss Betsey Trotwood, Mr Chillip, Mr Joram, Mr Omer" "30"
"31" "31" "Barkis, Clara Peggotty, Daniel Peggotty, David Copperfield, Ham Peggotty, James Steerforth, Little Emily, Mr Chillip, Mr Gummidge, Mr Omer, Mrs Gummidge" "31"
"32" "32" "Barkis, Clara Peggotty, Daniel Peggotty, David Copperfield, Ham Peggotty, James Steerforth, Littimer, Little Emily, Minnie Joram, Miss Mowcher, Mr Joram, Mr Omer, Mrs Crupp, Mrs Gummidge, Mrs Steerforth, Rosa Dartle" "32"
