"","V1","V2"
"1","Clara Copperfield","Clara Peggotty"
"2","Clara Copperfield","David Copperfield"
"3","Clara Copperfield","Ham Peggotty"
"4","Clara Copperfield","Miss Betsey Trotwood"
"5","Clara Copperfield","Mr Chillip"
"6","Clara Peggotty","David Copperfield"
"7","Clara Peggotty","Ham Peggotty"
"8","Clara Peggotty","Miss Betsey Trotwood"
"9","Clara Peggotty","Mr Chillip"
"10","David Copperfield","Ham Peggotty"
"11","David Copperfield","Miss Betsey Trotwood"
"12","David Copperfield","Mr Chillip"
"13","Ham Peggotty","Miss Betsey Trotwood"
"14","Ham Peggotty","Mr Chillip"
"15","Miss Betsey Trotwood","Mr Chillip"
"16","Clara Copperfield","Mr Murdstone"
"17","Clara Copperfield","Mr Passnidge"
"18","Clara Copperfield","Mr Quinion"
"19","Clara Copperfield","Mrs Grayper"
"20","Clara Peggotty","Mr Murdstone"
"21","Clara Peggotty","Mr Passnidge"
"22","Clara Peggotty","Mr Quinion"
"23","Clara Peggotty","Mrs Grayper"
"24","David Copperfield","Mr Murdstone"
"25","David Copperfield","Mr Passnidge"
"26","David Copperfield","Mr Quinion"
"27","David Copperfield","Mrs Grayper"
"28","Ham Peggotty","Mr Murdstone"
"29","Ham Peggotty","Mr Passnidge"
"30","Ham Peggotty","Mr Quinion"
"31","Ham Peggotty","Mrs Grayper"
"32","Mr Chillip","Mr Murdstone"
"33","Mr Chillip","Mr Passnidge"
"34","Mr Chillip","Mr Quinion"
"35","Mr Chillip","Mrs Grayper"
"36","Mr Murdstone","Mr Passnidge"
"37","Mr Murdstone","Mr Quinion"
"38","Mr Murdstone","Mrs Grayper"
"39","Mr Passnidge","Mr Quinion"
"40","Mr Passnidge","Mrs Grayper"
"41","Mr Quinion","Mrs Grayper"
"42","Clara Copperfield","Daniel Peggotty"
"43","Clara Copperfield","Little Emily"
"44","Clara Copperfield","Mr Gummidge"
"45","Clara Copperfield","Mrs Gummidge"
"46","Clara Peggotty","Daniel Peggotty"
"47","Clara Peggotty","Little Emily"
"48","Clara Peggotty","Mr Gummidge"
"49","Clara Peggotty","Mrs Gummidge"
"50","Daniel Peggotty","David Copperfield"
"51","Daniel Peggotty","Ham Peggotty"
"52","Daniel Peggotty","Little Emily"
"53","Daniel Peggotty","Mr Gummidge"
"54","Daniel Peggotty","Mr Murdstone"
"55","Daniel Peggotty","Mrs Gummidge"
"56","David Copperfield","Little Emily"
"57","David Copperfield","Mr Gummidge"
"58","David Copperfield","Mrs Gummidge"
"59","Ham Peggotty","Little Emily"
"60","Ham Peggotty","Mr Gummidge"
"61","Ham Peggotty","Mrs Gummidge"
"62","Little Emily","Mr Gummidge"
"63","Little Emily","Mr Murdstone"
"64","Little Emily","Mrs Gummidge"
"65","Mr Gummidge","Mr Murdstone"
"66","Mr Gummidge","Mrs Gummidge"
"67","Mr Murdstone","Mrs Gummidge"
"68","Clara Copperfield","Jane Murdstone"
"69","Clara Copperfield","Tom Jones"
"70","Clara Peggotty","Jane Murdstone"
"71","Clara Peggotty","Tom Jones"
"72","Daniel Peggotty","Jane Murdstone"
"73","Daniel Peggotty","Tom Jones"
"74","David Copperfield","Jane Murdstone"
"75","David Copperfield","Tom Jones"
"76","Ham Peggotty","Jane Murdstone"
"77","Ham Peggotty","Tom Jones"
"78","Jane Murdstone","Little Emily"
"79","Jane Murdstone","Mr Gummidge"
"80","Jane Murdstone","Mr Murdstone"
"81","Jane Murdstone","Mrs Gummidge"
"82","Jane Murdstone","Tom Jones"
"83","Little Emily","Tom Jones"
"84","Mr Gummidge","Tom Jones"
"85","Mr Murdstone","Tom Jones"
"86","Mrs Gummidge","Tom Jones"
"87","Barkis","Clara Copperfield"
"88","Barkis","Clara Peggotty"
"89","Barkis","Daniel Peggotty"
"90","Barkis","David Copperfield"
"91","Barkis","George Demple"
"92","Barkis","James Steerforth"
"93","Barkis","Jane Murdstone"
"94","Barkis","Little Emily"
"95","Barkis","Miss Creakle"
"96","Barkis","Mr Creakle"
"97","Barkis","Mr Mell"
"98","Barkis","Mr Murdstone"
"99","Barkis","Mrs Creakle"
"100","Barkis","Mrs Fibbitson"
"101","Barkis","Tommy Traddles"
"102","Barkis","Topsawyer"
"103","Clara Copperfield","George Demple"
"104","Clara Copperfield","James Steerforth"
"105","Clara Copperfield","Miss Creakle"
"106","Clara Copperfield","Mr Creakle"
"107","Clara Copperfield","Mr Mell"
"108","Clara Copperfield","Mrs Creakle"
"109","Clara Copperfield","Mrs Fibbitson"
"110","Clara Copperfield","Tommy Traddles"
"111","Clara Copperfield","Topsawyer"
"112","Clara Peggotty","George Demple"
"113","Clara Peggotty","James Steerforth"
"114","Clara Peggotty","Miss Creakle"
"115","Clara Peggotty","Mr Creakle"
"116","Clara Peggotty","Mr Mell"
"117","Clara Peggotty","Mrs Creakle"
"118","Clara Peggotty","Mrs Fibbitson"
"119","Clara Peggotty","Tommy Traddles"
"120","Clara Peggotty","Topsawyer"
"121","Daniel Peggotty","George Demple"
"122","Daniel Peggotty","James Steerforth"
"123","Daniel Peggotty","Miss Creakle"
"124","Daniel Peggotty","Mr Creakle"
"125","Daniel Peggotty","Mr Mell"
"126","Daniel Peggotty","Mrs Creakle"
"127","Daniel Peggotty","Mrs Fibbitson"
"128","Daniel Peggotty","Tommy Traddles"
"129","Daniel Peggotty","Topsawyer"
"130","David Copperfield","George Demple"
"131","David Copperfield","James Steerforth"
"132","David Copperfield","Miss Creakle"
"133","David Copperfield","Mr Creakle"
"134","David Copperfield","Mr Mell"
"135","David Copperfield","Mrs Creakle"
"136","David Copperfield","Mrs Fibbitson"
"137","David Copperfield","Tommy Traddles"
"138","David Copperfield","Topsawyer"
"139","George Demple","James Steerforth"
"140","George Demple","Jane Murdstone"
"141","George Demple","Little Emily"
"142","George Demple","Miss Creakle"
"143","George Demple","Mr Creakle"
"144","George Demple","Mr Mell"
"145","George Demple","Mr Murdstone"
"146","George Demple","Mrs Creakle"
"147","George Demple","Mrs Fibbitson"
"148","George Demple","Tommy Traddles"
"149","George Demple","Topsawyer"
"150","James Steerforth","Jane Murdstone"
"151","James Steerforth","Little Emily"
"152","James Steerforth","Miss Creakle"
"153","James Steerforth","Mr Creakle"
"154","James Steerforth","Mr Mell"
"155","James Steerforth","Mr Murdstone"
"156","James Steerforth","Mrs Creakle"
"157","James Steerforth","Mrs Fibbitson"
"158","James Steerforth","Tommy Traddles"
"159","James Steerforth","Topsawyer"
"160","Jane Murdstone","Miss Creakle"
"161","Jane Murdstone","Mr Creakle"
"162","Jane Murdstone","Mr Mell"
"163","Jane Murdstone","Mrs Creakle"
"164","Jane Murdstone","Mrs Fibbitson"
"165","Jane Murdstone","Tommy Traddles"
"166","Jane Murdstone","Topsawyer"
"167","Little Emily","Miss Creakle"
"168","Little Emily","Mr Creakle"
"169","Little Emily","Mr Mell"
"170","Little Emily","Mrs Creakle"
"171","Little Emily","Mrs Fibbitson"
"172","Little Emily","Tommy Traddles"
"173","Little Emily","Topsawyer"
"174","Miss Creakle","Mr Creakle"
