"","Character","Node","Appearances"
"1","Alex Macstinger",23,5
"2","Alex Macstinger",60,5
"3","Alex Macstinger",18,5
"4","Alex Macstinger",25,5
"5","Alex Macstinger",39,5
"6","Alice Brown",46,5
"7","Alice Brown",52,5
"8","Alice Brown",34,5
"9","Alice Brown",58,5
"10","Alice Brown",53,5
"11","Anne",59,1
"12","Barnet Skettles Jr",24,3
"13","Barnet Skettles Jr",14,3
"14","Barnet Skettles Jr",28,3
"15","Berinthia",59,3
"16","Berinthia",11,3
"17","Berinthia",8,3
"18","Bill Bitherstone",10,1
"19","Briggs",41,4
"20","Briggs",60,4
"21","Briggs",14,4
"22","Briggs",12,4
"23","Captain Bunsby",15,5
"24","Captain Bunsby",23,5
"25","Captain Bunsby",39,5
"26","Captain Bunsby",50,5
"27","Captain Bunsby",60,5
"28","Captain Cuttle",62,23
"29","Captain Cuttle",49,23
"30","Captain Cuttle",48,23
"31","Captain Cuttle",60,23
"32","Captain Cuttle",39,23
"33","Captain Cuttle",42,23
"34","Captain Cuttle",4,23
"35","Captain Cuttle",23,23
"36","Captain Cuttle",13,23
"37","Captain Cuttle",17,23
"38","Captain Cuttle",15,23
"39","Captain Cuttle",19,23
"40","Captain Cuttle",32,23
"41","Captain Cuttle",10,23
"42","Captain Cuttle",58,23
"43","Captain Cuttle",25,23
"44","Captain Cuttle",56,23
"45","Captain Cuttle",9,23
"46","Captain Cuttle",22,23
"47","Captain Cuttle",46,23
"48","Captain Cuttle",31,23
"49","Captain Cuttle",57,23
"50","Captain Cuttle",50,23
"51","Charles Macstinger",39,1
"52","Cornelia Blimber",41,6
"53","Cornelia Blimber",60,6
"54","Cornelia Blimber",12,6
"55","Cornelia Blimber",15,6
"56","Cornelia Blimber",11,6
"57","Cornelia Blimber",14,6
"58","Cousin Feenix",41,8
"59","Cousin Feenix",21,8
"60","Cousin Feenix",31,8
"61","Cousin Feenix",36,8
"62","Cousin Feenix",61,8
"63","Cousin Feenix",30,8
"64","Cousin Feenix",51,8
"65","Cousin Feenix",27,8
"66","Diogenes",35,14
"67","Diogenes",22,14
"68","Diogenes",56,14
"69","Diogenes",28,14
"70","Diogenes",30,14
"71","Diogenes",50,14
"72","Diogenes",48,14
"73","Diogenes",18,14
"74","Diogenes",31,14
"75","Diogenes",49,14
"76","Diogenes",41,14
"77","Diogenes",44,14
"78","Diogenes",14,14
"79","Diogenes",23,14
"80","Doctor Blimber",60,9
"81","Doctor Blimber",11,9
"82","Doctor Blimber",12,9
"83","Doctor Blimber",28,9
"84","Doctor Blimber",17,9
"85","Doctor Blimber",24,9
"86","Doctor Blimber",16,9
"87","Doctor Blimber",41,9
"88","Doctor Blimber",14,9
"89","Doctor Parker Peps",1,2
"90","Doctor Parker Peps",8,2
"91","Florence Dombey",1,51
"92","Florence Dombey",32,51
"93","Florence Dombey",15,51
"94","Florence Dombey",37,51
"95","Florence Dombey",6,51
"96","Florence Dombey",26,51
"97","Florence Dombey",46,51
"98","Florence Dombey",19,51
"99","Florence Dombey",41,51
"100","Florence Dombey",13,51
"101","Florence Dombey",14,51
"102","Florence Dombey",30,51
"103","Florence Dombey",23,51
"104","Florence Dombey",45,51
"105","Florence Dombey",34,51
"106","Florence Dombey",47,51
"107","Florence Dombey",29,51
"108","Florence Dombey",3,51
"109","Florence Dombey",54,51
"110","Florence Dombey",5,51
"111","Florence Dombey",42,51
"112","Florence Dombey",31,51
"113","Florence Dombey",35,51
"114","Florence Dombey",49,51
"115","Florence Dombey",48,51
"116","Florence Dombey",11,51
"117","Florence Dombey",25,51
"118","Florence Dombey",24,51
"119","Florence Dombey",9,51
"120","Florence Dombey",20,51
"121","Florence Dombey",61,51
"122","Florence Dombey",18,51
"123","Florence Dombey",43,51
"124","Florence Dombey",59,51
"125","Florence Dombey",40,51
"126","Florence Dombey",62,51
"127","Florence Dombey",22,51
"128","Florence Dombey",56,51
"129","Florence Dombey",50,51
"130","Florence Dombey",10,51
"131","Florence Dombey",57,51
"132","Florence Dombey",16,51
"133","Florence Dombey",28,51
"134","Florence Dombey",60,51
"135","Florence Dombey",51,51
"136","Florence Dombey",36,51
"137","Florence Dombey",39,51
"138","Florence Dombey",12,51
"139","Florence Dombey",8,51
"140","Florence Dombey",44,51
"141","Florence Dombey",21,51
"142","Flowers",37,3
"143","Flowers",40,3
"144","Flowers",36,3
"145","Harriet Carker",33,5
"146","Harriet Carker",53,5
"147","Harriet Carker",34,5
"148","Harriet Carker",58,5
"149","Harriet Carker",22,5
"150","James Carker",46,6
"151","James Carker",53,6
"152","James Carker",32,6
"153","James Carker",22,6
"154","James Carker",58,6
"155","James Carker",13,6
"156","Jemima",2,2
"157","Jemima",6,2
"158","Joe",6,1
"159","John",39,5
"160","John",4,5
"161","John",23,5
"162","John",5,5
"163","John",24,5
"164","Johnson",14,3
"165","Johnson",12,3
"166","Johnson",41,3
"167","Juliana Macstinger",39,3
"168","Juliana Macstinger",60,3
"169","Juliana Macstinger",25,3
"170","Kate",24,1
"171","Lady Skettles",18,6
"172","Lady Skettles",60,6
"173","Lady Skettles",23,6
"174","Lady Skettles",14,6
"175","Lady Skettles",24,6
"176","Lady Skettles",28,6
"177","Lucretia Tox",62,19
"178","Lucretia Tox",31,19
"179","Lucretia Tox",3,19
"180","Lucretia Tox",1,19
"181","Lucretia Tox",10,19
"182","Lucretia Tox",16,19
"183","Lucretia Tox",29,19
"184","Lucretia Tox",2,19
"185","Lucretia Tox",36,19
"186","Lucretia Tox",14,19
"187","Lucretia Tox",6,19
"188","Lucretia Tox",38,19
"189","Lucretia Tox",20,19
"190","Lucretia Tox",5,19
"191","Lucretia Tox",7,19
"192","Lucretia Tox",59,19
"193","Lucretia Tox",8,19
"194","Lucretia Tox",51,19
"195","Lucretia Tox",18,19
"196","Major Bagstock",40,21
"197","Major Bagstock",8,21
"198","Major Bagstock",52,21
"199","Major Bagstock",51,21
"200","Major Bagstock",30,21
"201","Major Bagstock",31,21
"202","Major Bagstock",41,21
"203","Major Bagstock",10,21
"204","Major Bagstock",7,21
"205","Major Bagstock",36,21
"206","Major Bagstock",58,21
"207","Major Bagstock",20,21
"208","Major Bagstock",37,21
"209","Major Bagstock",21,21
"210","Major Bagstock",26,21
"211","Major Bagstock",18,21
"212","Major Bagstock",29,21
"213","Major Bagstock",47,21
"214","Major Bagstock",27,21
"215","Major Bagstock",59,21
"216","Major Bagstock",38,21
"217","Martha",24,1
"218","Mary Daws",59,2
"219","Mary Daws",28,2
"220","Master Bitherstone",41,7
"221","Master Bitherstone",10,7
"222","Master Bitherstone",12,7
"223","Master Bitherstone",60,7
"224","Master Bitherstone",8,7
"225","Master Bitherstone",11,7
"226","Master Bitherstone",44,7
"227","Melia",41,1
"228","Miss Pankey",11,2
"229","Miss Pankey",8,2
"230","Mr Baps",14,1
"231","Mr Brogley",9,6
"232","Mr Brogley",25,6
"233","Mr Brogley",23,6
"234","Mr Brogley",49,6
