"source" "target" "tag"
"1" 1 2 "Lucretia Tox"
"2" 1 2 "Mr Dombey"
"3" 1 2 "Mrs Chick"
"4" 1 2 "Mrs Dombey I"
"5" 1 2 "Paul Dombey"
"6" 1 3 "Florence Dombey"
"7" 2 3 "Lucretia Tox"
"8" 2 3 "Mr Dombey"
"9" 2 3 "Mr Toodle"
"10" 2 3 "Mrs Chick"
"11" 2 3 "Mrs Polly Toodle"
"12" 2 3 "Paul Dombey"
"13" 3 4 "Mr Dombey"
"14" 3 5 "Florence Dombey"
"15" 4 5 "John"
"16" 3 5 "Lucretia Tox"
"17" 2 5 "Mr Chick"
"18" 4 5 "Mr Dombey"
"19" 3 5 "Mrs Chick"
"20" 2 5 "Mrs Dombey I"
"21" 3 5 "Mrs Polly Toodle"
"22" 3 5 "Paul Dombey"
"23" 2 5 "Robin Toodle"
"24" 3 5 "Susan Nipper"
"25" 5 6 "Florence Dombey"
"26" 2 6 "Jemima"
"27" 5 6 "Lucretia Tox"
"28" 4 6 "Mr Carker"
"29" 5 6 "Mr Dombey"
"30" 3 6 "Mr Toodle"
"31" 5 6 "Mrs Chick"
"32" 5 6 "Mrs Polly Toodle"
"33" 5 6 "Paul Dombey"
"34" 5 6 "Robin Toodle"
"35" 4 6 "Solomon Gills"
"36" 5 6 "Susan Nipper"
"37" 4 6 "Walter Gay"
"38" 6 7 "Lucretia Tox"
"39" 6 7 "Mrs Chick"
"40" 5 7 "Mrs Dombey I"
"41" 6 7 "Paul Dombey"
"42" 1 8 "Doctor Parker Peps"
"43" 6 8 "Florence Dombey"
"44" 7 8 "Lucretia Tox"
"45" 7 8 "Major Bagstock"
"46" 5 8 "Mr Chick"
"47" 6 8 "Mr Dombey"
"48" 1 8 "Mr Pilkins"
"49" 7 8 "Mrs Chick"
"50" 6 8 "Mrs Polly Toodle"
"51" 7 8 "Paul Dombey"
"52" 5 8 "Towlinson"
"53" 4 9 "Captain Cuttle"
"54" 8 9 "Florence Dombey"
"55" 6 9 "Mr Carker"
"56" 8 9 "Mr Dombey"
"57" 6 9 "Mrs Brown"
"58" 8 9 "Mrs Wickam"
"59" 6 9 "Solomon Gills"
"60" 6 9 "Susan Nipper"
"61" 6 9 "Walter Gay"
"62" 9 10 "Captain Cuttle"
"63" 9 10 "Florence Dombey"
"64" 8 10 "Lucretia Tox"
"65" 8 10 "Major Bagstock"
"66" 8 10 "Master Bitherstone"
"67" 9 10 "Mr Carker"
"68" 9 10 "Mr Dombey"
"69" 8 10 "Mrs Chick"
"70" 8 10 "Paul Dombey"
"71" 9 10 "Walter Gay"
"72" 8 11 "Berinthia"
"73" 10 11 "Florence Dombey"
"74" 10 11 "Master Bitherstone"
"75" 8 11 "Miss Pankey"
"76" 10 11 "Mr Dombey"
"77" 9 11 "Mrs Wickam"
"78" 10 11 "Paul Dombey"
"79" 11 12 "Cornelia Blimber"
"80" 11 12 "Doctor Blimber"
"81" 11 12 "Florence Dombey"
"82" 11 12 "Master Bitherstone"
"83" 11 12 "Mr Dombey"
"84" 11 12 "Mr Feeder"
"85" 11 12 "Mr Toots"
"86" 11 12 "Mrs Blimber"
"87" 11 12 "Mrs Wickam"
"88" 11 12 "Paul Dombey"
"89" 9 12 "Susan Nipper"
"90" 10 13 "Captain Cuttle"
"91" 12 13 "Florence Dombey"
"92" 10 13 "Mr Carker"
"93" 12 13 "Mr Dombey"
"94" 4 13 "Mr Morfin"
"95" 12 13 "Paul Dombey"
"96" 10 13 "Walter Gay"
"97" 12 14 "Briggs"
"98" 12 14 "Cornelia Blimber"
"99" 12 14 "Doctor Blimber"
"100" 13 14 "Florence Dombey"
"101" 12 14 "Johnson"
"102" 10 14 "Lucretia Tox"
"103" 13 14 "Mr Dombey"
"104" 12 14 "Mr Feeder"
"105" 12 14 "Mr Toots"
"106" 12 14 "Mrs Blimber"
"107" 12 14 "Old Glubb"
"108" 13 14 "Paul Dombey"
"109" 12 14 "Susan Nipper"
"110" 12 14 "Tozer"
"111" 13 14 "Walter Gay"
"112" 13 15 "Captain Cuttle"
"113" 14 15 "Cornelia Blimber"
"114" 14 15 "Florence Dombey"
"115" 9 15 "Mr Brogley"
"116" 14 15 "Mr Dombey"
"117" 6 15 "Mr Toodle"
"118" 9 15 "Mrs Brown"
"119" 8 15 "Mrs Polly Toodle"
"120" 14 15 "Paul Dombey"
"121" 9 15 "Solomon Gills"
"122" 14 15 "Susan Nipper"
"123" 14 15 "Walter Gay"
"124" 14 16 "Doctor Blimber"
"125" 15 16 "Florence Dombey"
"126" 14 16 "Lucretia Tox"
"127" 15 16 "Paul Dombey"
"128" 15 16 "Susan Nipper"
"129" 15 16 "Walter Gay"
"130" 15 17 "Captain Cuttle"
"131" 16 17 "Doctor Blimber"
"132" 13 17 "Mr Carker"
"133" 15 17 "Mr Dombey"
"134" 13 17 "Mr Perch"
"135" 13 17 "Mrs Perch"
"136" 15 17 "Solomon Gills"
"137" 8 17 "Towlinson"
"138" 16 17 "Walter Gay"
"139" 14 18 "Diogenes"
"140" 16 18 "Florence Dombey"
"141" 14 18 "Lady Skettles"
"142" 16 18 "Lucretia Tox"
"143" 10 18 "Major Bagstock"
"144" 17 18 "Mr Carker"
"145" 8 18 "Mr Chick"
"146" 17 18 "Mr Dombey"
"147" 17 18 "Mr Perch"
"148" 14 18 "Mr Toots"
"149" 10 18 "Mrs Chick"
"150" 7 18 "Mrs Dombey I"
"151" 17 18 "Mrs Perch"
"152" 12 18 "Mrs Wickam"
"153" 16 18 "Paul Dombey"
"154" 16 18 "Susan Nipper"
"155" 17 18 "Towlinson"
"156" 17 19 "Captain Cuttle"
"157" 18 19 "Florence Dombey"
"158" 18 19 "Mr Carker"
"159" 18 19 "Mr Dombey"
"160" 15 19 "Mrs Polly Toodle"
"161" 18 19 "Paul Dombey"
"162" 17 19 "Solomon Gills"
"163" 18 19 "Susan Nipper"
"164" 17 19 "Walter Gay"
"165" 19 20 "Florence Dombey"
"166" 18 20 "Lucretia Tox"
"167" 18 20 "Major Bagstock"
"168" 19 20 "Mr Dombey"
"169" 15 20 "Mr Toodle"
"170" 18 20 "Mrs Dombey I"
"171" 19 20 "Mrs Polly Toodle"
"172" 18 20 "Towlinson"
"173" 20 21 "Florence Dombey"
"174" 20 21 "Major Bagstock"
"175" 20 21 "Mr Dombey"
"176" 10 21 "Mrs Dombey II"
"177" 20 21 "The Native"
"178" 19 22 "Captain Cuttle"
"179" 18 22 "Diogenes"
"180" 21 22 "Florence Dombey"
"181" 13 22 "James Carker"
"182" 19 22 "Mr Carker"
"183" 21 22 "Mr Dombey"
"184" 14 22 "Mr Feeder"
"185" 18 22 "Mr Perch"
"186" 20 22 "Mr Toodle"
"187" 18 22 "Mr Toots"
"188" 18 22 "Mrs Perch"
"189" 20 22 "Mrs Polly Toodle"
"190" 6 22 "Robin Toodle"
"191" 19 22 "Solomon Gills"
"192" 19 22 "Susan Nipper"
"193" 18 23 "Alex Macstinger"
"194" 15 23 "Captain Bunsby"
"195" 22 23 "Captain Cuttle"
"196" 22 23 "Diogenes"
"197" 22 23 "Florence Dombey"
"198" 5 23 "John"
"199" 18 23 "Lady Skettles"
"200" 15 23 "Mr Brogley"
"201" 22 23 "Mr Dombey"
"202" 22 23 "Mr Perch"
"203" 22 23 "Mrs Perch"
"204" 22 23 "Mrs Polly Toodle"
"205" 22 23 "Robin Toodle"
"206" 22 23 "Solomon Gills"
"207" 22 23 "Susan Nipper"
"208" 20 23 "Towlinson"
"209" 19 23 "Walter Gay"
"210" 14 24 "Barnet Skettles Jr"
"211" 17 24 "Doctor Blimber"
"212" 23 24 "Florence Dombey"
"213" 23 24 "John"
"214" 23 24 "Lady Skettles"
"215" 22 24 "Mr Carker"
"216" 23 24 "Mr Dombey"
"217" 14 24 "Mrs Blimber"
"218" 19 24 "Paul Dombey"
"219" 14 24 "Sir Barnet Skettles"
"220" 23 25 "Alex Macstinger"
"221" 23 25 "Captain Cuttle"
"222" 24 25 "Florence Dombey"
"223" 23 25 "Mr Brogley"
"224" 23 25 "Robin Toodle"
"225" 23 25 "Solomon Gills"
"226" 23 25 "Walter Gay"
"227" 25 26 "Florence Dombey"
"228" 21 26 "Major Bagstock"
"229" 24 26 "Mr Carker"
"230" 24 26 "Mr Dombey"
"231" 21 26 "Mrs Dombey II"
"232" 21 26 "Mrs Skewton"
"233" 24 26 "Paul Dombey"
"234" 21 26 "The Native"
"235" 21 26 "Withers"
"236" 21 27 "Cousin Feenix"
"237" 26 27 "Major Bagstock"
"238" 26 27 "Mr Carker"
"239" 26 27 "Mr Dombey"
"240" 26 27 "Mrs Dombey II"
"241" 26 27 "Mrs Skewton"
"242" 26 27 "The Native"
"243" 23 27 "Towlinson"
"244" 26 27 "Withers"
"245" 24 28 "Barnet Skettles Jr"
"246" 23 28 "Diogenes"
"247" 24 28 "Doctor Blimber"
"248" 26 28 "Florence Dombey"
"249" 24 28 "Lady Skettles"
"250" 27 28 "Mr Carker"
