"id1" "id2" "label"
"Alex Macstinger" "Briggs" 1
"Alex Macstinger" "Captain Bunsby" 3
"Alex Macstinger" "Captain Cuttle" 4
"Alex Macstinger" "Charles Macstinger" 1
"Alex Macstinger" "Cornelia Blimber" 1
"Alex Macstinger" "Diogenes" 2
"Alex Macstinger" "Doctor Blimber" 1
"Alex Macstinger" "Florence Dombey" 5
"Alex Macstinger" "John" 2
"Alex Macstinger" "Juliana Macstinger" 3
"Alex Macstinger" "Lady Skettles" 3
"Alex Macstinger" "Lucretia Tox" 1
"Alex Macstinger" "Major Bagstock" 1
"Alex Macstinger" "Master Bitherstone" 1
"Alex Macstinger" "Mr Brogley" 2
"Alex Macstinger" "Mr Carker" 2
"Alex Macstinger" "Mr Chick" 1
"Alex Macstinger" "Mr Dombey" 4
"Alex Macstinger" "Mr Feeder" 1
"Alex Macstinger" "Mr Perch" 3
"Alex Macstinger" "Mr Toots" 3
"Alex Macstinger" "Mrs Blimber" 1
"Alex Macstinger" "Mrs Bokum" 1
"Alex Macstinger" "Mrs Chick" 1
"Alex Macstinger" "Mrs Dombey I" 1
"Alex Macstinger" "Mrs Perch" 2
"Alex Macstinger" "Mrs Polly Toodle" 1
"Alex Macstinger" "Mrs Wickam" 1
"Alex Macstinger" "Paul Dombey" 1
"Alex Macstinger" "Reverend Feeder" 1
"Alex Macstinger" "Reverend Melchisedech" 1
"Alex Macstinger" "Robin Toodle" 3
"Alex Macstinger" "Sir Barnet Skettles" 1
"Alex Macstinger" "Solomon Gills" 3
"Alex Macstinger" "Susan Nipper" 4
"Alex Macstinger" "Towlinson" 2
"Alex Macstinger" "Tozer" 1
"Alex Macstinger" "Walter Gay" 4
"Alice Brown" "Captain Cuttle" 2
"Alice Brown" "Florence Dombey" 2
"Alice Brown" "Harriet Carker" 3
"Alice Brown" "James Carker" 3
"Alice Brown" "Major Bagstock" 2
"Alice Brown" "Mr Carker" 4
"Alice Brown" "Mr Dombey" 5
"Alice Brown" "Mr Morfin" 2
"Alice Brown" "Mr Perch" 3
"Alice Brown" "Mrs Brown" 3
"Alice Brown" "Mrs Chick" 1
"Alice Brown" "Mrs Dombey II" 4
"Alice Brown" "Mrs Perch" 2
"Alice Brown" "Mrs Polly Toodle" 1
"Alice Brown" "Mrs Skewton" 1
"Alice Brown" "Mrs Wickam" 1
"Alice Brown" "Paul Dombey" 1
"Alice Brown" "Robin Toodle" 2
"Alice Brown" "Walter Gay" 1
"Anne" "Berinthia" 1
"Anne" "Florence Dombey" 1
"Anne" "Lucretia Tox" 1
"Anne" "Major Bagstock" 1
"Anne" "Mary Daws" 1
"Anne" "Mr Chick" 1
"Anne" "Mr Dombey" 1
"Anne" "Mr Perch" 1
"Anne" "Mr Toodle" 1
"Anne" "Mrs Chick" 1
"Anne" "Mrs Perch" 1
"Anne" "Mrs Polly Toodle" 1
"Anne" "Paul Dombey" 1
"Anne" "Robin Toodle" 1
"Anne" "The Native" 1
"Anne" "Towlinson" 1
"Anne" "Walter Gay" 1
"Barnet Skettles Jr" "Briggs" 1
"Barnet Skettles Jr" "Cornelia Blimber" 1
"Barnet Skettles Jr" "Diogenes" 2
"Barnet Skettles Jr" "Doctor Blimber" 3
"Barnet Skettles Jr" "Florence Dombey" 3
"Barnet Skettles Jr" "John" 1
"Barnet Skettles Jr" "Johnson" 1
"Barnet Skettles Jr" "Kate" 1
"Barnet Skettles Jr" "Lady Skettles" 3
"Barnet Skettles Jr" "Lucretia Tox" 1
"Barnet Skettles Jr" "Martha" 1
"Barnet Skettles Jr" "Mary Daws" 1
"Barnet Skettles Jr" "Mr Baps" 1
"Barnet Skettles Jr" "Mr Carker" 2
"Barnet Skettles Jr" "Mr Dombey" 3
"Barnet Skettles Jr" "Mr Feeder" 1
"Barnet Skettles Jr" "Mr Perch" 1
"Barnet Skettles Jr" "Mr Toots" 2
"Barnet Skettles Jr" "Mrs Baps" 1
"Barnet Skettles Jr" "Mrs Blimber" 3
"Barnet Skettles Jr" "Mrs Dombey II" 1
"Barnet Skettles Jr" "Mrs Polly Toodle" 1
"Barnet Skettles Jr" "Mrs Skewton" 1
"Barnet Skettles Jr" "Old Glubb" 1
"Barnet Skettles Jr" "Paul Dombey" 3
"Barnet Skettles Jr" "Sir Barnet Skettles" 2
"Barnet Skettles Jr" "Susan Nipper" 2
"Barnet Skettles Jr" "Towlinson" 1
"Barnet Skettles Jr" "Tozer" 1
"Barnet Skettles Jr" "Walter Gay" 2
"Berinthia" "Cornelia Blimber" 1
"Berinthia" "Doctor Blimber" 1
"Berinthia" "Doctor Parker Peps" 1
"Berinthia" "Florence Dombey" 3
"Berinthia" "Lucretia Tox" 2
"Berinthia" "Major Bagstock" 2
"Berinthia" "Mary Daws" 1
"Berinthia" "Master Bitherstone" 2
"Berinthia" "Miss Pankey" 2
"Berinthia" "Mr Chick" 2
"Berinthia" "Mr Dombey" 3
"Berinthia" "Mr Feeder" 1
"Berinthia" "Mr Perch" 1
"Berinthia" "Mr Pilkins" 1
"Berinthia" "Mr Toodle" 1
"Berinthia" "Mr Toots" 1
"Berinthia" "Mrs Blimber" 1
"Berinthia" "Mrs Chick" 2
"Berinthia" "Mrs Perch" 1
"Berinthia" "Mrs Polly Toodle" 2
"Berinthia" "Mrs Wickam" 2
"Berinthia" "Paul Dombey" 3
"Berinthia" "Robin Toodle" 1
"Berinthia" "The Native" 1
"Berinthia" "Towlinson" 2
"Berinthia" "Walter Gay" 1
"Bill Bitherstone" "Captain Cuttle" 1
"Bill Bitherstone" "Florence Dombey" 1
"Bill Bitherstone" "Lucretia Tox" 1
"Bill Bitherstone" "Major Bagstock" 1
"Bill Bitherstone" "Master Bitherstone" 1
"Bill Bitherstone" "Mr Carker" 1
"Bill Bitherstone" "Mr Dombey" 1
"Bill Bitherstone" "Mrs Chick" 1
"Bill Bitherstone" "Mrs Dombey II" 1
"Bill Bitherstone" "Paul Dombey" 1
"Bill Bitherstone" "Walter Gay" 1
"Briggs" "Captain Bunsby" 1
"Briggs" "Captain Cuttle" 1
"Briggs" "Cornelia Blimber" 4
"Briggs" "Cousin Feenix" 1
"Briggs" "Diogenes" 2
"Briggs" "Doctor Blimber" 4
"Briggs" "Florence Dombey" 4
"Briggs" "Johnson" 3
