"Character","Node","Type","Appearances"
"ColonelCampbell",12,"First Appearance",19
"ColonelCampbell",55,"Last Appearance",19
"DrHughes",38,"First Appearance",1
"DrHughes",38,"Last Appearance",1
"ElizabethMartin",4,"First Appearance",7
"ElizabethMartin",55,"Last Appearance",7
"EmmaWoodhouse",55,"Last Appearance",55
"EmmaWoodhouse",1,"First Appearance",55
"FarmerMitchell",1,"Last Appearance",1
"FarmerMitchell",1,"First Appearance",1
"FrankChurchill",2,"First Appearance",39
"FrankChurchill",55,"Last Appearance",39
"Hannah",1,"First Appearance",1
"Hannah",1,"Last Appearance",1
"Harriet Smith",55,"Last Appearance",44
"Harriet Smith",3,"First Appearance",44
"Harry",52,"Last Appearance",1
"Harry",52,"First Appearance",1
"HenryKnightley",6,"First Appearance",9
"HenryKnightley",54,"Last Appearance",9
"JohnKnightley",5,"First Appearance",22
"JohnKnightley",55,"Last Appearance",22
"JohnSaunders",27,"Last Appearance",1
"JohnSaunders",27,"First Appearance",1
"LitteIsabellaKnightley",12,"Last Appearance",2
"LitteIsabellaKnightley",6,"First Appearance",2
"LittleEmmaKnightley",12,"First Appearance",1
"LittleEmmaKnightley",12,"Last Appearance",1
"LittleGeorgeKnightley",6,"First Appearance",1
"LittleGeorgeKnightley",6,"Last Appearance",1
"LittleJohnKnightley",9,"First Appearance",6
"LittleJohnKnightley",54,"Last Appearance",6
"LiutenantFairfax",20,"Last Appearance",1
"LiutenantFairfax",20,"First Appearance",1
"Miss Martin",55,"Last Appearance",7
"Miss Martin",4,"First Appearance",7
"MissBates",2,"First Appearance",25
"MissBates",53,"Last Appearance",25
"MissBickerton",39,"First Appearance",1
"MissBickerton",39,"Last Appearance",1
"MissCaroline Otway",38,"Last Appearance",1
"MissCaroline Otway",38,"First Appearance",1
"MissGilbert",29,"Last Appearance",1
"MissGilbert",29,"First Appearance",1
"MissJaneFairfax",10,"First Appearance",32
"MissJaneFairfax",55,"Last Appearance",32
"MissNash",4,"First Appearance",6
"MissNash",27,"Last Appearance",6
"MissOtway",38,"Last Appearance",1
"MissOtway",38,"First Appearance",1
"MissPrince",4,"Last Appearance",1
"MissPrince",4,"First Appearance",1
"MissRichardson",4,"First Appearance",1
"MissRichardson",4,"Last Appearance",1
"Mr. Wingfield",11,"First Appearance",3
"Mr. Wingfield",52,"Last Appearance",3
"MrBragge",36,"First Appearance",2
"MrBragge",44,"Last Appearance",2
"MrCole",52,"Last Appearance",11
"MrCole",9,"First Appearance",11
"MrCoxe",26,"Last Appearance",1
"MrCoxe",26,"First Appearance",1
"MrGeorgeKnightley",55,"Last Appearance",44
"MrGeorgeKnightley",1,"First Appearance",44
"MrGeorgeOtway",38,"First Appearance",1
"MrGeorgeOtway",38,"Last Appearance",1
"MrGraham",12,"Last Appearance",1
"MrGraham",12,"First Appearance",1
"MrOtway",38,"Last Appearance",1
"MrOtway",38,"First Appearance",1
"MrPerry",54,"Last Appearance",19
"MrPerry",2,"First Appearance",19
"MrPhillipElton",1,"First Appearance",39
"MrPhillipElton",55,"Last Appearance",39
"MrsBates",52,"Last Appearance",21
"MrsBates",3,"First Appearance",21
"MrsBird",32,"Last Appearance",1
"MrsBird",32,"First Appearance",1
"MrsBragge",52,"Last Appearance",4
"MrsBragge",35,"First Appearance",4
"MrsBrown",22,"First Appearance",1
"MrsBrown",22,"Last Appearance",1
"MrsCampbell",12,"First Appearance",14
"MrsCampbell",55,"Last Appearance",14
"MrsChurchill",2,"First Appearance",16
"MrsChurchill",54,"Last Appearance",16
"MrsCole",53,"Last Appearance",9
"MrsCole",19,"First Appearance",9
"MrsElton",55,"Last Appearance",20
"MrsElton",21,"First Appearance",20
"MrsFordEM",27,"First Appearance",1
"MrsFordEM",27,"Last Appearance",1
"MrsGilbert",29,"First Appearance",2
"MrsGilbert",38,"Last Appearance",2
"MrsGoddard",54,"Last Appearance",19
"MrsGoddard",3,"First Appearance",19
"MrsHodges",52,"Last Appearance",4
"MrsHodges",27,"First Appearance",4
