"Character","Node"
"ColonelCampbell","19, 12, 21, 55, 26, 52, 38, 27, 28, 44, 35, 33, 23, 41, 46, 20, 24, 54, 48"
"DrHughes","38"
"ElizabethMartin","4, 27, 8, 21, 55, 23, 22"
"EmmaWoodhouse","1, 16, 5, 21, 50, 55, 41, 32, 14, 2, 24, 44, 13, 18, 35, 51, 10, 47, 3, 27, 25, 17, 33, 26, 11, 36, 54, 48, 52, 4, 15, 45, 38, 34, 20, 7, 37, 12, 31, 43, 46, 40, 28, 39, 29, 19, 6, 49, 30, 9, 42, 8, 22, 53, 23"
"FarmerMitchell","1"
"FrankChurchill","47, 15, 39, 5, 8, 52, 28, 45, 35, 26, 51, 30, 54, 29, 24, 42, 49, 43, 14, 32, 48, 37, 18, 36, 23, 53, 44, 2, 55, 34, 31, 20, 40, 25, 41, 46, 38, 27, 50"
"Hannah","1"
"Harriet Smith","10, 52, 48, 5, 28, 49, 15, 14, 23, 4, 39, 26, 16, 7, 47, 21, 51, 42, 6, 54, 22, 29, 40, 9, 43, 25, 12, 33, 41, 8, 38, 50, 32, 19, 17, 45, 27, 53, 31, 55, 13, 34, 46, 3"
"Harry","52"
"HenryKnightley","54, 37, 6, 11, 51, 26, 9, 34, 39"
"JohnKnightley","45, 9, 16, 13, 34, 40, 35, 54, 52, 11, 26, 55, 6, 12, 15, 36, 42, 21, 17, 53, 14, 5"
"JohnSaunders","27"
"LitteIsabellaKnightley","6, 12"
"LittleEmmaKnightley","12"
"LittleGeorgeKnightley","6"
"LittleJohnKnightley","36, 11, 9, 54, 37, 34"
"LiutenantFairfax","20"
"Miss Martin","4, 21, 22, 55, 8, 23, 27"
"MissBates","43, 45, 10, 53, 26, 28, 12, 33, 52, 30, 23, 34, 19, 29, 41, 24, 38, 21, 42, 20, 39, 44, 27, 2, 3"
"MissBickerton","39"
"MissCaroline Otway","38"
"MissGilbert","29"
"MissJaneFairfax","29, 43, 26, 34, 10, 19, 54, 51, 53, 30, 35, 12, 45, 21, 44, 27, 33, 38, 50, 31, 52, 48, 42, 23, 46, 28, 20, 24, 41, 55, 47, 49"
"MissNash","9, 4, 7, 10, 27, 8"
"MissOtway","38"
"MissPrince","4"
"MissRichardson","4"
"Mr. Wingfield","12, 52, 11"
"MrBragge","44, 36"
"MrCole","36, 19, 29, 25, 21, 33, 27, 52, 9, 10, 26"
"MrCoxe","26"
"MrGeorgeKnightley","29, 36, 50, 15, 30, 5, 12, 41, 16, 26, 24, 18, 4, 35, 48, 38, 47, 28, 39, 3, 25, 20, 42, 33, 49, 1, 13, 40, 54, 9, 45, 8, 53, 21, 55, 32, 27, 6, 34, 44, 43, 52, 51, 19"
"MrGeorgeOtway","38"
"MrGraham","12"
"MrOtway","38"
"MrPerry","27, 15, 13, 41, 19, 29, 11, 25, 45, 32, 9, 50, 21, 54, 2, 52, 8, 49, 12"
"MrPhillipElton","53, 32, 3, 36, 41, 51, 55, 38, 11, 50, 13, 6, 16, 9, 47, 8, 7, 14, 39, 52, 17, 34, 19, 33, 24, 44, 26, 43, 40, 10, 15, 31, 21, 23, 42, 1, 27, 22, 4"
"MrsBates","48, 24, 38, 23, 21, 9, 44, 41, 45, 3, 37, 19, 26, 20, 28, 34, 52, 27, 10, 25, 12"
"MrsBird","32"
"MrsBragge","42, 52, 44, 35"
"MrsBrown","22"
"MrsCampbell","24, 33, 20, 55, 35, 19, 12, 41, 23, 44, 52, 46, 26, 54"
"MrsChurchill","50, 18, 46, 44, 37, 42, 26, 31, 25, 27, 54, 36, 45, 2, 14, 30"
"MrsCole","22, 44, 25, 42, 19, 53, 45, 21, 26"
"MrsElton","42, 33, 35, 36, 51, 44, 32, 41, 34, 39, 21, 53, 55, 31, 50, 52, 43, 38, 22, 45"
"MrsFordEM","27"
"MrsGilbert","29, 38"
"MrsGoddard","22, 3, 25, 49, 34, 7, 15, 13, 4, 39, 26, 21, 52, 17, 23, 27, 8, 9, 54"
"MrsHodges","28, 27, 42, 52"
"MrsHughes","38"
"MrsIsabellaKnightley","55, 49, 6, 48, 26, 52, 29, 12, 1, 53, 17, 45, 31, 5, 11, 9, 36, 14, 15, 34, 42"
"MrsJamesCooper","32"
"MrsMartin","22, 27, 21, 55, 23, 8, 4"
"MrsPartridge","32, 35"
"MrsPerry","21, 41, 45, 2, 53, 34, 12"
"MrsSmallridge","51, 44, 45"
"MrsStokes","38, 29"
"MrsSuckling","42, 44"
"MrSuckling","38, 32, 35, 33, 36, 42, 44"
"MrsWeston","54, 47, 25, 26, 51, 13, 11, 38, 35, 52, 45, 3, 50, 4, 28, 14, 34, 33, 6, 32, 42, 27, 53, 36, 15, 29, 43, 9, 31, 41, 30, 2, 23, 24, 5, 46, 48, 1, 18"
"MrWeston","26, 45, 38, 29, 4, 25, 2, 14, 3, 49, 53, 48, 35, 47, 15, 9, 43, 54, 30, 34, 13, 42, 32, 46, 51, 31, 1, 5, 37, 23, 41, 11, 24, 36, 18"
"MrWoodhouse","53, 25, 34, 39, 1, 9, 29, 6, 32, 21, 11"
"OldJohnAbdy","44"
"OldMrChurchill","2, 47, 46, 36, 25, 55, 26, 18, 45, 30, 11, 50, 54"
"Patty","52, 34, 21, 44, 27"
"RobertMartin","4, 12, 27, 42, 7, 9, 21, 16, 23, 55, 54, 47, 8, 22"
"Serle","25, 21, 3"
"WilliamCox","38, 29, 27"
"WilliamLarkins","54, 30, 27, 51, 52, 28"
