"root_node_id" "tag"
"1" "EmmaWoodhouse"
"1" "FarmerMitchell"
"1" "Hannah"
"1" "MrGeorgeKnightley"
"1" "MrPhillipElton"
"1" "MrsIsabellaKnightley"
"1" "MrsWeston"
"1" "MrWeston"
"1" "MrWoodhouse"
"2" "FrankChurchill"
"2" "MissBates"
"2" "MrPerry"
"2" "MrsChurchill"
"2" "MrsPerry"
"2" "OldMrChurchill"
"3" "Harriet Smith"
"3" "MrsBates"
"3" "MrsGoddard"
"3" "Serle"
"4" "ElizabethMartin"
"4" "Miss Martin"
"4" "MissNash"
"4" "MissPrince"
"4" "MissRichardson"
"4" "MrsMartin"
"4" "RobertMartin"
"5" "JohnKnightley"
"6" "HenryKnightley"
"6" "LitteIsabellaKnightley"
"6" "LittleGeorgeKnightley"
"9" "LittleJohnKnightley"
"9" "MrCole"
"10" "MissJaneFairfax"
"11" "Mr. Wingfield"
"12" "ColonelCampbell"
"12" "LittleEmmaKnightley"
"12" "MrGraham"
"12" "MrsCampbell"
"19" "MrsCole"
"20" "LiutenantFairfax"
"21" "MrsElton"
"21" "Patty"
"22" "MrsBrown"
"26" "MrCoxe"
"27" "JohnSaunders"
"27" "MrsFordEM"
"27" "MrsHodges"
"27" "WilliamCox"
"27" "WilliamLarkins"
"29" "MissGilbert"
"29" "MrsGilbert"
"29" "MrsStokes"
"32" "MrsBird"
"32" "MrsJamesCooper"
"32" "MrsPartridge"
"32" "MrSuckling"
"35" "MrsBragge"
"36" "MrBragge"
"38" "DrHughes"
"38" "MissCaroline Otway"
"38" "MissOtway"
"38" "MrGeorgeOtway"
"38" "MrOtway"
"38" "MrsHughes"
"39" "MissBickerton"
"42" "MrsSuckling"
"44" "MrsSmallridge"
"44" "OldJohnAbdy"
"52" "Harry"
