"id1" "id2" "label"
"ColonelCampbell" "DrHughes" 1
"ColonelCampbell" "ElizabethMartin" 4
"ColonelCampbell" "EmmaWoodhouse" 19
"ColonelCampbell" "FrankChurchill" 15
"ColonelCampbell" "Harriet Smith" 15
"ColonelCampbell" "Harry" 1
"ColonelCampbell" "HenryKnightley" 2
"ColonelCampbell" "JohnKnightley" 7
"ColonelCampbell" "JohnSaunders" 1
"ColonelCampbell" "LitteIsabellaKnightley" 1
"ColonelCampbell" "LittleEmmaKnightley" 1
"ColonelCampbell" "LittleJohnKnightley" 1
"ColonelCampbell" "LiutenantFairfax" 1
"ColonelCampbell" "Miss Martin" 4
"ColonelCampbell" "MissBates" 14
"ColonelCampbell" "MissCaroline Otway" 1
"ColonelCampbell" "MissJaneFairfax" 19
"ColonelCampbell" "MissNash" 1
"ColonelCampbell" "MissOtway" 1
"ColonelCampbell" "Mr. Wingfield" 2
"ColonelCampbell" "MrBragge" 1
"ColonelCampbell" "MrCole" 6
"ColonelCampbell" "MrCoxe" 1
"ColonelCampbell" "MrGeorgeKnightley" 17
"ColonelCampbell" "MrGeorgeOtway" 1
"ColonelCampbell" "MrGraham" 1
"ColonelCampbell" "MrOtway" 1
"ColonelCampbell" "MrPerry" 7
"ColonelCampbell" "MrPhillipElton" 12
"ColonelCampbell" "MrsBates" 14
"ColonelCampbell" "MrsBragge" 3
"ColonelCampbell" "MrsCampbell" 14
"ColonelCampbell" "MrsChurchill" 5
"ColonelCampbell" "MrsCole" 4
"ColonelCampbell" "MrsElton" 8
"ColonelCampbell" "MrsFordEM" 1
"ColonelCampbell" "MrsGilbert" 1
"ColonelCampbell" "MrsGoddard" 6
"ColonelCampbell" "MrsHodges" 3
"ColonelCampbell" "MrsHughes" 1
"ColonelCampbell" "MrsIsabellaKnightley" 5
"ColonelCampbell" "MrsMartin" 4
"ColonelCampbell" "MrsPartridge" 1
"ColonelCampbell" "MrsPerry" 3
"ColonelCampbell" "MrsSmallridge" 1
"ColonelCampbell" "MrsStokes" 1
"ColonelCampbell" "MrsSuckling" 1
"ColonelCampbell" "MrSuckling" 4
"ColonelCampbell" "MrsWeston" 13
"ColonelCampbell" "MrWeston" 9
"ColonelCampbell" "MrWoodhouse" 1
"ColonelCampbell" "OldJohnAbdy" 1
"ColonelCampbell" "OldMrChurchill" 4
"ColonelCampbell" "Patty" 4
"ColonelCampbell" "RobertMartin" 6
"ColonelCampbell" "Serle" 1
"ColonelCampbell" "WilliamCox" 2
"ColonelCampbell" "WilliamLarkins" 4
"DrHughes" "EmmaWoodhouse" 1
"DrHughes" "FrankChurchill" 1
"DrHughes" "Harriet Smith" 1
"DrHughes" "MissBates" 1
"DrHughes" "MissCaroline Otway" 1
"DrHughes" "MissJaneFairfax" 1
"DrHughes" "MissOtway" 1
"DrHughes" "MrGeorgeKnightley" 1
"DrHughes" "MrGeorgeOtway" 1
"DrHughes" "MrOtway" 1
"DrHughes" "MrPhillipElton" 1
"DrHughes" "MrsBates" 1
"DrHughes" "MrsElton" 1
"DrHughes" "MrsGilbert" 1
"DrHughes" "MrsHughes" 1
"DrHughes" "MrsStokes" 1
"DrHughes" "MrSuckling" 1
"DrHughes" "MrsWeston" 1
"DrHughes" "MrWeston" 1
"DrHughes" "WilliamCox" 1
"ElizabethMartin" "EmmaWoodhouse" 7
"ElizabethMartin" "FrankChurchill" 4
"ElizabethMartin" "Harriet Smith" 7
"ElizabethMartin" "JohnKnightley" 2
"ElizabethMartin" "JohnSaunders" 1
"ElizabethMartin" "Miss Martin" 7
"ElizabethMartin" "MissBates" 3
"ElizabethMartin" "MissJaneFairfax" 4
"ElizabethMartin" "MissNash" 3
"ElizabethMartin" "MissPrince" 1
"ElizabethMartin" "MissRichardson" 1
"ElizabethMartin" "MrCole" 2
"ElizabethMartin" "MrGeorgeKnightley" 5
"ElizabethMartin" "MrPerry" 3
"ElizabethMartin" "MrPhillipElton" 7
"ElizabethMartin" "MrsBates" 3
"ElizabethMartin" "MrsBrown" 1
"ElizabethMartin" "MrsCampbell" 2
"ElizabethMartin" "MrsChurchill" 1
"ElizabethMartin" "MrsCole" 2
"ElizabethMartin" "MrsElton" 3
"ElizabethMartin" "MrsFordEM" 1
"ElizabethMartin" "MrsGoddard" 6
"ElizabethMartin" "MrsHodges" 1
"ElizabethMartin" "MrsIsabellaKnightley" 1
"ElizabethMartin" "MrsMartin" 7
"ElizabethMartin" "MrsPerry" 1
"ElizabethMartin" "MrsWeston" 3
"ElizabethMartin" "MrWeston" 2
"ElizabethMartin" "MrWoodhouse" 1
"ElizabethMartin" "OldMrChurchill" 1
"ElizabethMartin" "Patty" 2
"ElizabethMartin" "RobertMartin" 7
"ElizabethMartin" "Serle" 1
"ElizabethMartin" "WilliamCox" 1
"ElizabethMartin" "WilliamLarkins" 1
"EmmaWoodhouse" "FarmerMitchell" 1
"EmmaWoodhouse" "FrankChurchill" 39
"EmmaWoodhouse" "Hannah" 1
"EmmaWoodhouse" "Harriet Smith" 44
"EmmaWoodhouse" "Harry" 1
"EmmaWoodhouse" "HenryKnightley" 9
"EmmaWoodhouse" "JohnKnightley" 22
"EmmaWoodhouse" "JohnSaunders" 1
"EmmaWoodhouse" "LitteIsabellaKnightley" 2
"EmmaWoodhouse" "LittleEmmaKnightley" 1
"EmmaWoodhouse" "LittleGeorgeKnightley" 1
"EmmaWoodhouse" "LittleJohnKnightley" 6
"EmmaWoodhouse" "LiutenantFairfax" 1
"EmmaWoodhouse" "Miss Martin" 7
"EmmaWoodhouse" "MissBates" 25
"EmmaWoodhouse" "MissBickerton" 1
"EmmaWoodhouse" "MissCaroline Otway" 1
"EmmaWoodhouse" "MissGilbert" 1
"EmmaWoodhouse" "MissJaneFairfax" 32
"EmmaWoodhouse" "MissNash" 6
"EmmaWoodhouse" "MissOtway" 1
"EmmaWoodhouse" "MissPrince" 1
"EmmaWoodhouse" "MissRichardson" 1
"EmmaWoodhouse" "Mr. Wingfield" 3
"EmmaWoodhouse" "MrBragge" 2
"EmmaWoodhouse" "MrCole" 11
"EmmaWoodhouse" "MrCoxe" 1
"EmmaWoodhouse" "MrGeorgeKnightley" 44
"EmmaWoodhouse" "MrGeorgeOtway" 1
"EmmaWoodhouse" "MrGraham" 1
"EmmaWoodhouse" "MrOtway" 1
"EmmaWoodhouse" "MrPerry" 19
"EmmaWoodhouse" "MrPhillipElton" 39
"EmmaWoodhouse" "MrsBates" 21
"EmmaWoodhouse" "MrsBird" 1
"EmmaWoodhouse" "MrsBragge" 4
"EmmaWoodhouse" "MrsBrown" 1
"EmmaWoodhouse" "MrsCampbell" 14
"EmmaWoodhouse" "MrsChurchill" 16
"EmmaWoodhouse" "MrsCole" 9
"EmmaWoodhouse" "MrsElton" 20
"EmmaWoodhouse" "MrsFordEM" 1
"EmmaWoodhouse" "MrsGilbert" 2
"EmmaWoodhouse" "MrsGoddard" 19
"EmmaWoodhouse" "MrsHodges" 4
"EmmaWoodhouse" "MrsHughes" 1
"EmmaWoodhouse" "MrsIsabellaKnightley" 21
"EmmaWoodhouse" "MrsJamesCooper" 1
"EmmaWoodhouse" "MrsMartin" 7
"EmmaWoodhouse" "MrsPartridge" 2
"EmmaWoodhouse" "MrsPerry" 7
"EmmaWoodhouse" "MrsSmallridge" 3
"EmmaWoodhouse" "MrsStokes" 2
"EmmaWoodhouse" "MrsSuckling" 2
"EmmaWoodhouse" "MrSuckling" 7
"EmmaWoodhouse" "MrsWeston" 39
"EmmaWoodhouse" "MrWeston" 35
"EmmaWoodhouse" "MrWoodhouse" 11
"EmmaWoodhouse" "OldJohnAbdy" 1
"EmmaWoodhouse" "OldMrChurchill" 13
"EmmaWoodhouse" "Patty" 5
"EmmaWoodhouse" "RobertMartin" 14
"EmmaWoodhouse" "Serle" 3
"EmmaWoodhouse" "WilliamCox" 3
"EmmaWoodhouse" "WilliamLarkins" 6
"FarmerMitchell" "Hannah" 1
"FarmerMitchell" "MrGeorgeKnightley" 1
"FarmerMitchell" "MrPhillipElton" 1
"FarmerMitchell" "MrsIsabellaKnightley" 1
"FarmerMitchell" "MrsWeston" 1
"FarmerMitchell" "MrWeston" 1
"FarmerMitchell" "MrWoodhouse" 1
"FrankChurchill" "Harriet Smith" 30
"FrankChurchill" "Harry" 1
"FrankChurchill" "HenryKnightley" 6
"FrankChurchill" "JohnKnightley" 14
"FrankChurchill" "JohnSaunders" 1
"FrankChurchill" "LittleJohnKnightley" 4
"FrankChurchill" "LiutenantFairfax" 1
"FrankChurchill" "Miss Martin" 4
"FrankChurchill" "MissBates" 19
"FrankChurchill" "MissBickerton" 1
"FrankChurchill" "MissCaroline Otway" 1
"FrankChurchill" "MissGilbert" 1
"FrankChurchill" "MissJaneFairfax" 27
"FrankChurchill" "MissNash" 2
"FrankChurchill" "MissOtway" 1
"FrankChurchill" "Mr. Wingfield" 1
"FrankChurchill" "MrBragge" 2
"FrankChurchill" "MrCole" 6
"FrankChurchill" "MrCoxe" 1
"FrankChurchill" "MrGeorgeKnightley" 33
"FrankChurchill" "MrGeorgeOtway" 1
"FrankChurchill" "MrOtway" 1
"FrankChurchill" "MrPerry" 13
"FrankChurchill" "MrPhillipElton" 24
"FrankChurchill" "MrsBates" 15
"FrankChurchill" "MrsBird" 1
"FrankChurchill" "MrsBragge" 4
"FrankChurchill" "MrsCampbell" 11
"FrankChurchill" "MrsChurchill" 16
"FrankChurchill" "MrsCole" 6
"FrankChurchill" "MrsElton" 17
"FrankChurchill" "MrsFordEM" 1
"FrankChurchill" "MrsGilbert" 2
"FrankChurchill" "MrsGoddard" 11
"FrankChurchill" "MrsHodges" 4
"FrankChurchill" "MrsHughes" 1
"FrankChurchill" "MrsIsabellaKnightley" 15
"FrankChurchill" "MrsJamesCooper" 1
"FrankChurchill" "MrsMartin" 4
"FrankChurchill" "MrsPartridge" 2
"FrankChurchill" "MrsPerry" 5
"FrankChurchill" "MrsSmallridge" 3
"FrankChurchill" "MrsStokes" 2
"FrankChurchill" "MrsSuckling" 2
"FrankChurchill" "MrSuckling" 6
"FrankChurchill" "MrsWeston" 31
"FrankChurchill" "MrWeston" 29
"FrankChurchill" "MrWoodhouse" 6
"FrankChurchill" "OldJohnAbdy" 1
"FrankChurchill" "OldMrChurchill" 12
"FrankChurchill" "Patty" 4
"FrankChurchill" "RobertMartin" 7
"FrankChurchill" "Serle" 1
"FrankChurchill" "WilliamCox" 3
"FrankChurchill" "WilliamLarkins" 6
"Hannah" "MrGeorgeKnightley" 1
"Hannah" "MrPhillipElton" 1
"Hannah" "MrsIsabellaKnightley" 1
"Hannah" "MrsWeston" 1
"Hannah" "MrWeston" 1
"Hannah" "MrWoodhouse" 1
"Harriet Smith" "Harry" 1
"Harriet Smith" "HenryKnightley" 7
"Harriet Smith" "JohnKnightley" 19
"Harriet Smith" "JohnSaunders" 1
"Harriet Smith" "LitteIsabellaKnightley" 2
"Harriet Smith" "LittleEmmaKnightley" 1
"Harriet Smith" "LittleGeorgeKnightley" 1
"Harriet Smith" "LittleJohnKnightley" 3
"Harriet Smith" "Miss Martin" 7
"Harriet Smith" "MissBates" 20
"Harriet Smith" "MissBickerton" 1
"Harriet Smith" "MissCaroline Otway" 1
"Harriet Smith" "MissGilbert" 1
"Harriet Smith" "MissJaneFairfax" 27
"Harriet Smith" "MissNash" 6
"Harriet Smith" "MissOtway" 1
"Harriet Smith" "MissPrince" 1
"Harriet Smith" "MissRichardson" 1
"Harriet Smith" "Mr. Wingfield" 2
"Harriet Smith" "MrCole" 10
"Harriet Smith" "MrCoxe" 1
"Harriet Smith" "MrGeorgeKnightley" 36
"Harriet Smith" "MrGeorgeOtway" 1
"Harriet Smith" "MrGraham" 1
"Harriet Smith" "MrOtway" 1
"Harriet Smith" "MrPerry" 17
"Harriet Smith" "MrPhillipElton" 34
"Harriet Smith" "MrsBates" 17
"Harriet Smith" "MrsBird" 1
"Harriet Smith" "MrsBragge" 2
"Harriet Smith" "MrsBrown" 1
"Harriet Smith" "MrsCampbell" 10
"Harriet Smith" "MrsChurchill" 10
"Harriet Smith" "MrsCole" 8
"Harriet Smith" "MrsElton" 17
"Harriet Smith" "MrsFordEM" 1
"Harriet Smith" "MrsGilbert" 2
"Harriet Smith" "MrsGoddard" 19
"Harriet Smith" "MrsHodges" 4
"Harriet Smith" "MrsHughes" 1
"Harriet Smith" "MrsIsabellaKnightley" 18
"Harriet Smith" "MrsJamesCooper" 1
"Harriet Smith" "MrsMartin" 7
"Harriet Smith" "MrsPartridge" 1
"Harriet Smith" "MrsPerry" 6
"Harriet Smith" "MrsSmallridge" 2
"Harriet Smith" "MrsStokes" 2
"Harriet Smith" "MrsSuckling" 1
"Harriet Smith" "MrSuckling" 4
"Harriet Smith" "MrsWeston" 31
"Harriet Smith" "MrWeston" 26
"Harriet Smith" "MrWoodhouse" 9
"Harriet Smith" "OldMrChurchill" 8
"Harriet Smith" "Patty" 4
"Harriet Smith" "RobertMartin" 14
"Harriet Smith" "Serle" 3
"Harriet Smith" "WilliamCox" 3
"Harriet Smith" "WilliamLarkins" 5
"Harry" "JohnKnightley" 1
"Harry" "MissBates" 1
"Harry" "MissJaneFairfax" 1
"Harry" "Mr. Wingfield" 1
"Harry" "MrCole" 1
"Harry" "MrGeorgeKnightley" 1
"Harry" "MrPerry" 1
"Harry" "MrPhillipElton" 1
"Harry" "MrsBates" 1
"Harry" "MrsBragge" 1
"Harry" "MrsCampbell" 1
"Harry" "MrsElton" 1
"Harry" "MrsGoddard" 1
"Harry" "MrsHodges" 1
"Harry" "MrsIsabellaKnightley" 1
"Harry" "MrsWeston" 1
"Harry" "Patty" 1
"Harry" "WilliamLarkins" 1
"HenryKnightley" "JohnKnightley" 6
"HenryKnightley" "LitteIsabellaKnightley" 1
"HenryKnightley" "LittleGeorgeKnightley" 1
