"V1","V2"
"EmmaWoodhouse","FarmerMitchell"
"EmmaWoodhouse","Hannah"
"EmmaWoodhouse","MrGeorgeKnightley"
"EmmaWoodhouse","MrPhillipElton"
"EmmaWoodhouse","MrsIsabellaKnightley"
"EmmaWoodhouse","MrsWeston"
"EmmaWoodhouse","MrWeston"
"EmmaWoodhouse","MrWoodhouse"
"FarmerMitchell","Hannah"
"FarmerMitchell","MrGeorgeKnightley"
"FarmerMitchell","MrPhillipElton"
"FarmerMitchell","MrsIsabellaKnightley"
"FarmerMitchell","MrsWeston"
"FarmerMitchell","MrWeston"
"FarmerMitchell","MrWoodhouse"
"Hannah","MrGeorgeKnightley"
"Hannah","MrPhillipElton"
"Hannah","MrsIsabellaKnightley"
"Hannah","MrsWeston"
"Hannah","MrWeston"
"Hannah","MrWoodhouse"
"MrGeorgeKnightley","MrPhillipElton"
"MrGeorgeKnightley","MrsIsabellaKnightley"
"MrGeorgeKnightley","MrsWeston"
"MrGeorgeKnightley","MrWeston"
"MrGeorgeKnightley","MrWoodhouse"
"MrPhillipElton","MrsIsabellaKnightley"
"MrPhillipElton","MrsWeston"
"MrPhillipElton","MrWeston"
"MrPhillipElton","MrWoodhouse"
"MrsIsabellaKnightley","MrsWeston"
"MrsIsabellaKnightley","MrWeston"
"MrsIsabellaKnightley","MrWoodhouse"
"MrsWeston","MrWeston"
"MrsWeston","MrWoodhouse"
"MrWeston","MrWoodhouse"
"EmmaWoodhouse","FrankChurchill"
"EmmaWoodhouse","MissBates"
"EmmaWoodhouse","MrPerry"
"EmmaWoodhouse","MrsChurchill"
"EmmaWoodhouse","MrsPerry"
"EmmaWoodhouse","OldMrChurchill"
"FrankChurchill","MissBates"
"FrankChurchill","MrPerry"
"FrankChurchill","MrsChurchill"
"FrankChurchill","MrsPerry"
"FrankChurchill","MrsWeston"
"FrankChurchill","MrWeston"
"FrankChurchill","OldMrChurchill"
"MissBates","MrPerry"
"MissBates","MrsChurchill"
"MissBates","MrsPerry"
"MissBates","MrsWeston"
"MissBates","MrWeston"
"MissBates","OldMrChurchill"
"MrPerry","MrsChurchill"
"MrPerry","MrsPerry"
"MrPerry","MrsWeston"
"MrPerry","MrWeston"
"MrPerry","OldMrChurchill"
"MrsChurchill","MrsPerry"
"MrsChurchill","MrsWeston"
"MrsChurchill","MrWeston"
"MrsChurchill","OldMrChurchill"
"MrsPerry","MrsWeston"
"MrsPerry","MrWeston"
"MrsPerry","OldMrChurchill"
"MrsWeston","OldMrChurchill"
"MrWeston","OldMrChurchill"
"EmmaWoodhouse","Harriet Smith"
"EmmaWoodhouse","MrsBates"
"EmmaWoodhouse","MrsGoddard"
"EmmaWoodhouse","Serle"
"Harriet Smith","MissBates"
"Harriet Smith","MrGeorgeKnightley"
