"","x"
"1","Abel Magwitch"
"2","Avenger"
"3","Bentley Drummle"
"4","Biddy"
"5","Black Bill"
"6","Camilla"
"7","Clara Barley"
"8","Compeyson"
"9","Dunstable"
"10","Estella"
"11","Flopson"
"12","Georiana Pocket"
"13","Herbert Pocket"
"14","Jack"
"15","Joe Gargery"
"16","John Wemmick"
"17","Mary Anne"
"18","Mike"
"19","Millers"
"20","Miss Havisham"
"21","Miss Skiffins"
"22","Molly"
"23","Mr Camilla"
"24","Mr Clarriker"
"25","Mr Havisham"
"26","Mr Hubble"
"27","Mr Jaggers"
"28","Mr Pocket"
"29","Mr Trabb"
"30","Mr Wopsle"
"31","Mrs Brandley"
"32","Mrs Coiler"
"33","Mrs Hubble"
"34","Mrs Joe Gargery"
"35","Mrs Pocket"
"36","Old Barley"
"37","Orlick Dolge"
"38","Pip"
"39","Sarah Pocket"
"40","Skiffins"
"41","Sophia"
"42","Startop"
"43","Trabb's Boy"
"44","Uncle Pumblechook"
"45","The Aged"
"46","William Potkins"
