"","Character","Node","Appearances"
"1","Abel Magwitch",1,22
"2","Abel Magwitch",54,22
"3","Abel Magwitch",52,22
"4","Abel Magwitch",47,22
"5","Abel Magwitch",2,22
"6","Abel Magwitch",3,22
"7","Abel Magwitch",5,22
"8","Abel Magwitch",51,22
"9","Abel Magwitch",46,22
"10","Abel Magwitch",53,22
"11","Abel Magwitch",10,22
"12","Abel Magwitch",28,22
"13","Abel Magwitch",42,22
"14","Abel Magwitch",56,22
"15","Abel Magwitch",40,22
"16","Abel Magwitch",45,22
"17","Abel Magwitch",43,22
"18","Abel Magwitch",41,22
"19","Abel Magwitch",55,22
"20","Abel Magwitch",16,22
"21","Abel Magwitch",50,22
"22","Abel Magwitch",39,22
"23","Avenger",30,6
"24","Avenger",28,6
"25","Avenger",40,6
"26","Avenger",27,6
"27","Avenger",34,6
"28","Avenger",2,6
"29","Bentley Drummle",48,10
"30","Bentley Drummle",43,10
"31","Bentley Drummle",25,10
"32","Bentley Drummle",26,10
"33","Bentley Drummle",44,10
"34","Bentley Drummle",38,10
"35","Bentley Drummle",27,10
"36","Bentley Drummle",34,10
"37","Bentley Drummle",11,10
"38","Bentley Drummle",23,10
"39","Biddy",16,17
"40","Biddy",58,17
"41","Biddy",7,17
"42","Biddy",12,17
"43","Biddy",19,17
"44","Biddy",34,17
"45","Biddy",39,17
"46","Biddy",35,17
"47","Biddy",53,17
"48","Biddy",18,17
"49","Biddy",57,17
"50","Biddy",22,17
"51","Biddy",27,17
"52","Biddy",17,17
"53","Biddy",15,17
"54","Biddy",59,17
"55","Biddy",10,17
"56","Black Bill",32,1
"57","Camilla",11,6
"58","Camilla",25,6
"59","Camilla",57,6
"60","Camilla",18,6
"61","Camilla",34,6
"62","Camilla",44,6
"63","Clara Barley",53,9
"64","Clara Barley",55,9
"65","Clara Barley",52,9
"66","Clara Barley",45,9
"67","Clara Barley",58,9
"68","Clara Barley",30,9
"69","Clara Barley",31,9
"70","Clara Barley",46,9
"71","Clara Barley",59,9
"72","Compeyson",5,13
"73","Compeyson",16,13
"74","Compeyson",47,13
"75","Compeyson",41,13
"76","Compeyson",39,13
"77","Compeyson",54,13
"78","Compeyson",46,13
"79","Compeyson",42,13
"80","Compeyson",55,13
"81","Compeyson",43,13
"82","Compeyson",53,13
"83","Compeyson",50,13
"84","Compeyson",28,13
"85","Dunstable",23,2
"86","Dunstable",4,2
"87","Estella",29,34
"88","Estella",12,34
"89","Estella",11,34
"90","Estella",47,34
"91","Estella",48,34
"92","Estella",9,34
"93","Estella",53,34
"94","Estella",30,34
"95","Estella",13,34
"96","Estella",49,34
"97","Estella",18,34
"98","Estella",37,34
"99","Estella",44,34
"100","Estella",46,34
"101","Estella",27,34
"102","Estella",14,34
"103","Estella",19,34
"104","Estella",38,34
"105","Estella",32,34
"106","Estella",15,34
"107","Estella",8,34
"108","Estella",22,34
"109","Estella",51,34
"110","Estella",33,34
"111","Estella",31,34
"112","Estella",59,34
"113","Estella",17,34
"114","Estella",43,34
"115","Estella",57,34
"116","Estella",36,34
