"Character","Node","Type","Appearances"
"Abel Magwitch",1,"First Appearance",22
"Abel Magwitch",56,"Last Appearance",22
"Avenger",2,"First Appearance",6
"Avenger",40,"Last Appearance",6
"Bentley Drummle",11,"First Appearance",10
"Bentley Drummle",48,"Last Appearance",10
"Biddy",59,"Last Appearance",17
"Biddy",7,"First Appearance",17
"Black Bill",32,"First Appearance",1
"Black Bill",32,"Last Appearance",1
"Camilla",11,"First Appearance",6
"Camilla",57,"Last Appearance",6
"Clara Barley",30,"First Appearance",9
"Clara Barley",59,"Last Appearance",9
"Compeyson",55,"Last Appearance",13
"Compeyson",5,"First Appearance",13
"Dunstable",23,"Last Appearance",2
"Dunstable",4,"First Appearance",2
"Estella",8,"First Appearance",34
"Estella",59,"Last Appearance",34
"Flopson",22,"First Appearance",3
"Flopson",33,"Last Appearance",3
"Georiana Pocket",57,"Last Appearance",4
"Georiana Pocket",11,"First Appearance",4
"Herbert Pocket",59,"Last Appearance",38
"Herbert Pocket",11,"First Appearance",38
"Jack",47,"First Appearance",2
"Jack",54,"Last Appearance",2
"Joe Gargery",1,"First Appearance",35
"Joe Gargery",59,"Last Appearance",35
"John Wemmick",20,"First Appearance",19
"John Wemmick",55,"Last Appearance",19
"Mary Anne",45,"Last Appearance",1
"Mary Anne",45,"First Appearance",1
"Mike",20,"First Appearance",2
"Mike",51,"Last Appearance",2
"Millers",22,"First Appearance",3
"Millers",33,"Last Appearance",3
"Miss Havisham",7,"First Appearance",37
"Miss Havisham",57,"Last Appearance",37
"Miss Skiffins",55,"Last Appearance",4
"Miss Skiffins",37,"First Appearance",4
"Molly",48,"Last Appearance",2
"Molly",26,"First Appearance",2
"Mr Camilla",11,"First Appearance",3
"Mr Camilla",25,"Last Appearance",3
"Mr Clarriker",37,"First Appearance",5
"Mr Clarriker",58,"Last Appearance",5
"Mr Havisham",42,"Last Appearance",2
"Mr Havisham",22,"First Appearance",2
"Mr Hubble",35,"Last Appearance",3
"Mr Hubble",4,"First Appearance",3
"Mr Jaggers",18,"First Appearance",25
"Mr Jaggers",56,"Last Appearance",25
"Mr Pocket",11,"First Appearance",16
"Mr Pocket",57,"Last Appearance",16
"Mr Trabb",19,"First Appearance",6
"Mr Trabb",53,"Last Appearance",6
"Mr Wopsle",47,"Last Appearance",15
"Mr Wopsle",4,"First Appearance",15
"Mrs Brandley",38,"First Appearance",2
"Mrs Brandley",43,"Last Appearance",2
"Mrs Coiler",23,"First Appearance",1
"Mrs Coiler",23,"Last Appearance",1
"Mrs Hubble",4,"First Appearance",3
"Mrs Hubble",35,"Last Appearance",3
"Mrs Joe Gargery",58,"Last Appearance",21
"Mrs Joe Gargery",1,"First Appearance",21
"Mrs Pocket",34,"Last Appearance",6
"Mrs Pocket",22,"First Appearance",6
"Old Barley",46,"First Appearance",5
"Old Barley",58,"Last Appearance",5
"Orlick Dolge",15,"First Appearance",9
"Orlick Dolge",57,"Last Appearance",9
"Pip",59,"Last Appearance",49
"Pip",1,"First Appearance",49
"Sarah Pocket",57,"Last Appearance",7
"Sarah Pocket",11,"First Appearance",7
"Skiffins",37,"First Appearance",2
"Skiffins",52,"Last Appearance",2
"Sophia",23,"First Appearance",1
"Sophia",23,"Last Appearance",1
"Startop",23,"First Appearance",7
"Startop",54,"Last Appearance",7
"The Aged",55,"Last Appearance",7
"The Aged",25,"First Appearance",7
"Trabb's Boy",19,"First Appearance",4
"Trabb's Boy",53,"Last Appearance",4
"Uncle Pumblechook",4,"First Appearance",20
"Uncle Pumblechook",58,"Last Appearance",20
"William Potkins",58,"First Appearance",1
"William Potkins",58,"Last Appearance",1
