"source" "target" "tag"
"1" 1 2 "Abel Magwitch"
"2" 1 2 "Joe Gargery"
"3" 1 2 "Mrs Joe Gargery"
"4" 1 2 "Pip"
"5" 2 3 "Abel Magwitch"
"6" 2 3 "Joe Gargery"
"7" 3 4 "Joe Gargery"
"8" 2 4 "Mrs Joe Gargery"
"9" 2 4 "Pip"
"10" 3 5 "Abel Magwitch"
"11" 4 5 "Joe Gargery"
"12" 4 5 "Mr Hubble"
"13" 4 5 "Mr Wopsle"
"14" 4 5 "Mrs Joe Gargery"
"15" 4 5 "Pip"
"16" 4 5 "Uncle Pumblechook"
"17" 5 6 "Joe Gargery"
"18" 5 6 "Mr Wopsle"
"19" 5 6 "Mrs Joe Gargery"
"20" 5 6 "Uncle Pumblechook"
"21" 6 7 "Joe Gargery"
"22" 6 7 "Mr Wopsle"
"23" 6 7 "Mrs Joe Gargery"
"24" 5 7 "Pip"
"25" 6 7 "Uncle Pumblechook"
"26" 7 8 "Joe Gargery"
"27" 7 8 "Miss Havisham"
"28" 7 8 "Mrs Joe Gargery"
"29" 7 8 "Pip"
"30" 7 8 "Uncle Pumblechook"
"31" 8 9 "Estella"
"32" 8 9 "Joe Gargery"
"33" 8 9 "Miss Havisham"
"34" 8 9 "Mrs Joe Gargery"
"35" 8 9 "Pip"
"36" 8 9 "Uncle Pumblechook"
"37" 5 10 "Abel Magwitch"
"38" 7 10 "Biddy"
"39" 9 10 "Joe Gargery"
"40" 9 10 "Miss Havisham"
"41" 7 10 "Mr Wopsle"
"42" 9 10 "Mrs Joe Gargery"
"43" 9 10 "Pip"
"44" 9 11 "Estella"
"45" 10 11 "Joe Gargery"
"46" 10 11 "Miss Havisham"
"47" 10 11 "Mrs Joe Gargery"
"48" 10 11 "Pip"
"49" 9 11 "Uncle Pumblechook"
"50" 10 12 "Biddy"
"51" 11 12 "Estella"
"52" 11 12 "Herbert Pocket"
"53" 11 12 "Joe Gargery"
"54" 11 12 "Miss Havisham"
"55" 11 12 "Mrs Joe Gargery"
"56" 11 12 "Uncle Pumblechook"
"57" 12 13 "Estella"
"58" 12 13 "Joe Gargery"
"59" 12 13 "Miss Havisham"
"60" 10 13 "Mr Wopsle"
"61" 12 13 "Mrs Joe Gargery"
"62" 11 13 "Pip"
"63" 12 13 "Uncle Pumblechook"
"64" 13 14 "Estella"
"65" 13 14 "Joe Gargery"
"66" 13 14 "Miss Havisham"
"67" 13 14 "Mrs Joe Gargery"
"68" 12 15 "Biddy"
"69" 14 15 "Estella"
"70" 12 15 "Herbert Pocket"
"71" 14 15 "Joe Gargery"
"72" 14 15 "Miss Havisham"
"73" 13 15 "Mr Wopsle"
"74" 14 15 "Mrs Joe Gargery"
"75" 13 15 "Pip"
"76" 11 15 "Sarah Pocket"
"77" 13 15 "Uncle Pumblechook"
"78" 10 16 "Abel Magwitch"
"79" 15 16 "Biddy"
"80" 5 16 "Compeyson"
"81" 15 16 "Joe Gargery"
"82" 15 16 "Mr Wopsle"
"83" 15 16 "Mrs Joe Gargery"
"84" 15 16 "Orlick Dolge"
