"root_node_id" "tag"
"1" "Abel Magwitch"
"1" "Joe Gargery"
"1" "Mrs Joe Gargery"
"1" "Pip"
"2" "Avenger"
"4" "Dunstable"
"4" "Mr Hubble"
"4" "Mr Wopsle"
"4" "Mrs Hubble"
"4" "Uncle Pumblechook"
"5" "Compeyson"
"7" "Biddy"
"7" "Miss Havisham"
"8" "Estella"
"11" "Bentley Drummle"
"11" "Camilla"
"11" "Georiana Pocket"
"11" "Herbert Pocket"
"11" "Mr Camilla"
"11" "Mr Pocket"
"11" "Sarah Pocket"
"15" "Orlick Dolge"
"18" "Mr Jaggers"
"19" "Mr Trabb"
"19" "Trabb's Boy"
"20" "John Wemmick"
"20" "Mike"
"22" "Flopson"
"22" "Millers"
"22" "Mr Havisham"
"22" "Mrs Pocket"
"23" "Mrs Coiler"
"23" "Sophia"
"23" "Startop"
"25" "The Aged"
"26" "Molly"
"30" "Clara Barley"
"32" "Black Bill"
"37" "Miss Skiffins"
"37" "Mr Clarriker"
"37" "Skiffins"
"38" "Mrs Brandley"
"45" "Mary Anne"
"46" "Old Barley"
"47" "Jack"
"58" "William Potkins"
