"t" "specificity" "diversity" "ShannonWiener" "Pielou" "Richness" "" "" ""
1 0 0 1.38629436111989 1 4 0 NA 0
2 0 1 1.58109375017182 0.982388781795621 5 1 0.5 0
3 0 2 1.54659868604851 0.960955793385934 5 2 0.333333333333333 0
4 0 3 2.13219224008789 0.925999324227102 10 2 0.333333333333333 0
5 0 4 2.22762927419067 0.928993563422392 11 3 0.3 0.111111089587212
6 0 5 2.2125010961101 0.92268462313956 11 4 0.233333333333333 0.122448980808258
7 0 6 2.31019289352942 0.900677780170974 13 4 0.214285714285714 0.271604955196381
8 0 7 2.35424433015545 0.892077752058032 14 5 0.178571428571429 0.219999998807907
9 1 7 2.35319776811968 0.8916811854416 14 6 0.152777777777778 0.334710747003555
10 0 8 2.35909686560729 0.893916490230707 14 6 0.155555555555556 0.316326558589935
11 0 9 2.63407973569377 0.865186507760945 21 6 0.145454545454545 0.353515625
12 0 10 2.6416648984753 0.867677920761403 21 6 0.136363636363636 0.378086417913437
13 0 11 2.61535458286994 0.859036067681474 21 6 0.134615384615385 0.386621296405792
14 0 12 2.59842457013537 0.853475257051601 21 6 0.120879120879121 0.351239681243896
15 0 13 2.63907125983597 0.85378033451747 22 6 0.123809523809524 0.405325472354889
16 0 14 2.66291497369729 0.861494144412063 22 6 0.120833333333333 0.381093889474869
17 0 15 2.66694608886253 0.86279827246144 22 6 0.113970588235294 0.362122774124146
18 0 16 2.72962844447348 0.870557639878983 23 6 0.11437908496732 0.350612252950668
19 0 17 2.77739265853476 0.862845542868521 25 6 0.108187134502924 0.355003625154495
20 0 18 2.83323600336688 0.85964084951866 27 6 0.102631578947368 0.354043364524841
21 0 19 2.86400740743787 0.868977295866594 27 6 0.0976190476190476 0.381023198366165
22 0 20 2.95298080705025 0.859927725762446 31 6 0.0952380952380952 0.409865707159042
23 0 21 3.0559774444384 0.86660947543673 34 6 0.0928853754940712 0.388184696435928
24 0 22 3.06376541575387 0.868817976598508 34 6 0.0905797101449275 0.398200005292892
25 0 23 3.12630070330864 0.879323388101406 35 6 0.0916666666666667 0.401157021522522
26 0 24 3.1572896376385 0.881058448933091 36 6 0.0861538461538462 0.403220653533936
27 0 25 3.15282054400708 0.879811324609719 36 6 0.0883190883190883 0.398152947425842
28 0 26 3.16173438318506 0.882298778794017 36 6 0.0873015873015873 0.382805317640305
29 0 27 3.15757140200638 0.881137076777039 36 6 0.0874384236453202 0.388712584972382
30 0 28 3.17642234971737 0.879671714107541 37 6 0.0862068965517241 0.388177752494812
31 0 29 3.17480546907386 0.879223938588234 37 6 0.0817204301075269 0.387725055217743
32 0 30 3.19086421349679 0.87719275183761 38 6 0.0816532258064516 0.391479939222336
33 0 31 3.19721575022021 0.878938837413187 38 6 0.0795454545454545 0.393636584281921
34 0 32 3.20631572972767 0.881440490737091 38 6 0.0802139037433155 0.405123472213745
35 0 33 3.21370804379988 0.883472693892592 38 6 0.0798319327731093 0.359058141708374
36 0 34 3.21262181644484 0.883174081761542 38 6 0.0785714285714286 0.353484332561493
37 0 35 3.24379689831957 0.873497764430987 41 7 0.0758258258258258 0.385795474052429
38 0 36 3.24791239795442 0.868967225478351 42 7 0.0732574679943101 0.377274006605148
39 0 37 3.24284452966928 0.867611335631811 42 7 0.0721997300944669 0.405712276697159
40 0 38 3.24008367271723 0.866872678330872 42 7 0.0698717948717949 0.408130615949631
41 0 39 3.24628022954127 0.868530544717384 42 7 0.0682926829268293 0.410794019699097
42 0 40 3.24841244211244 0.869101010485879 42 7 0.0667828106852497 0.416332691907883
43 0 41 3.2535975504232 0.870488267477613 42 7 0.0658914728682171 0.425217121839523
44 0 42 3.25735404924993 0.871493305164292 42 7 0.0660676532769556 0.409280002117157
45 0 43 3.28084749205294 0.872287405916969 43 7 0.0656565656565656 0.429585814476013
46 0 44 3.29037446299465 0.869505701697011 44 7 0.063768115942029 0.435376524925232
47 0 45 3.29529383735238 0.865664830073024 45 8 0.0619796484736355 0.43865555524826
48 0 46 3.30222476774086 0.867485566848904 45 8 0.0611702127659574 0.443026661872864
49 0 47 3.29364458586428 0.865231576141916 45 8 0.0599489795918367 0.452140241861343
50 0 48 3.29183097450403 0.864755145314354 45 8 0.0587755102040816 0.460117697715759
51 0 49 3.28874232218938 0.863943764656638 45 8 0.0576470588235294 0.45890599489212
52 0 50 3.30250890278465 0.86756020836087 45 8 0.058446455505279 0.45920917391777
53 0 51 3.3103136370773 0.869610491072728 45 8 0.0587808417997097 0.455742299556732
54 0 52 3.31488238437496 0.870810688702526 45 8 0.0576519916142558 0.45959597826004
55 0 53 3.31768352903576 0.871546541872679 45 8 0.0569023569023569 0.463866770267487
56 0 54 3.31630876926174 0.871185396176753 45 8 0.0551948051948052 0.464792370796204
57 0 55 3.31783133004622 0.87158536880069 45 8 0.0551378446115288 0.469282656908035
58 0 56 3.32778903227551 0.869182743342619 46 8 0.0544464609800363 0.471373438835144
59 0 57 3.32301724948313 0.867936404942593 46 8 0.0531852717708942 0.465840458869934
