"","V1","V2"
"1","2","M’Choakumchild"
"2","3","Sissy Jupe"
"3","3","Thomas Gradgrind"
"4","4","Bounderby"
"5","4","Louisa Gradgrind"
"6","4","Thomas Gradgrind"
"7","4","Tom Gradgrind"
"8","5","Bitzer"
"9","5","Bounderby"
"10","5","M’Choakumchild"
"11","5","Mrs Gradgrind"
"12","5","Mrs Pegler"
"13","5","Sissy Jupe"
"14","5","Thomas Gradgrind"
"15","6","Bounderby"
"16","6","Louisa Gradgrind"
"17","6","Mr Sleary"
"18","6","Signor Jupe"
"19","6","Sissy Jupe"
"20","6","Thomas Gradgrind"
"21","7","Bounderby"
"22","7","Louisa Gradgrind"
"23","7","Mrs Gradgrind"
"24","7","Mrs Pegler"
"25","7","Sissy Jupe"
"26","7","Thomas Gradgrind"
"27","7","Tom Gradgrind"
"28","8","Bounderby"
"29","8","Louisa Gradgrind"
"30","8","M’Choakumchild"
"31","8","Mrs Gradgrind"
"32","8","Sissy Jupe"
"33","8","Thomas Gradgrind"
"34","8","Tom Gradgrind"
"35","9","Bounderby"
"36","9","Louisa Gradgrind"
"37","9","M’Choakumchild"
"38","9","Mr Sleary"
"39","9","Mrs Gradgrind"
"40","9","Sissy Jupe"
"41","9","Thomas Gradgrind"
"42","9","Tom Gradgrind"
"43","11","Bounderby"
"44","11","Mrs Blackpool"
"45","11","Mrs Sparsit"
"46","11","Stephen Blackpool"
"47","12","Bounderby"
"48","12","Mrs Pegler"
"49","12","Rachael"
"50","12","Stephen Blackpool"
"51","13","Mrs Blackpool"
"52","13","Rachael"
"53","13","Stephen Blackpool"
"54","14","Bounderby"
"55","14","Louisa Gradgrind"
"56","14","M’Choakumchild"
"57","14","Mrs Gradgrind"
"58","14","Mrs Sparsit"
"59","14","Sissy Jupe"
"60","14","Thomas Gradgrind"
"61","14","Tom Gradgrind"
"62","15","Bounderby"
"63","15","Louisa Gradgrind"
"64","15","Mrs Gradgrind"
"65","15","Sissy Jupe"
"66","15","Thomas Gradgrind"
"67","16","Bounderby"
"68","16","Jane Gradgrind"
"69","16","Lady Scadgers"
"70","16","Louisa Gradgrind"
"71","16","Mrs Sparsit"
"72","16","Thomas Gradgrind"
"73","16","Tom Gradgrind"
"74","17","Bitzer"
"75","17","Bounderby"
"76","17","Mrs Sparsit"
"77","18","Bounderby"
"78","18","Louisa Gradgrind"
"79","18","Mrs Sparsit"
"80","18","Thomas Gradgrind"
"81","18","Tom Gradgrind"
"82","19","Bounderby"
"83","19","Harthouse"
"84","19","Tom Gradgrind"
"85","20","Bitzer"
"86","20","Bounderby"
"87","20","Rachael"
"88","20","Stephen Blackpool"
"89","21","Bounderby"
"90","21","Harthouse"
"91","21","Louisa Gradgrind"
"92","21","Slackbridge"
"93","21","Stephen Blackpool"
"94","22","Bounderby"
"95","22","Louisa Gradgrind"
"96","22","Mrs Pegler"
"97","22","Mrs Sparsit"
"98","22","Rachael"
"99","22","Stephen Blackpool"
"100","22","Tom Gradgrind"
"101","23","Bounderby"
"102","23","Harthouse"
"103","23","Louisa Gradgrind"
"104","23","Thomas Gradgrind"
"105","23","Tom Gradgrind"
"106","24","Bitzer"
"107","24","Bounderby"
"108","24","Harthouse"
"109","24","Louisa Gradgrind"
"110","24","Mrs Pegler"
"111","24","Mrs Sparsit"
"112","24","Nickits"
"113","24","Thomas Gradgrind"
"114","24","Tom Gradgrind"
"115","25","Bitzer"
"116","25","Bounderby"
"117","25","Harthouse"
"118","25","Jane Gradgrind"
"119","25","Louisa Gradgrind"
"120","25","Mrs Gradgrind"
"121","25","Mrs Sparsit"
"122","25","Sissy Jupe"
"123","25","Thomas Gradgrind"
"124","26","Bounderby"
"125","26","Harthouse"
"126","26","Louisa Gradgrind"
"127","26","Mrs Pegler"
"128","26","Mrs Sparsit"
"129","26","Tom Gradgrind"
"130","27","Bounderby"
"131","27","Harthouse"
"132","27","Louisa Gradgrind"
"133","27","Mrs Sparsit"
"134","27","Thomas Gradgrind"
"135","27","Tom Gradgrind"
"136","28","Louisa Gradgrind"
"137","28","Thomas Gradgrind"
"138","28","Tom Gradgrind"
"139","29","Louisa Gradgrind"
"140","29","Sissy Jupe"
"141","29","Thomas Gradgrind"
"142","30","Bounderby"
"143","30","Harthouse"
"144","30","Louisa Gradgrind"
"145","30","Mrs Sparsit"
"146","30","Sissy Jupe"
"147","30","Thomas Gradgrind"
"148","30","Tom Gradgrind"
"149","31","Bounderby"
"150","31","Harthouse"
"151","31","Lady Scadgers"
"152","31","Louisa Gradgrind"
"153","31","Mrs Sparsit"
"154","31","Sissy Jupe"
"155","31","Stephen Blackpool"
"156","31","Thomas Gradgrind"
"157","32","Bounderby"
"158","32","Louisa Gradgrind"
"159","32","Mrs Pegler"
"160","32","Rachael"
"161","32","Sissy Jupe"
"162","32","Slackbridge"
"163","32","Stephen Blackpool"
"164","32","Thomas Gradgrind"
"165","32","Tom Gradgrind"
"166","33","Bounderby"
"167","33","Louisa Gradgrind"
"168","33","Mrs Pegler"
"169","33","Mrs Sparsit"
"170","33","Rachael"
"171","33","Sissy Jupe"
"172","33","Stephen Blackpool"
"173","33","Thomas Gradgrind"
"174","33","Tom Gradgrind"
"175","34","Bounderby"
"176","34","Louisa Gradgrind"
"177","34","Rachael"
"178","34","Sissy Jupe"
"179","34","Stephen Blackpool"
"180","34","Thomas Gradgrind"
"181","34","Tom Gradgrind"
"182","35","Bitzer"
"183","35","Bounderby"
"184","35","E.W.B. Childers"
"185","35","Emma Gordon"
"186","35","Harthouse"
"187","35","Kidderminster"
"188","35","Louisa Gradgrind"
"189","35","Mr Sleary"
"190","35","Rachael"
"191","35","Sissy Jupe"
"192","35","Stephen Blackpool"
"193","35","Thomas Gradgrind"
"194","35","Tom Gradgrind"
"195","36","Bitzer"
"196","36","Bounderby"
"197","36","E.W.B. Childers"
"198","36","Louisa Gradgrind"
"199","36","Mr Sleary"
"200","36","Sissy Jupe"
"201","36","Thomas Gradgrind"
"202","36","Tom Gradgrind"
"203","37","Bitzer"
"204","37","Bounderby"
"205","37","Lady Scadgers"
"206","37","Louisa Gradgrind"
"207","37","Mrs Blackpool"
"208","37","Mrs Pegler"
"209","37","Mrs Sparsit"
"210","37","Rachael"
"211","37","Sissy Jupe"
"212","37","Stephen Blackpool"
"213","37","Thomas Gradgrind"
"214","37","Tom Gradgrind"
