"node_id" "tags" "dpub"
"1" "1" "M’Choakumchild" "1"
"2" "2" "Bitzer, M’Choakumchild, Sissy Jupe, Thomas Gradgrind" "2"
"3" "3" "Bounderby, Louisa Gradgrind, Mr Sleary, Signor Jupe, Sissy Jupe, Thomas Gradgrind, Tom Gradgrind" "3"
"4" "4" "Adam Smith Gradgrind, Bounderby, Jane Gradgrind, Louisa Gradgrind, Malthus Gradgrind, Mrs Gradgrind, Mrs Pegler, Thomas Gradgrind, Tom Gradgrind" "4"
"5" "5" "Bitzer, Bounderby, M’Choakumchild, Mrs Gradgrind, Mrs Pegler, Sissy Jupe, Thomas Gradgrind" "5"
"6" "6" "Bounderby, E.W.B. Childers, Emma Gordon, Kidderminster, Louisa Gradgrind, Mr Sleary, Signor Jupe, Sissy Jupe, Thomas Gradgrind" "6"
"7" "7" "Bounderby, Lady Scadgers, Louisa Gradgrind, Mrs Gradgrind, Mrs Pegler, Mrs Sparsit, Sissy Jupe, Thomas Gradgrind, Tom Gradgrind" "7"
"8" "8" "Bounderby, Louisa Gradgrind, M’Choakumchild, Mrs Gradgrind, Sissy Jupe, Thomas Gradgrind, Tom Gradgrind" "8"
"9" "9" "Bounderby, Louisa Gradgrind, M’Choakumchild, Mr Sleary, Mrs Gradgrind, Sissy Jupe, Thomas Gradgrind, Tom Gradgrind" "9"
"10" "10" "Mrs Blackpool, Rachael, Stephen Blackpool" "10"
"11" "11" "Bounderby, Mrs Blackpool, Mrs Sparsit, Stephen Blackpool" "11"
"12" "12" "Bounderby, Mrs Pegler, Rachael, Stephen Blackpool" "12"
"13" "13" "Mrs Blackpool, Rachael, Stephen Blackpool" "13"
"14" "14" "Bounderby, Louisa Gradgrind, M’Choakumchild, Mrs Gradgrind, Mrs Sparsit, Sissy Jupe, Thomas Gradgrind, Tom Gradgrind" "14"
"15" "15" "Bounderby, Louisa Gradgrind, Mrs Gradgrind, Sissy Jupe, Thomas Gradgrind" "15"
"16" "16" "Bounderby, Jane Gradgrind, Lady Scadgers, Louisa Gradgrind, Mrs Sparsit, Thomas Gradgrind, Tom Gradgrind" "16"
"17" "17" "Bitzer, Bounderby, Mrs Sparsit" "17"
"18" "18" "Bounderby, Harthouse, Louisa Gradgrind, Mrs Sparsit, Thomas Gradgrind, Tom Gradgrind" "18"
"19" "19" "Bounderby, Harthouse, Tom Gradgrind" "19"
"20" "20" "Bitzer, Bounderby, Rachael, Slackbridge, Stephen Blackpool" "20"
"21" "21" "Bounderby, Harthouse, Louisa Gradgrind, Slackbridge, Stephen Blackpool" "21"
"22" "22" "Bounderby, Louisa Gradgrind, Mrs Pegler, Mrs Sparsit, Rachael, Stephen Blackpool, Tom Gradgrind" "22"
"23" "23" "Bounderby, Harthouse, Louisa Gradgrind, Nickits, Thomas Gradgrind, Tom Gradgrind" "23"
"24" "24" "Bitzer, Bounderby, Harthouse, Louisa Gradgrind, Mrs Pegler, Mrs Sparsit, Nickits, Thomas Gradgrind, Tom Gradgrind" "24"
"25" "25" "Bitzer, Bounderby, Harthouse, Jane Gradgrind, Louisa Gradgrind, Mrs Gradgrind, Mrs Sparsit, Sissy Jupe, Thomas Gradgrind" "25"
"26" "26" "Bounderby, Harthouse, Louisa Gradgrind, Mrs Pegler, Mrs Sparsit, Tom Gradgrind" "26"
"27" "27" "Bounderby, Harthouse, Louisa Gradgrind, Mrs Sparsit, Thomas Gradgrind, Tom Gradgrind" "27"
"28" "28" "Louisa Gradgrind, Thomas Gradgrind, Tom Gradgrind" "28"
"29" "29" "Louisa Gradgrind, Sissy Jupe, Thomas Gradgrind" "29"
"30" "30" "Bounderby, Harthouse, Louisa Gradgrind, Mrs Sparsit, Sissy Jupe, Thomas Gradgrind, Tom Gradgrind" "30"
"31" "31" "Bounderby, Harthouse, Lady Scadgers, Louisa Gradgrind, Mrs Sparsit, Sissy Jupe, Stephen Blackpool, Thomas Gradgrind" "31"
"32" "32" "Bounderby, Louisa Gradgrind, Mrs Pegler, Rachael, Sissy Jupe, Slackbridge, Stephen Blackpool, Thomas Gradgrind, Tom Gradgrind" "32"
"33" "33" "Bounderby, Louisa Gradgrind, Mrs Pegler, Mrs Sparsit, Rachael, Sissy Jupe, Stephen Blackpool, Thomas Gradgrind, Tom Gradgrind" "33"
"34" "34" "Bounderby, Louisa Gradgrind, Rachael, Sissy Jupe, Stephen Blackpool, Thomas Gradgrind, Tom Gradgrind" "34"
"35" "35" "Bitzer, Bounderby, E.W.B. Childers, Emma Gordon, Harthouse, Kidderminster, Louisa Gradgrind, Mr Sleary, Rachael, Sissy Jupe, Stephen Blackpool, Thomas Gradgrind, Tom Gradgrind" "35"
"36" "36" "Bitzer, Bounderby, E.W.B. Childers, Louisa Gradgrind, Mr Sleary, Sissy Jupe, Thomas Gradgrind, Tom Gradgrind" "36"
"37" "37" "Bitzer, Bounderby, Lady Scadgers, Louisa Gradgrind, Mrs Blackpool, Mrs Pegler, Mrs Sparsit, Rachael, Sissy Jupe, Stephen Blackpool, Thomas Gradgrind, Tom Gradgrind" "37"
