"root_node_id" "tag"
"1" "M’Choakumchild"
"2" "Bitzer"
"2" "Sissy Jupe"
"2" "Thomas Gradgrind"
"3" "Bounderby"
"3" "Louisa Gradgrind"
"3" "Mr Sleary"
"3" "Signor Jupe"
"3" "Tom Gradgrind"
"4" "Adam Smith Gradgrind"
"4" "Jane Gradgrind"
"4" "Malthus Gradgrind"
"4" "Mrs Gradgrind"
"4" "Mrs Pegler"
"6" "E.W.B. Childers"
"6" "Emma Gordon"
"6" "Kidderminster"
"7" "Lady Scadgers"
"7" "Mrs Sparsit"
"10" "Mrs Blackpool"
"10" "Rachael"
"10" "Stephen Blackpool"
"18" "Harthouse"
"20" "Slackbridge"
"23" "Nickits"
