"","x"
"1","Affery Flintwinch"
"2","Amy Dorrit"
"3","Anastasia Rugg"
"4","Arthur Clennam"
"5","Augustus Stiltstalking"
"6","Bob"
"7","Captain Maroon"
"8","Captain Martin"
"9","Christopher Casby"
"10","Clarence Barnacle"
"11","Daniel Doyce"
"12","Dawes"
"13","Doctor Haggage"
"14","Edward Dorrit"
"15","Ephraim Flintwinch"
"16","Fanny Dorrit"
"17","Ferdinand Barnacle"
"18","Flora Finching"
"19","Harriet Beadle"
"20","Henry Gowan"
"21","Jeremiah Flintwinch"
"22","John Baptist Cavalletto"
"23","John Chivery"
"24","John Edward Nandy"
"25","Lady Stiltstalking"
"26","Lord Decimus Tite Barnacle"
"27","Lord Lancaster Stiltstalking"
"28","Madame Barronneau"
"29","Maggy"
"30","Minnie Meagles"
"31","Miss Tite Barnacles"
"32","Miss Wade"
"33","Mr Cripples"
"34","Mr Frederick Dorrit"
"35","Mr John Chivery"
"36","Mr Meagles"
"37","Mr Merdle"
"38","Mr Pancks"
"39","Mr Plornish"
"40","Mr Rugg"
"41","Mr Sparkler"
"42","Mr Tite Barnacle"
"43","Mr William Dorrit"
"44","Mr Wobbler"
"45","Mrs Bangham"
"46","Mrs Captain Barbary"
"47","Mrs Chivery"
"48","Mrs Clennam"
"49","Mrs General"
"50","Mrs Gowan"
"51","Mrs Meagles"
"52","Mrs Merdle"
"53","Mrs Plornish"
"54","Mrs Tickit"
"55","Mrs Tite Barnacle"
"56","Physician"
"57","Treasury"
"58","Rigaud"
"59","Slingo"
"60","Tinkler"
"61","Tudor Stiltstalking"
