"Character","Node","Appearances"
"Affery Flintwinch",3,14
"Affery Flintwinch",4,14
"Affery Flintwinch",69,14
"Affery Flintwinch",46,14
"Affery Flintwinch",15,14
"Affery Flintwinch",29,14
"Affery Flintwinch",53,14
"Affery Flintwinch",14,14
"Affery Flintwinch",30,14
"Affery Flintwinch",59,14
"Affery Flintwinch",67,14
"Affery Flintwinch",5,14
"Affery Flintwinch",13,14
"Affery Flintwinch",66,14
"Amy Dorrit",15,43
"Amy Dorrit",43,43
"Amy Dorrit",27,43
"Amy Dorrit",66,43
"Amy Dorrit",40,43
"Amy Dorrit",23,43
"Amy Dorrit",50,43
"Amy Dorrit",55,43
"Amy Dorrit",65,43
"Amy Dorrit",32,43
"Amy Dorrit",7,43
"Amy Dorrit",39,43
"Amy Dorrit",63,43
"Amy Dorrit",69,43
"Amy Dorrit",64,43
"Amy Dorrit",9,43
"Amy Dorrit",44,43
"Amy Dorrit",45,43
"Amy Dorrit",20,43
"Amy Dorrit",29,43
"Amy Dorrit",42,43
"Amy Dorrit",37,43
"Amy Dorrit",8,43
"Amy Dorrit",24,43
"Amy Dorrit",18,43
"Amy Dorrit",5,43
"Amy Dorrit",36,43
"Amy Dorrit",19,43
"Amy Dorrit",51,43
"Amy Dorrit",13,43
"Amy Dorrit",60,43
"Amy Dorrit",16,43
"Amy Dorrit",35,43
"Amy Dorrit",41,43
"Amy Dorrit",12,43
"Amy Dorrit",70,43
"Amy Dorrit",22,43
"Amy Dorrit",67,43
"Amy Dorrit",54,43
"Amy Dorrit",14,43
"Amy Dorrit",21,43
"Amy Dorrit",47,43
"Amy Dorrit",31,43
"Anastasia Rugg",35,2
"Anastasia Rugg",25,2
"Arthur Clennam",3,51
"Arthur Clennam",10,51
"Arthur Clennam",68,51
"Arthur Clennam",53,51
"Arthur Clennam",62,51
"Arthur Clennam",7,51
"Arthur Clennam",29,51
"Arthur Clennam",17,51
"Arthur Clennam",36,51
"Arthur Clennam",49,51
"Arthur Clennam",8,51
"Arthur Clennam",40,51
"Arthur Clennam",22,51
"Arthur Clennam",46,51
"Arthur Clennam",54,51
"Arthur Clennam",30,51
"Arthur Clennam",39,51
"Arthur Clennam",9,51
"Arthur Clennam",14,51
"Arthur Clennam",2,51
"Arthur Clennam",20,51
"Arthur Clennam",5,51
