"","V1","V2"
"1","2","Arthur Clennam"
"2","3","Affery Flintwinch"
"3","3","Jeremiah Flintwinch"
"4","3","Mrs Clennam"
"5","4","Affery Flintwinch"
"6","3","Arthur Clennam"
"7","4","Jeremiah Flintwinch"
"8","4","Mrs Clennam"
"9","5","Amy Dorrit"
"10","5","Arthur Clennam"
"11","6","Doctor Haggage"
"12","6","Mr William Dorrit"
"13","6","Mrs Bangham"
"14","7","Amy Dorrit"
"15","7","Arthur Clennam"
"16","7","Edward Dorrit"
"17","7","Fanny Dorrit"
"18","7","Mr William Dorrit"
"19","5","Mrs Clennam"
"20","8","Amy Dorrit"
"21","8","Arthur Clennam"
"22","8","Fanny Dorrit"
"23","8","Mr William Dorrit"
"24","9","Arthur Clennam"
"25","2","Mr Meagles"
"26","9","Mr Tite Barnacle"
"27","9","Mr William Dorrit"
"28","1","John Baptist Cavalletto"
"29","1","Rigaud"
"30","9","Amy Dorrit"
"31","10","Arthur Clennam"
"32","10","Daniel Doyce"
"33","8","Edward Dorrit"
"34","10","Mr Meagles"
"35","9","Mr Plornish"
"36","10","Mr William Dorrit"
"37","8","Mrs Clennam"
"38","5","Affery Flintwinch"
"39","12","Amy Dorrit"
"40","12","Arthur Clennam"
"41","12","Christopher Casby"
"42","12","Mr Pancks"
"43","12","Mr William Dorrit"
"44","13","Affery Flintwinch"
"45","13","Amy Dorrit"
"46","13","Arthur Clennam"
"47","9","Fanny Dorrit"
"48","5","Jeremiah Flintwinch"
"49","9","Maggy"
"50","7","Mrs Bangham"
"51","12","Mrs Clennam"
"52","14","Affery Flintwinch"
"53","14","Amy Dorrit"
"54","14","Arthur Clennam"
"55","14","Jeremiah Flintwinch"
"56","14","Mrs Clennam"
"57","15","Amy Dorrit"
"58","15","Arthur Clennam"
"59","12","Daniel Doyce"
"60","2","Harriet Beadle"
"61","2","Minnie Meagles"
"62","2","Miss Wade"
"63","12","Mr Meagles"
"64","2","Mrs Meagles"
"65","16","Arthur Clennam"
"66","10","Clarence Barnacle"
"67","16","Daniel Doyce"
"68","10","Ferdinand Barnacle"
"69","16","Minnie Meagles"
"70","16","Mr Meagles"
"71","16","Mrs Meagles"
"72","16","Amy Dorrit"
"73","12","Edward Dorrit"
"74","13","Mr William Dorrit"
"75","18","Amy Dorrit"
"76","8","Mr Frederick Dorrit"
"77","18","Mr John Chivery"
"78","18","Mr William Dorrit"
"79","19","Amy Dorrit"
"80","17","Arthur Clennam"
"81","18","Edward Dorrit"
"82","14","Fanny Dorrit"
"83","14","Maggy"
"84","9","Mr Cripples"
"85","19","Mr John Chivery"
"86","12","Mr Plornish"
"87","19","Mr William Dorrit"
"88","20","Amy Dorrit"
"89","20","Mr Merdle"
"90","20","Mrs Merdle"
"91","3","Physician"
"92","21","Amy Dorrit"
"93","20","Arthur Clennam"
"94","20","Maggy"
"95","20","Mr John Chivery"
"96","20","Mr William Dorrit"
"97","18","Mrs Chivery"
"98","22","Amy Dorrit"
"99","22","Arthur Clennam"
"100","13","Christopher Casby"
"101","17","Daniel Doyce"
"102","13","Flora Finching"
"103","17","Mr Meagles"
"104","13","Mr Pancks"
"105","20","Mr Plornish"
"106","22","Mr William Dorrit"
"107","12","Mrs Plornish"
"108","23","Amy Dorrit"
"109","23","Arthur Clennam"
"110","23","Christopher Casby"
"111","20","Edward Dorrit"
"112","23","Flora Finching"
"113","22","Maggy"
"114","23","Mr Pancks"
"115","23","Mr Plornish"
"116","15","Mrs Clennam"
"117","24","Arthur Clennam"
"118","11","John Baptist Cavalletto"
"119","13","Lord Decimus Tite Barnacle"
"120","22","Mr John Chivery"
"121","24","Mr Pancks"
"122","22","Mrs Chivery"
"123","23","Mrs Plornish"
"124","25","Arthur Clennam"
"125","17","Clarence Barnacle"
"126","23","Daniel Doyce"
"127","17","Henry Gowan"
"128","17","Minnie Meagles"
"129","23","Mr Meagles"
"130","24","Amy Dorrit"
"131","26","Arthur Clennam"
"132","16","Harriet Beadle"
"133","26","Henry Gowan"
"134","26","Minnie Meagles"
"135","16","Miss Wade"
"136","26","Mr Meagles"
"137","25","Mr Pancks"
"138","26","Mrs Gowan"
"139","16","Mrs Tickit"
"140","27","Arthur Clennam"
"141","26","Daniel Doyce"
"142","27","Harriet Beadle"
"143","27","Henry Gowan"
