"source" "target" "tag"
2 3 "Arthur Clennam"
3 4 "Affery Flintwinch"
3 4 "Jeremiah Flintwinch"
3 4 "Mrs Clennam"
4 5 "Affery Flintwinch"
3 5 "Arthur Clennam"
4 5 "Jeremiah Flintwinch"
4 5 "Mrs Clennam"
5 7 "Amy Dorrit"
5 7 "Arthur Clennam"
6 7 "Doctor Haggage"
6 7 "Mr William Dorrit"
6 7 "Mrs Bangham"
7 8 "Amy Dorrit"
7 8 "Arthur Clennam"
7 8 "Edward Dorrit"
7 8 "Fanny Dorrit"
7 8 "Mr William Dorrit"
5 8 "Mrs Clennam"
8 9 "Amy Dorrit"
8 9 "Arthur Clennam"
8 9 "Fanny Dorrit"
8 9 "Mr William Dorrit"
9 10 "Arthur Clennam"
2 10 "Mr Meagles"
9 10 "Mr Tite Barnacle"
9 10 "Mr William Dorrit"
1 11 "John Baptist Cavalletto"
1 11 "Rigaud"
9 12 "Amy Dorrit"
10 12 "Arthur Clennam"
10 12 "Daniel Doyce"
8 12 "Edward Dorrit"
10 12 "Mr Meagles"
9 12 "Mr Plornish"
10 12 "Mr William Dorrit"
8 12 "Mrs Clennam"
5 13 "Affery Flintwinch"
12 13 "Amy Dorrit"
12 13 "Arthur Clennam"
12 13 "Christopher Casby"
12 13 "Mr Pancks"
12 13 "Mr William Dorrit"
13 14 "Affery Flintwinch"
13 14 "Amy Dorrit"
13 14 "Arthur Clennam"
9 14 "Fanny Dorrit"
5 14 "Jeremiah Flintwinch"
9 14 "Maggy"
7 14 "Mrs Bangham"
12 14 "Mrs Clennam"
14 15 "Affery Flintwinch"
14 15 "Amy Dorrit"
14 15 "Arthur Clennam"
14 15 "Jeremiah Flintwinch"
14 15 "Mrs Clennam"
15 16 "Amy Dorrit"
15 16 "Arthur Clennam"
12 16 "Daniel Doyce"
2 16 "Harriet Beadle"
2 16 "Minnie Meagles"
2 16 "Miss Wade"
12 16 "Mr Meagles"
2 16 "Mrs Meagles"
16 17 "Arthur Clennam"
10 17 "Clarence Barnacle"
16 17 "Daniel Doyce"
10 17 "Ferdinand Barnacle"
16 17 "Minnie Meagles"
16 17 "Mr Meagles"
16 17 "Mrs Meagles"
16 18 "Amy Dorrit"
12 18 "Edward Dorrit"
13 18 "Mr William Dorrit"
18 19 "Amy Dorrit"
8 19 "Mr Frederick Dorrit"
18 19 "Mr John Chivery"
18 19 "Mr William Dorrit"
19 20 "Amy Dorrit"
17 20 "Arthur Clennam"
18 20 "Edward Dorrit"
14 20 "Fanny Dorrit"
14 20 "Maggy"
9 20 "Mr Cripples"
19 20 "Mr John Chivery"
12 20 "Mr Plornish"
19 20 "Mr William Dorrit"
20 21 "Amy Dorrit"
20 21 "Mr Merdle"
20 21 "Mrs Merdle"
3 21 "Physician"
21 22 "Amy Dorrit"
20 22 "Arthur Clennam"
20 22 "Maggy"
20 22 "Mr John Chivery"
20 22 "Mr William Dorrit"
18 22 "Mrs Chivery"
22 23 "Amy Dorrit"
