"t" "specificity" "diversity" "ShannonWiener" "Pielou" "Richness" "" "" ""
1 0 0 1.09861228866811 1 3 0 NA 0
2 0 1 2.19722457733622 1 9 0 0 0
3 0 2 2.54003630382098 0.990287116754144 13 1 0.166666666666667 0
4 0 3 2.50702643555742 0.977417518308649 13 2 0.166666666666667 0
5 0 4 2.49179938681207 0.944200551783901 14 2 0.2 0
6 0 5 2.69154192630751 0.949996205528991 17 2 0.133333333333333 0
7 0 6 2.90936448088169 0.955606187963324 21 3 0.142857142857143 0.20833332836628
8 0 7 2.9252576297495 0.946366047665023 22 3 0.142857142857143 0.21875
9 0 8 3.04625942402533 0.934981326819495 26 4 0.125 0.222222223877907
10 0 9 3.20565166747522 0.933507167204441 31 4 0.122222222222222 0.231404960155487
11 0 10 3.22183645188262 0.938220284477054 31 4 0.109090909090909 0.319444447755814
12 0 11 3.33616200099758 0.930973732326612 36 4 0.113636363636364 0.388888895511627
13 0 12 3.38965445731879 0.92523472640341 39 4 0.108974358974359 0.278546720743179
14 0 13 3.36068906887132 0.917328379726245 39 4 0.120879120879121 0.235537171363831
15 1 4 3.32269577485206 0.906957790204597 39 4 0.10952380952381 0.230623826384544
16 0 14 3.36316217531247 0.911702921482506 40 4 0.108333333333333 0.245562136173248
17 0 15 3.41662431821743 0.914105490090538 42 5 0.102941176470588 0.28571429848671
18 0 16 3.44330659769985 0.909919145392973 44 5 0.101307189542484 0.285119652748108
19 0 17 3.46345523493311 0.909840377033816 45 5 0.0964912280701754 0.256657481193542
20 0 18 3.49255658783605 0.907122777912414 47 5 0.102631578947368 0.242603555321693
21 0 19 3.54169745577862 0.910036225849899 49 5 0.0976190476190476 0.272456854581833
22 0 20 3.52809511955258 0.906541116830439 49 5 0.0952380952380952 0.276084721088409
23 0 21 3.53526481111181 0.908383363134235 49 5 0.0968379446640316 0.285089522600174
24 0 22 3.52890872934548 0.906750173192393 49 5 0.0960144927536232 0.265396922826767
25 0 23 3.57185774630387 0.908447647468274 51 5 0.0966666666666667 0.272889405488968
26 0 24 3.63222394433169 0.906394296764964 55 5 0.0938461538461539 0.252889007329941
27 0 25 3.64092334942015 0.908565168186518 55 5 0.0925925925925926 0.273372769355774
28 0 26 3.6386059982479 0.907986890547715 55 6 0.0899470899470899 0.287413507699966
29 0 27 3.62598853908473 0.904838298059906 55 6 0.0886699507389163 0.306423604488373
30 0 28 3.61931900932912 0.903173966833297 55 6 0.0850574712643678 0.317384958267212
31 0 29 3.62063653604219 0.899458435985988 56 6 0.0860215053763441 0.315390646457672
32 0 30 3.61145991410743 0.897178729108231 56 6 0.0836693548387097 0.322615742683411
33 0 31 3.63492964592613 0.903009208932569 56 6 0.0823863636363636 0.318337947130203
34 0 32 3.67305469699252 0.908485807789373 57 6 0.0837789661319073 0.312471717596054
35 0 33 3.67272426207193 0.908404078694513 57 6 0.0840336134453782 0.33965003490448
36 0 34 3.66571264817266 0.906669840507861 57 6 0.0817460317460317 0.327457815408707
37 0 35 3.67384606937522 0.904789467512025 58 6 0.0795795795795796 0.339800596237183
38 0 36 3.67640176212218 0.905418879805296 58 6 0.0761024182076814 0.336142897605896
39 0 37 3.67911924350874 0.906088137169455 58 6 0.0755735492577598 0.347417116165161
40 0 38 3.67984803244274 0.906267622248328 58 6 0.0737179487179487 0.357013255357742
41 0 39 3.68808193629975 0.904487570509487 59 6 0.0719512195121951 0.364622235298157
42 0 40 3.68758350390818 0.904365331928377 59 6 0.070267131242741 0.368041783571243
43 0 41 3.68429084251794 0.903557819689546 59 6 0.0681063122923588 0.369356870651245
44 0 42 3.67587977971632 0.901495039661813 59 6 0.0671247357293869 0.380525797605515
45 0 43 3.67993466549799 0.902489484430858 59 6 0.0671717171717172 0.374385178089142
46 0 44 3.68050644757361 0.902629711733118 59 6 0.066183574879227 0.382812112569809
47 0 45 3.6711331182381 0.900330939627537 59 6 0.0652173913043478 0.384311646223068
48 0 46 3.67997518089026 0.902499420671254 59 6 0.0638297872340425 0.395857453346252
49 0 47 3.68410652592074 0.903512616769957 59 6 0.0633503401360544 0.40086030960083
50 0 48 3.68154345654312 0.90288403409895 59 6 0.0620408163265306 0.40687757730484
51 0 49 3.68210369696244 0.903021430855455 59 6 0.0607843137254902 0.412133157253265
52 0 50 3.68195660859564 0.902985358012759 59 6 0.0592006033182504 0.4089415371418
53 0 51 3.6794142591863 0.902361856832374 59 6 0.0587808417997097 0.421391576528549
54 0 52 3.67229380996563 0.900615594702688 59 6 0.0580013976240391 0.419545650482178
55 0 53 3.67868002644202 0.902181789143389 59 6 0.0582491582491583 0.421881765127182
56 0 54 3.67928107717262 0.902329194468015 59 6 0.0574675324675325 0.425260961055756
57 0 55 3.68679657183434 0.900460749164067 60 7 0.0557644110275689 0.41943883895874
58 0 56 3.6852840638614 0.90009133522004 60 7 0.0547489413188143 0.42500227689743
59 0 57 3.68707844263938 0.90052959310252 60 7 0.0537697253068381 0.418522566556931
60 0 58 3.6839971129027 0.899777011171553 60 7 0.0525423728813559 0.42496246099472
61 0 59 3.68748821948836 0.900629676728298 60 7 0.0513661202185792 0.422292292118073
62 0 60 3.69438949966717 0.898687145782836 61 7 0.0507667900581703 0.422865122556686
63 0 61 3.69858589535905 0.899707949590136 61 7 0.0501792114695341 0.445803821086884
64 0 62 3.69829284460068 0.899636662859369 61 7 0.0498511904761905 0.430100709199905
65 0 63 3.69328272944163 0.898417915866737 61 7 0.0492788461538462 0.429137378931046
66 0 64 3.69678868893145 0.895727723896506 62 7 0.0487179487179487 0.439470291137695
67 2 4 3.69248943875599 0.894686020434889 62 7 0.0474898236092266 0.437925159931183
68 0 65 3.69057488896399 0.894222127182725 62 7 0.0469710272168569 0.451709747314453
69 0 66 3.68958313605185 0.893981826572275 62 7 0.0481670929241262 0.460020363330841
70 0 67 3.68681932461166 0.893312158181974 62 7 0.0478260869565217 0.463418990373611
