"node_id" "tags" "dpub"
"1" "Edmund Bertram, Ellis, Fanny Price, Julia Bertram, Lady Bertram, Maria Bertram, Miss Lee, Mr Price, Mrs Norris, Mrs. Frances Price, Nanny, Sir Thomas Bertram, Tom Bertram" "1"
"2" "Edmund Bertram, Fanny Price, Julia Bertram, Lady Bertram, Maria Bertram, Miss Lee, Mrs Norris, Mrs. Frances Price, Sir Thomas Bertram, Tom Bertram, William Price" "2"
"3" "Dr Grant, Edmund Bertram, Fanny Price, Julia Bertram, Maria Bertram, Miss Lee, Mrs Norris, Sir Thomas Bertram, Tom Bertram, William Price" "3"
"4" "Admiral Crawford, Dr Grant, Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mary Crawford, Miss Lee, Mr Rushworth, Mrs Crawford, Sir Thomas Bertram, Tom Bertram, William Price" "4"
"5" "Charles, Charles Anderson, Dr Grant, Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mary Crawford, Miss Anderson, Miss Augusta Sneyd, Mr Rushworth, Mrs Holford, Mrs Sneyd, Sir Thomas Bertram, Sneyd, Tom Bertram" "5"
"6" "Admiral Crawford, Dr Grant, Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mary Crawford, Mr Rushworth, Sir Thomas Bertram, Smith, Tom Bertram, William Price" "6"
"7" "Admiral Crawford, Dr Grant, Edmund Bertram, Fanny Price, Henry Crawford, John Groom, Julia Bertram, Maria Bertram, Mary Crawford, Mr Green, Mr Rushworth, Mrs Crawford, Mrs Jefferies, Sir Thomas Bertram, William Price" "7"
"8" "Dr Grant, Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mary Crawford, Mr Rushworth, Sir Thomas Bertram" "8"
"9" "Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mary Crawford, Mr Rushworth" "9"
"10" "Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mary Crawford, Mr Rushworth, Smith" "10"
"11" "Dr Grant, Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mary Crawford, Mr Rushworth, Sir Thomas Bertram" "11"
"12" "Dr Grant, Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mary Crawford, Mr Rushworth, Mrs Norris, Sir Thomas Bertram, Tom Bertram" "12"
"13" "Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Lady Ravenshaw, Lord Ravenshaw, Maria Bertram, Mary Crawford, Mrs Norris, Sir Thomas Bertram, Tom Bertram" "13"
"14" "Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Lord Ravenshaw, Maria Bertram, Mary Crawford, Mr Rushworth, Tom Bertram" "14"
"15" "Charles Maddox, Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Lady Ravenshaw, Maria Bertram, Mary Crawford, Mr Rushworth, Sir Thomas Bertram, Tom Bertram, Tom Oliver" "15"
"16" "Charles Maddox, Edmund Bertram, Fanny Price, Julia Bertram, Maria Bertram, Mary Crawford, Miss Lee, Mr Rushworth, Sir Thomas Bertram, Tom Bertram, William Price" "16"
"17" "Charles Maddox, Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mary Crawford, Mr Rushworth, Sir Thomas Bertram, Tom Bertram" "17"
"18" "Dr Grant, Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mary Crawford, Mr Rushworth, Sir Thomas Bertram, Tom Bertram" "18"
"19" "Baddeley, Edmund Bertram, Fanny Price, Henry Crawford, Julia Bertram, Maria Bertram, Mary Crawford, Mr Rushworth, Sir Thomas Bertram, Tom Bertram, William Price" "19"
