"root_node_id" "tag"
"1" "Edmund Bertram"
"1" "Ellis"
"1" "Fanny Price"
"1" "Julia Bertram"
"1" "Lady Bertram"
"1" "Maria Bertram"
"1" "Miss Lee"
"1" "Mr Price"
"1" "Mrs Norris"
"1" "Mrs. Frances Price"
"1" "Nanny"
"1" "Sir Thomas Bertram"
"1" "Tom Bertram"
"2" "William Price"
"3" "Dr Grant"
"4" "Admiral Crawford"
"4" "Henry Crawford"
"4" "Mary Crawford"
"4" "Mr Rushworth"
"4" "Mrs Crawford"
"5" "Charles"
"5" "Charles Anderson"
"5" "Miss Anderson"
"5" "Miss Augusta Sneyd"
"5" "Mrs Holford"
"5" "Mrs Sneyd"
"5" "Sneyd"
"6" "Smith"
"7" "John Groom"
"7" "Mr Green"
"7" "Mrs Jefferies"
"13" "Lady Ravenshaw"
"13" "Lord Ravenshaw"
"15" "Charles Maddox"
"15" "Tom Oliver"
"19" "Baddeley"
"22" "Robert"
"24" "Mrs Brown"
"27" "Mrs Chapman"
"29" "Colonel Harrison"
"29" "Lady Prescott"
"31" "Sir Charles"
"36" "Lady Flora Stornaway"
"36" "Lord Stornaway"
"36" "Margaret Fraser"
"36" "Mr Fraser"
"36" "Mrs Janet Fraser"
"37" "Betsey Price"
"37" "Susan PriceMP"
"38" "Captain Walsh"
"38" "Charlie Price"
"38" "Mary Price"
"38" "Mr Campbell"
"38" "Mrs. Admiral Maxwell"
"38" "Old Scholey"
"38" "Rebecca"
"38" "Sam Price"
"38" "Turner"
"39" "Johnny Price"
"39" "Richard Price"
"42" "Maddison"
"45" "The Aylmers"
"47" "Mr Harding"
"47" "Mrs Rushworth"
