"node_id" "tags" "dpub"
"1" "1" "Mrs Ned Chuzzlewit" "1"
"2" "3" "Charity Pecksniff, John Westlock, Mercy Pecksniff, Seth Pecksniff, Tom Pinch" "3"
"3" "4" "Martin Jr, Martin Sr, Mrs Lupin, Seth Pecksniff" "4"
"4" "5" "Anthony Chuzzlewit, Charity Pecksniff, Chevy Slyme, George Chuzzlewit, Jonas Chuzzlewit, Martin Sr, Mercy Pecksniff, Mr/Mrs Spottletoe, Mrs Lupin, Mrs Ned Chuzzlewit, Seth Pecksniff, Tigg Montague" "5"
"5" "6" "Charity Pecksniff, Mark Tapley, Martin Jr, Martin Sr, Mercy Pecksniff, Mrs Lupin, Seth Pecksniff, Tom Pinch" "6"
"6" "7" "Charity Pecksniff, John Westlock, Martin Jr, Mercy Pecksniff, Seth Pecksniff, Sophia, Tom Pinch" "7"
"7" "8" "Chevy Slyme, Mark Tapley, Martin Jr, Mrs Lupin, Seth Pecksniff, Tigg Montague, Tom Pinch" "8"
"8" "9" "Anthony Chuzzlewit, Charity Pecksniff, Jonas Chuzzlewit, Martin Sr, Mercy Pecksniff, Mr Jinkins, Mrs Todgers, Seth Pecksniff, Young Bailey" "9"
"9" "10" "Augustus Moddle, Charity Pecksniff, Martin Sr, Mercy Pecksniff, Mr Gander, Mr Jinkins, Mrs Todgers, Ruth Pinch, Seth Pecksniff, Tom Pinch, Young Bailey" "10"
"10" "11" "Augustus Moddle, Charity Pecksniff, Martin Sr, Mercy Pecksniff, Mr Jinkins, Mrs Todgers, Seth Pecksniff" "11"
"11" "12" "Anthony Chuzzlewit, Augustus Moddle, Charity Pecksniff, Chuffey, Jonas Chuzzlewit, Martin Sr, Mercy Pecksniff, Mr Jinkins, Mrs Todgers, Seth Pecksniff, Young Bailey" "12"
"12" "13" "John Westlock, Mark Tapley, Martin Jr, Martin Sr, Seth Pecksniff, Tigg Montague, Tom Pinch" "13"
"13" "14" "Chevy Slyme, John Westlock, Mark Tapley, Martin Jr, Martin Sr, Seth Pecksniff, Tigg Montague, Tom Pinch, William Simmons" "14"
"14" "15" "Mark Tapley, Martin Jr, Martin Sr, Mrs Lupin, Seth Pecksniff" "15"
"15" "16" "Anonymous Woman, Mark Tapley, Martin Jr" "16"
"16" "17" "Colonel Diver, Jeff Brick, Major Pawkins, Mark Tapley, Martin Jr, Mrs Pawkins, Professor Mullit" "17"
"17" "18" "Cicero, General Fladdock, Jeff Brick, Mark Tapley, Martin Jr, Mr Bevan, Mr Norris, Mrs Norris, Mrs Pawkins" "18"
"18" "19" "Anthony Chuzzlewit, Chuffey, Jonas Chuzzlewit, Martin Jr, Martin Sr, Mrs Todgers, Seth Pecksniff" "19"
"19" "20" "Anthony Chuzzlewit, Chuffey, Doctor Jobling, Jonas Chuzzlewit, Martin Sr, Mr Mould, Mrs Gamp, Seth Pecksniff, Tacker" "20"
"20" "21" "Anthony Chuzzlewit, Charity Pecksniff, Jonas Chuzzlewit, Martin Jr, Mercy Pecksniff, Seth Pecksniff, Tom Pinch" "21"
"21" "22" "Colonel Diver, General Choke, Jeff Brick, La Fayette Kettle, Major Pawkins, Mark Tapley, Martin Jr, Mr Bevan, Seth Pecksniff, Tom Pinch, Zephaniah Scadder" "22"
"22" "23" "Captain Kedgick, Mark Tapley, Martin Jr, Mrs Gamp, Mrs Hominy, Zephaniah Scadder" "23"
"23" "24" "Mark Tapley, Martin Jr, Mr Bevan, Mrs Hominy, Zephaniah Scadder" "24"
"24" "25" "Anthony Chuzzlewit, Charity Pecksniff, Jonas Chuzzlewit, Martin Jr, Martin Sr, Mercy Pecksniff, Mrs Gamp, Mrs Todgers, Seth Pecksniff, Tom Pinch" "25"
"25" "26" "Anthony Chuzzlewit, Chuffey, Doctor Jobling, John Westlock, Lewsome, Martin Sr, Misses Mould, Mr Mould, Mrs Gamp, Mrs Mould, Mrs Prig, Seth Pecksniff, Tacker" "26"
"26" "27" "Chuffey, Jonas Chuzzlewit, Mercy Pecksniff, Mrs Gamp, Young Bailey" "27"
"27" "28" "Anthony Chuzzlewit, Bullamy, David Crimple, Doctor Jobling, John Westlock, Jonas Chuzzlewit, Mrs Gamp, Nadgett, Tigg Montague, Young Bailey" "28"
"28" "29" "David Crimple, Doctor Jobling, Jonas Chuzzlewit, Martin Sr, Mercy Pecksniff, Mr Pip, Nadgett, Tigg Montague, Young Bailey" "29"
"29" "30" "David Crimple, John Westlock, Lewsome, Martin Sr, Mrs Gamp, Mrs Gill, Mrs Mould, Mrs Prig, Nadgett, Young Bailey" "30"
"30" "31" "Anthony Chuzzlewit, Charity Pecksniff, Jonas Chuzzlewit, Martin Jr, Martin Sr, Mary, Mercy Pecksniff, Mrs Lupin, Mrs Todgers, Seth Pecksniff, Tom Pinch" "31"
"31" "32" "Charity Pecksniff, Jane, John Westlock, Mark Tapley, Martin Jr, Martin Sr, Mary, Mercy Pecksniff, Mrs Lupin, Seth Pecksniff, Tom Pinch" "32"
"32" "33" "Anthony Chuzzlewit, Augustus Moddle, Charity Pecksniff, Jonas Chuzzlewit, Mercy Pecksniff, Mr Jinkins, Mrs Todgers, Seth Pecksniff, Young Bailey" "33"
"33" "34" "Anonymous Woman, Augustus Moddle, General Choke, Major Chollop, Mark Tapley, Martin Jr, Martin Sr, Mr Bevan, Mr Norris, Mrs Lupin, Seth Pecksniff, Tom Pinch, Zephaniah Scadder" "34"
"34" "35" "Captain Kedgick, Chiggle, Colonel Groper, Doctor Dunkle, General Fladdock, Jodd, Julius Bib, Major Chollop, Mark Tapley, Martin Jr, Martin Sr, Miss Codger, Miss Toppit, Mr Bevan, Mr Izzard, Mrs Hominy, Oscar Buffum, Pogram, Professor Piper, Zephaniah Scadder" "35"
"35" "36" "Mark Tapley, Martin Jr, Mrs Lupin, Seth Pecksniff, Tom Pinch" "36"
"36" "37" "Jack Coach, John Westlock, Mrs Lupin, Mrs Todgers, Ruth Pinch, Seth Pecksniff, Tom Pinch" "37"
