"root_node_id" "tag"
"1" "1" "Mrs Ned Chuzzlewit"
"2" "3" "Charity Pecksniff"
"3" "3" "John Westlock"
"4" "3" "Mercy Pecksniff"
"5" "3" "Seth Pecksniff"
"6" "3" "Tom Pinch"
"7" "4" "Martin Jr"
"8" "4" "Martin Sr"
"9" "4" "Mrs Lupin"
"10" "5" "Anthony Chuzzlewit"
"11" "5" "Chevy Slyme"
"12" "5" "George Chuzzlewit"
"13" "5" "Jonas Chuzzlewit"
"14" "5" "Mr/Mrs Spottletoe"
"15" "5" "Tigg Montague"
"16" "6" "Mark Tapley"
"17" "7" "Sophia"
"18" "9" "Mr Jinkins"
"19" "9" "Mrs Todgers"
"20" "9" "Young Bailey"
"21" "10" "Augustus Moddle"
"22" "10" "Mr Gander"
"23" "10" "Ruth Pinch"
"24" "12" "Chuffey"
"25" "14" "William Simmons"
"26" "16" "Anonymous Woman"
"27" "17" "Colonel Diver"
"28" "17" "Jeff Brick"
"29" "17" "Major Pawkins"
"30" "17" "Mrs Pawkins"
"31" "17" "Professor Mullit"
"32" "18" "Cicero"
"33" "18" "General Fladdock"
"34" "18" "Mr Bevan"
"35" "18" "Mr Norris"
"36" "18" "Mrs Norris"
"37" "20" "Doctor Jobling"
"38" "20" "Mr Mould"
"39" "20" "Mrs Gamp"
"40" "20" "Tacker"
"41" "22" "General Choke"
"42" "22" "La Fayette Kettle"
"43" "22" "Zephaniah Scadder"
"44" "23" "Captain Kedgick"
"45" "23" "Mrs Hominy"
"46" "26" "Lewsome"
"47" "26" "Misses Mould"
"48" "26" "Mrs Mould"
"49" "26" "Mrs Prig"
"50" "28" "Bullamy"
"51" "28" "David Crimple"
"52" "28" "Nadgett"
"53" "29" "Mr Pip"
"54" "30" "Mrs Gill"
"55" "31" "Mary"
"56" "32" "Jane"
"57" "34" "Major Chollop"
"58" "35" "Chiggle"
"59" "35" "Colonel Groper"
"60" "35" "Doctor Dunkle"
"61" "35" "Jodd"
"62" "35" "Julius Bib"
"63" "35" "Miss Codger"
"64" "35" "Miss Toppit"
"65" "35" "Mr Izzard"
"66" "35" "Oscar Buffum"
"67" "35" "Pogram"
"68" "35" "Professor Piper"
"69" "37" "Jack Coach"
"70" "40" "Mr Fips"
