"","x"
"1","Alphonse"
"2","Arthur Gride"
"3","Augustus Borum"
"4","Baron Von Koeldwethout"
"5","Baron Von Swillenhausen"
"6","Baroness Von Koeldwethout"
"7","Baroness Von Swillenhausen"
"8","Belling"
"9","Bolder"
"10","Captain Adams"
"11","Cecilia Bobster"
"12","Charles Cheeryble"
"13","Charlotte Borum"
"14","Cobbey"
"15","Colonel Chowser"
"16","David"
"17","Dick"
"18","Doctor Lumbey"
"19","Dorker"
"20","Edwin Cheeryble"
"21","Fanny Squeers"
"22","Fluggers"
"23","Frank Cheeryble"
"24","Graymarsh"
"25","Hannah"
"26","Henrietta Petowker"
"27","Henry Wititterly"
"28","Horatio Peltirogus"
"29","Jane Dibabs"
"30","John Browdie"
"31","Julia Wititterly"
"32","Kate Nickleby"
"33","Lord Frederick Verisopht"
"34","Lukin"
"35","Madame Mantalini"
"36","Madeline Bray"
"37","Matilda Price"
"38","Miss Belvawney"
"39","Miss Bravassa"
"40","Miss Browndock"
"41","Miss Cropley"
"42","Miss Gazingi"
"43","Miss Knag"
"44","Miss La Creevy"
"45","Miss Lane"
"46","Miss Ledrook"
"47","Miss Simmonds"
"48","Miss Snevellicci"
"49","Mobbs"
"50","Morleena Kenwigs"
"51","Mortimer Knag"
"52","Mr Bobster"
"53","Mr Bonney"
"54","Mr Borum"
"55","Mr Brooker"
"56","Mr Bulph"
"57","Mr Crowl"
"58","Mr Crummles"
"59","Mr Curdle"
"60","Mr Cutler"
"61","Mr Folair"
"62","Mr Gallanbile"
"63","Mr Glavormelly"
"64","Mr Godfrey Nickleby"
"65","Mr Gregsbury"
"66","Mr Kenwigs"
"67","Mr Lenville"
"68","Mr Lillyvick"
"69","Mr Mantalini"
"70","Mr Nickleby"
"71","Mr Pluck"
"72","Mr Pugstyles"
"73","Mr Pyke"
"74","Mr Scaley"
"75","Mr Snawley"
"76","Mr Snevellicci"
"77","Mr Snobb"
"78","Mr Trimmers"
"79","Mr Watkins"
"80","Mr Westwood"
"81","Mrs Blockson"
"82","Mrs Borum"
"83","Mrs Clark"
"84","Mrs Crummles"
"85","Mrs Curdle"
"86","Mrs Cutler"
"87","Mrs Gallanbile"
"88","Mrs Grudden"
"89","Mrs Kenwigs"
"90","Mrs Lenville"
"91","Mrs Nickleby"
"92","Mrs Snawley"
"93","Mrs Snevellicci"
"94","Mrs Squeers"
"95","Muntle"
"96","Newman Noggs"
"97","Nicholas Nickleby"
"98","Ninetta Crummles"
"99","Peg Sliderskew"
"100","Phoebe"
"101","Pitcher"
"102","Ralph Nickleby"
"103","Sir Mulberry Hawk"
"104","Sir Thomas Grimble"
"105","Sir Tumley Snuffim"
"106","Smike"
"107","Snittle Timberry"
"108","The African Swallower"
"109","The Hawkinses"
"110","The Little Kenwigses"
"111","The Master Crummleses"
"112","Tim Linkinwater"
"113","Wackford Squeers"
"114","Tom Tix"
"115","Walter Bray"
"116","Wackford SqueersJunior"
"117","William"
"118","Thomas"
"119","The Miss Dowdles"
"120","Sir Matthew Pupker"
