"Character","Node"
"Alphonse","22, 29"
"Arthur Gride","53, 54, 63, 58, 48, 66, 60, 57, 55, 52"
"Augustus Borum","25"
"Baron Von Koeldwethout","65, 7"
"Baron Von Swillenhausen","7"
"Baroness Von Koeldwethout","7"
"Baroness Von Swillenhausen","7"
"Belling","5, 6"
"Bolder","9, 8, 10"
"Captain Adams","51"
"Cecilia Bobster","52, 41"
"Charles Cheeryble","1, 61, 60, 36, 52, 44, 49, 41, 50, 56, 62, 38, 65, 64, 66, 47"
"Charlotte Borum","25"
"Cobbey","58, 9"
"Colonel Chowser","20, 51"
"David","38"
"Dick","62, 66, 38"
"Doctor Lumbey","37"
"Dorker","5"
"Edwin Cheeryble","49, 36, 52, 1, 66, 62, 50, 56, 41, 60, 65, 47, 38, 44, 64"
"Fanny Squeers","10, 13, 14, 21, 40, 65, 43, 31"
"Fluggers","31"
"Frank Cheeryble","58, 50, 64, 60, 62, 47, 56, 65, 44, 49, 66"
"Graymarsh","8, 9"
"Hannah","4"
"Henrietta Petowker","31, 17, 53, 16, 26, 37, 15"
"Henry Wititterly","28, 29, 34, 22"
"Horatio Peltirogus","56"
"Jane Dibabs","56, 19"
"John Browdie","43, 41, 10, 1, 9, 14, 13, 44, 40, 32, 46, 65, 30"
"Julia Wititterly","34, 29, 28, 22"
"Kate Nickleby","30, 46, 4, 19, 20, 66, 27, 41, 6, 12, 64, 62, 23, 56, 44, 29, 32, 2, 39, 18, 55, 34, 35, 33, 9, 22, 21, 38, 50, 51, 65, 59, 28, 42, 11, 36"
"Lord Frederick Verisopht","20, 29, 51, 27, 33, 39, 28"
"Lukin","42"
"Madame Mantalini","22, 18, 33, 11, 21, 45, 19, 12, 35, 65"
"Madeline Bray","48, 50, 65, 54, 66, 56, 61, 49, 62, 60, 52, 64, 55, 53, 47"
"Matilda Price","13, 10"
"Miss Belvawney","25, 30"
"Miss Bravassa","30, 31, 26, 25, 24"
"Miss Browndock","18"
"Miss Cropley","34"
"Miss Gazingi","24"
"Miss Knag","21, 18, 22, 20, 19, 45, 11, 35"
"Miss La Creevy","21, 34, 64, 32, 4, 46, 62, 33, 20, 6, 12, 50, 11, 39, 66, 36, 28"
"Miss Lane","25"
"Miss Ledrook","24, 31, 26"
"Miss Simmonds","18"
"Miss Snevellicci","24, 25, 31, 26, 49, 30"
"Mobbs","9"
"Morleena Kenwigs","15, 16, 37, 17, 53"
"Mortimer Knag","19"
"Mr Bobster","41"
"Mr Bonney","3"
"Mr Borum","25"
"Mr Brooker","52, 45, 61, 66, 62"
"Mr Bulph","24, 31"
"Mr Crowl","15, 33, 16"
"Mr Crummles","24, 26, 25, 30, 49, 23, 36, 31"
"Mr Curdle","25, 26"
"Mr Cutler","15"
"Mr Folair","24, 30, 25, 31, 26"
"Mr Gallanbile","17"
"Mr Glavormelly","31"
"Mr Godfrey Nickleby","2"
"Mr Gregsbury","17"
"Mr Kenwigs","16, 15, 37, 53, 17"
"Mr Lenville","25, 24, 31, 30"
"Mr Lillyvick","49, 26, 37, 16, 17, 15, 53, 31"
"Mr Mantalini","11, 35, 18, 45, 22, 65"
"Mr Nickleby","2"
"Mr Pluck","20, 39, 51, 29, 28, 34"
"Mr Pugstyles","17"
"Mr Pyke","39, 28, 29, 34, 20, 51, 35, 36"
"Mr Scaley","22"
"Mr Snawley","39, 50, 5, 40, 57, 6, 46, 60"
"Mr Snevellicci","31"
"Mr Snobb","20"
"Mr Trimmers","36, 62"
"Mr Watkins","19"
"Mr Westwood","51"
"Mrs Blockson","19"
"Mrs Borum","25"
"Mrs Clark","17"
"Mrs Crummles","26, 31, 24, 49, 25, 30"
"Mrs Curdle","25"
"Mrs Cutler","15"
"Mrs Gallanbile","17"
"Mrs Grudden","31, 49, 24, 26, 36, 25, 30"
"Mrs Kenwigs","16, 15, 17, 37, 53"
"Mrs Lenville","30, 24"
"Mrs Nickleby","56, 30, 50, 36, 41, 66, 28, 38, 21, 29, 2, 33, 32, 19, 34, 39, 20, 22, 12, 64, 4, 27, 46, 6, 18, 44, 42, 62, 11"
"Mrs Snawley","39, 60"
"Mrs Snevellicci","31"
"Mrs Squeers","9, 35, 8, 58, 5, 14, 6, 39, 57, 10, 65, 7, 61"
"Muntle","11"
"Newman Noggs","3, 24, 48, 5, 8, 16, 6, 36, 30, 53, 41, 57, 17, 66, 35, 60, 45, 27, 34, 31, 23, 12, 21, 33, 58, 64, 29, 52, 15, 26, 20, 4, 32"
"Nicholas Nickleby","64, 52, 28, 13, 11, 57, 63, 7, 2, 51, 49, 54, 24, 45, 26, 17, 50, 10, 44, 47, 4, 9, 27, 34, 29, 5, 30, 25, 55, 38, 21, 60, 65, 31, 43, 41, 33, 8, 39, 61, 48, 32, 53, 14, 59, 42, 36, 16, 56, 46, 18, 37, 6, 23, 62, 1, 35, 66"
"Ninetta Crummles","26, 24, 31"
"Peg Sliderskew","55, 57, 58, 60, 52, 54, 66"
"Phoebe","13"
"Pitcher","8"
"Ralph Nickleby","34, 20, 58, 12, 66, 27, 46, 33, 60, 45, 30, 64, 54, 3, 52, 35, 62, 44, 29, 41, 57, 6, 22, 39, 13, 55, 10, 7, 2, 38, 9, 63, 61, 28, 5, 32, 16, 47, 48, 53, 56, 43, 17, 21, 4, 11"
"Sir Matthew Pupker","3"
"Sir Mulberry Hawk","35, 20, 27, 29, 66, 33, 39, 28, 36, 51, 34"
"Sir Thomas Grimble","36"
"Sir Tumley Snuffim","22, 34, 29"
"Smike","34, 57, 49, 36, 40, 59, 14, 17, 30, 24, 47, 44, 43, 33, 41, 39, 23, 50, 38, 16, 42, 61, 46, 25, 9, 60, 8, 21, 31, 26, 13, 65, 56"
"Snittle Timberry","49"
"The African Swallower","49"
"The Hawkinses","36"
"The Little Kenwigses","17, 16, 37, 26, 53, 15"
"The Master Crummleses","49, 25, 24, 23, 26, 31"
"The Miss Dowdles","27"
"Thomas","19"
"Tim Linkinwater","47, 46, 64, 44, 36, 66, 61, 60, 41, 50, 56, 38, 62, 49, 65"
"Tom Tix","22"
"Wackford Squeers","30, 46, 41, 58, 8, 40, 61, 66, 16, 35, 10, 1, 9, 65, 57, 45, 60, 39, 7, 43, 13, 4, 5, 6, 14"
"Wackford SqueersJunior","65, 43, 40, 46, 35, 61, 10, 39"
"Walter Bray","55, 48, 54, 47"
"William","33, 6"
