"source" "target" "tag"
1 2 "Ralph Nickleby"
1 3 "Kate Nickleby"
1 3 "Mrs Nickleby"
2 3 "Newman Noggs"
1 3 "Nicholas Nickleby"
2 3 "Ralph Nickleby"
3 4 "Newman Noggs"
3 4 "Nicholas Nickleby"
3 4 "Ralph Nickleby"
3 4 "Wackford Squeers"
4 5 "Belling"
3 5 "Kate Nickleby"
3 5 "Miss La Creevy"
4 5 "Mr Snawley"
3 5 "Mrs Nickleby"
4 5 "Mrs Squeers"
4 5 "Newman Noggs"
4 5 "Nicholas Nickleby"
4 5 "Ralph Nickleby"
4 5 "Wackford Squeers"
5 6 "Mrs Squeers"
5 6 "Nicholas Nickleby"
5 6 "Ralph Nickleby"
5 6 "Wackford Squeers"
6 7 "Mrs Squeers"
5 7 "Newman Noggs"
6 7 "Nicholas Nickleby"
6 7 "Wackford Squeers"
7 8 "Bolder"
7 8 "Graymarsh"
5 8 "Kate Nickleby"
7 8 "Mrs Squeers"
7 8 "Nicholas Nickleby"
6 8 "Ralph Nickleby"
7 8 "Smike"
7 8 "Wackford Squeers"
8 9 "Bolder"
8 9 "John Browdie"
8 9 "Mrs Squeers"
8 9 "Nicholas Nickleby"
8 9 "Ralph Nickleby"
8 9 "Wackford Squeers"
8 9 "Wackford SqueersJunior"
8 10 "Kate Nickleby"
5 10 "Miss La Creevy"
5 10 "Mrs Nickleby"
9 10 "Nicholas Nickleby"
9 10 "Ralph Nickleby"
10 11 "Kate Nickleby"
10 11 "Miss La Creevy"
10 11 "Mrs Nickleby"
7 11 "Newman Noggs"
10 11 "Ralph Nickleby"
9 12 "Fanny Squeers"
9 12 "John Browdie"
9 12 "Matilda Price"
10 12 "Nicholas Nickleby"
11 12 "Ralph Nickleby"
8 12 "Smike"
9 12 "Wackford Squeers"
12 13 "Fanny Squeers"
12 13 "John Browdie"
9 13 "Mrs Squeers"
12 13 "Nicholas Nickleby"
12 13 "Smike"
12 13 "Wackford Squeers"
9 13 "Wackford SqueersJunior"
11 14 "Newman Noggs"
14 15 "Henrietta Petowker"
14 15 "Morleena Kenwigs"
14 15 "Mr Crowl"
14 15 "Mr Kenwigs"
14 15 "Mr Lillyvick"
14 15 "Mrs Kenwigs"
14 15 "Newman Noggs"
13 15 "Nicholas Nickleby"
12 15 "Ralph Nickleby"
13 15 "Smike"
14 15 "The Misses Kenwigses"
13 15 "Wackford Squeers"
15 16 "Henrietta Petowker"
15 16 "Morleena Kenwigs"
15 16 "Mr Kenwigs"
15 16 "Mr Lillyvick"
15 16 "Mrs Kenwigs"
15 16 "Newman Noggs"
15 16 "Nicholas Nickleby"
15 16 "Ralph Nickleby"
15 16 "Smike"
15 16 "The Misses Kenwigses"
11 17 "Kate Nickleby"
10 17 "Madame Mantalini"
10 17 "Miss Knag"
10 17 "Mr Mantalini"
11 17 "Mrs Nickleby"
16 17 "Nicholas Nickleby"
17 18 "Kate Nickleby"
17 18 "Madame Mantalini"
17 18 "Miss Knag"
17 18 "Mrs Nickleby"
18 19 "Kate Nickleby"
18 19 "Miss Knag"
11 19 "Miss La Creevy"
18 19 "Mrs Nickleby"
16 19 "Newman Noggs"
16 19 "Ralph Nickleby"
19 20 "Kate Nickleby"
18 20 "Madame Mantalini"
19 20 "Miss Knag"
19 20 "Miss La Creevy"
19 20 "Mrs Nickleby"
19 20 "Newman Noggs"
17 20 "Nicholas Nickleby"
19 20 "Ralph Nickleby"
16 20 "Smike"
20 21 "Kate Nickleby"
20 21 "Madame Mantalini"
20 21 "Miss Knag"
17 21 "Mr Mantalini"
20 21 "Mrs Nickleby"
20 21 "Ralph Nickleby"
16 21 "Tom"
21 22 "Kate Nickleby"
20 22 "Newman Noggs"
20 22 "Nicholas Nickleby"
20 22 "Smike"
22 23 "Mr Crummles"
22 23 "Newman Noggs"
22 23 "Nicholas Nickleby"
22 23 "Smike"
22 23 "The Master Crummleses"
23 24 "Miss Bravassa"
23 24 "Miss Snevellicci"
23 24 "Mr Crummles"
23 24 "Mr Folair"
23 24 "Mr Lenville"
23 24 "Mrs Crummles"
23 24 "Mrs Grudden"
23 24 "Nicholas Nickleby"
23 24 "Ninetta Crummles"
23 24 "Smike"
23 24 "The Master Crummleses"
16 25 "Henrietta Petowker"
24 25 "Miss Bravassa"
23 25 "Miss Ledrook"
24 25 "Miss Snevellicci"
24 25 "Mr Crummles"
24 25 "Mr Curdle"
24 25 "Mr Folair"
16 25 "Mr Lillyvick"
24 25 "Mrs Crummles"
24 25 "Mrs Grudden"
23 25 "Newman Noggs"
24 25 "Nicholas Nickleby"
24 25 "Ninetta Crummles"
24 25 "Smike"
24 25 "The Master Crummleses"
16 25 "The Misses Kenwigses"
22 26 "Kate Nickleby"
19 26 "Lord Frederick Verisopht"
21 26 "Mrs Nickleby"
25 26 "Newman Noggs"
25 26 "Nicholas Nickleby"
21 26 "Ralph Nickleby"
19 26 "Sir Mulberry Hawk"
21 27 "Henry Wititterly"
21 27 "Julia Wititterly"
26 27 "Kate Nickleby"
