"node_id" "tags" "dpub"
"1" "1" "Great Ralph Nickleby, Kate Nickleby, Mr Godfrey Nickleby, Mr Nickleby, Mrs Godfrey Nickleby, Mrs Nickleby, Nicholas Nickleby, Ralph Nickleby" "1"
"2" "2" "Mr Bonney, Newman Noggs, Ralph Nickleby, Sir Matthew Pupker" "2"
"3" "3" "Hannah, Kate Nickleby, Miss La Creevy, Mrs Nickleby, Newman Noggs, Nicholas Nickleby, Ralph Nickleby, Wackford Squeers" "3"
"4" "4" "Belling, Dorker, Mr Snawley, Mrs Squeers, Newman Noggs, Nicholas Nickleby, Ralph Nickleby, Richard, Wackford Squeers" "4"
"5" "5" "Belling, Kate Nickleby, Miss La Creevy, Mr Snawley, Mrs Nickleby, Mrs Squeers, Newman Noggs, Nicholas Nickleby, Ralph Nickleby, Wackford Squeers, William" "5"
"6" "6" "Alice, Baron Von Koeldwethout, Baron Von Swillenhausen, Baroness Von Koeldwethout, Baroness Von Swillenhausen, Mrs Squeers, Nicholas Nickleby, Ralph Nickleby, Wackford Squeers" "6"
"7" "7" "Bolder, Brooks, Graymarsh, Jennings, Mrs Squeers, Newman Noggs, Nicholas Nickleby, Smike, Wackford Squeers" "7"
"8" "8" "Bolder, Cobbey, Graymarsh, John Browdie, Kate Nickleby, Mobbs, Mrs Squeers, Nicholas Nickleby, Ralph Nickleby, Smike, Wackford Squeers, Wackford SqueersJunior" "8"
"9" "9" "Bolder, Fanny Squeers, John Browdie, Matilda Price, Mrs Squeers, Nicholas Nickleby, Ralph Nickleby, Wackford Squeers, Wackford SqueersJunior" "9"
"10" "10" "Kate Nickleby, Madame Mantalini, Miss Knag, Miss La Creevy, Mr Mantalini, Mrs Nickleby, Nicholas Nickleby, Ralph Nickleby" "10"
"11" "11" "Kate Nickleby, Miss La Creevy, Mrs Nickleby, Newman Noggs, Ralph Nickleby" "11"
"12" "12" "Fanny Squeers, John Browdie, Matilda Price, Nicholas Nickleby, Phoebe, Ralph Nickleby, Smike, Wackford Squeers" "12"
"13" "13" "Fanny Squeers, John Browdie, Mrs Squeers, Nicholas Nickleby, Smike, Wackford Squeers, Wackford SqueersJunior" "13"
"14" "14" "Henrietta Petowker, Morleena Kenwigs, Mr Crowl, Mr Cutler, Mr Kenwigs, Mr Lillyvick, Mrs Cutler, Mrs Kenwigs, Newman Noggs, The Misses Kenwigses" "14"
"15" "15" "Henrietta Petowker, Morleena Kenwigs, Mr Crowl, Mr Kenwigs, Mr Lillyvick, Mrs Kenwigs, Newman Noggs, Nicholas Nickleby, Ralph Nickleby, Smike, The Misses Kenwigses, Wackford Squeers, young Lillyvick" "15"
"16" "16" "Henrietta Petowker, Morleena Kenwigs, Mr Gallanbile, Mr Gregsbury, Mr Kenwigs, Mr Lillyvick, Mr Pugstyles, Mrs Gallanbile, Mrs Gregsbury, Mrs Kenwigs, Newman Noggs, Nicholas Nickleby, Ralph Nickleby, Smike, The Misses Kenwigses, Tom" "16"
"17" "17" "Kate Nickleby, Madame Mantalini, Miss Browndock, Miss Knag, Miss Simmonds, Mr Mantalini, Mrs Nickleby, Nicholas Nickleby" "17"
"18" "18" "Charley, Jane, Kate Nickleby, Madame Mantalini, Miss Knag, Mortimer Knag, Mr Watkins, Mrs Blockson, Mrs Nickleby, Thomas" "18"
"19" "19" "Colonel Chowser, Kate Nickleby, Lord Frederick Verisopht, Miss Knag, Miss La Creevy, Mr Pluck, Mr Pyke, Mr Snobb, Mrs Nickleby, Newman Noggs, Ralph Nickleby, Sir Mulberry Hawk" "19"
"20" "20" "Kate Nickleby, Madame Mantalini, Miss Knag, Miss La Creevy, Mrs Nickleby, Newman Noggs, Nicholas Nickleby, Ralph Nickleby, Smike" "20"
"21" "21" "Alphonse, Henry Wititterly, Julia Wititterly, Kate Nickleby, Madame Mantalini, Miss Knag, Mr Mantalini, Mr Scaley, Mrs Nickleby, Ralph Nickleby, Sir Tumley Snuffim, Tom, Tom Tix" "21"
"22" "22" "Kate Nickleby, Mr Crummles, Newman Noggs, Nicholas Nickleby, Smike, The Master Crummleses" "22"
"23" "23" "Miss Bravassa, Miss Gazingi, Miss Ledrook, Miss Snevellicci, Mr Bulph, Mr Crummles, Mr Folair, Mr Lenville, Mrs Crummles, Mrs Grudden, Mrs Lenville, Newman Noggs, Nicholas Nickleby, Ninetta Crummles, Smike, The Master Crummleses" "23"
"24" "24" "Augustus Borum, Charlotte Borum, Miss Belvawney, Miss Bravassa, Miss Lane, Miss Snevellicci, Mr Borum, Mr Crummles, Mr Curdle, Mr Folair, Mr Lenville, Mrs Borum, Mrs Crummles, Mrs Curdle, Mrs Grudden, Nicholas Nickleby, Ninetta Crummles, Smike, The Master Crummleses" "24"
"25" "25" "Henrietta Petowker, Miss Bravassa, Miss Ledrook, Miss Snevellicci, Mr Crummles, Mr Curdle, Mr Folair, Mr Lillyvick, Mrs Crummles, Mrs Grudden, Newman Noggs, Nicholas Nickleby, Ninetta Crummles, Smike, The Master Crummleses, The Misses Kenwigses" "25"
"26" "26" "Kate Nickleby, Lord Frederick Verisopht, Mrs Nickleby, Newman Noggs, Nicholas Nickleby, Ralph Nickleby, Sir Mulberry Hawk, The Miss Dowdles" "26"
"27" "27" "Henry Wititterly, Julia Wititterly, Kate Nickleby, Lord Frederick Verisopht, Miss La Creevy, Mr Nickleby, Mr Pluck, Mr Pyke, Mrs Nickleby, Nicholas Nickleby, Ralph Nickleby, Sir Mulberry Hawk" "27"
"28" "28" "Alphonse, Henry Wititterly, Julia Wititterly, Kate Nickleby, Lord Frederick Verisopht, Mr Pluck, Mr Pyke, Mrs Nickleby, Newman Noggs, Nicholas Nickleby, Ralph Nickleby, Sir Mulberry Hawk, Sir Tumley Snuffim" "28"
"29" "29" "John Browdie, Kate Nickleby, Miss Belvawney, Miss Bravassa, Miss Snevellicci, Mr Crummles, Mr Folair, Mr Lenville, Mrs Crummles, Mrs Grudden, Mrs Lenville, Mrs Nickleby, Newman Noggs, Nicholas Nickleby, Ninetta Crummles, Ralph Nickleby, Smike, Wackford Squeers" "29"
"30" "30" "Fanny Squeers, Fluggers, Henrietta Petowker, Miss Bravassa, Miss Ledrook, Miss Snevellicci, Mr Bulph, Mr Crummles, Mr Folair, Mr Glavormelly, Mr Lenville, Mr Lillyvick, Mr Snevellicci, Mrs Crummles, Mrs Grudden, Mrs Snevellicci, Newman Noggs, Nicholas Nickleby, Ninetta Crummles, Smike, The Master Crummleses" "30"
"31" "31" "John La Creevy, Kate Nickleby, Miss La Creevy, Mrs Nickleby, Newman Noggs, Nicholas Nickleby, Ralph Nickleby" "31"
"32" "32" "Kate Nickleby, Lord Frederick Verisopht, Miss La Creevy, Mr Crowl, Mrs Nickleby, Newman Noggs, Nicholas Nickleby, Ralph Nickleby, Sir Mulberry Hawk, Smike, William2" "32"
"33" "33" "Henry Wititterly, Kate Nickleby, Miss Cropley, Miss La Creevy, Mr Pluck, Mr Pyke, Mrs Nickleby, Newman Noggs, Nicholas Nickleby, Ralph Nickleby, Sir Mulberry Hawk, Sir Tumley Snuffim, Smike" "33"
"34" "34" "Kate Nickleby, Madame Mantalini, Miss Knag, Mr Mantalini, Mr Pyke, Mrs Squeers, Newman Noggs, Nicholas Nickleby, Ralph Nickleby, Sir Mulberry Hawk, Wackford Squeers, Wackford SqueersJunior" "34"
"35" "35" "Charles Cheeryble, Edwin Cheeryble, Kate Nickleby, Miss La Creevy, Mr Crummles, Mr Pyke, Mr Trimmers, Mrs Grudden, Mrs Nickleby, Newman Noggs, Nicholas Nickleby, Sir Mulberry Hawk, Sir Thomas Grimble, Smike, The Hawkinses, Tim Linkinwater" "35"
"36" "36" "Doctor Lumbey, Henrietta Petowker, Morleena Kenwigs, Mr Kenwigs, Mrs Kenwigs, Nicholas Nickleby, The Misses Kenwigses" "36"
