"root_node_id" "tag"
"1" "Great Ralph Nickleby"
"1" "Kate Nickleby"
"1" "Mr Godfrey Nickleby"
"1" "Mr Nickleby"
"1" "Mrs Godfrey Nickleby"
"1" "Mrs Nickleby"
"1" "Nicholas Nickleby"
"1" "Ralph Nickleby"
"2" "Mr Bonney"
"2" "Newman Noggs"
"2" "Sir Matthew Pupker"
"3" "Hannah"
"3" "Miss La Creevy"
"3" "Wackford Squeers"
"4" "Belling"
"4" "Dorker"
"4" "Mr Snawley"
"4" "Mrs Squeers"
"4" "Richard"
"5" "William"
"6" "Alice"
"6" "Baron Von Koeldwethout"
"6" "Baron Von Swillenhausen"
"6" "Baroness Von Koeldwethout"
"6" "Baroness Von Swillenhausen"
"7" "Bolder"
"7" "Brooks"
"7" "Graymarsh"
"7" "Jennings"
"7" "Smike"
"8" "Cobbey"
"8" "John Browdie"
"8" "Mobbs"
"8" "Wackford SqueersJunior"
"9" "Fanny Squeers"
"9" "Matilda Price"
"10" "Madame Mantalini"
"10" "Miss Knag"
"10" "Mr Mantalini"
"12" "Phoebe"
"14" "Henrietta Petowker"
"14" "Morleena Kenwigs"
"14" "Mr Crowl"
"14" "Mr Cutler"
"14" "Mr Kenwigs"
"14" "Mr Lillyvick"
"14" "Mrs Cutler"
"14" "Mrs Kenwigs"
"14" "The Misses Kenwigses"
"15" "young Lillyvick"
"16" "Mr Gallanbile"
"16" "Mr Gregsbury"
"16" "Mr Pugstyles"
"16" "Mrs Gallanbile"
"16" "Mrs Gregsbury"
"16" "Tom"
"17" "Miss Browndock"
"17" "Miss Simmonds"
"18" "Charley"
"18" "Jane"
"18" "Mortimer Knag"
"18" "Mr Watkins"
"18" "Mrs Blockson"
"18" "Thomas"
"19" "Colonel Chowser"
"19" "Lord Frederick Verisopht"
"19" "Mr Pluck"
"19" "Mr Pyke"
"19" "Mr Snobb"
"19" "Sir Mulberry Hawk"
"21" "Alphonse"
"21" "Henry Wititterly"
"21" "Julia Wititterly"
"21" "Mr Scaley"
"21" "Sir Tumley Snuffim"
"21" "Tom Tix"
"22" "Mr Crummles"
"22" "The Master Crummleses"
"23" "Miss Bravassa"
"23" "Miss Gazingi"
"23" "Miss Ledrook"
"23" "Miss Snevellicci"
"23" "Mr Bulph"
"23" "Mr Folair"
"23" "Mr Lenville"
"23" "Mrs Crummles"
"23" "Mrs Grudden"
"23" "Mrs Lenville"
"23" "Ninetta Crummles"
"24" "Augustus Borum"
"24" "Charlotte Borum"
"24" "Miss Belvawney"
"24" "Miss Lane"
"24" "Mr Borum"
"24" "Mr Curdle"
"24" "Mrs Borum"
"24" "Mrs Curdle"
"26" "The Miss Dowdles"
"30" "Fluggers"
"30" "Mr Glavormelly"
"30" "Mr Snevellicci"
"30" "Mrs Snevellicci"
"31" "John La Creevy"
"32" "William2"
"33" "Miss Cropley"
"35" "Charles Cheeryble"
"35" "Edwin Cheeryble"
"35" "Mr Trimmers"
"35" "Sir Thomas Grimble"
"35" "The Hawkinses"
"35" "Tim Linkinwater"
"36" "Doctor Lumbey"
"37" "David"
"38" "Mrs Snawley"
"40" "Cecilia Bobster"
"40" "Mr Bobster"
"43" "Frank Cheeryble"
"44" "Mr Brooker"
"46" "Madeline Bray"
"46" "Walter Bray"
"47" "Arthur Gride"
"48" "Snittle Timberry"
"48" "The African Swallower"
"50" "Captain Adams"
"50" "Jenkins"
"50" "Mr Westwood"
"51" "Peg Sliderskew"
"55" "Horatio Peltirogus"
"55" "Jane Dibabs"
"57" "Palmer"
"57" "Sprouter"
