"","x"
"1","AnneMitchell"
"2","AnneThorpe"
"3","CaptainFrederickTilney"
"4","CaptainHunt"
"5","CatherineMorland"
"6","CharlesHodges"
"7","Dorothy"
"8","EdwardThorpe"
"9","EleanorTilney"
"10","Emily"
"11","Freeman"
"12","GeneralCourteney"
"13","GeneralTilney"
"14","GeorgeMorland"
"15","GeorgeParry"
"16","HarrietMorland"
"17","IsabellaThorpe"
"18","Jackson"
"19","JamesMorland"
"20","JohnThorpe"
"21","LadyAliceLongtown"
"22","LittleRichardMorland"
"23","MariaThorpe"
"24","MarquisofLongtown"
"25","MissAndrews"
"26","MrAllen"
"27","MrDrummond"
"28","MrHenryTilney"
"29","MrKing"
"30","MrRichardMorland"
"31","MrsAllen"
"32","MrsHughes"
"33","MrsThorpe"
"34","Sophia"
"35","WilliamThorpe"
"36","MrsTilney"
"37","William"
"38","SarahMoreland"
"39","TheViscount"
