"","V1","V2"
"1","1","CatherineMorland"
"2","1","JamesMorland"
"3","1","MrAllen"
"4","1","SarahMoreland"
"5","2","CatherineMorland"
"6","2","MrAllen"
"7","2","MrsAllen"
"8","3","CatherineMorland"
"9","2","JamesMorland"
"10","3","MrAllen"
"11","3","MrHenryTilney"
"12","3","MrsAllen"
"13","4","AnneThorpe"
"14","4","IsabellaThorpe"
"15","4","JohnThorpe"
"16","4","MariaThorpe"
"17","4","MrAllen"
"18","4","MrHenryTilney"
"19","4","MrsAllen"
"20","4","MrsThorpe"
"21","5","IsabellaThorpe"
"22","4","JamesMorland"
"23","5","MrHenryTilney"
"24","5","AnneThorpe"
"25","4","CatherineMorland"
"26","6","IsabellaThorpe"
"27","6","JamesMorland"
"28","5","JohnThorpe"
"29","5","MariaThorpe"
"30","5","MrAllen"
"31","5","MrsAllen"
"32","5","MrsThorpe"
"33","7","AnneThorpe"
"34","7","CatherineMorland"
"35","7","IsabellaThorpe"
"36","7","JamesMorland"
"37","7","JohnThorpe"
"38","7","MariaThorpe"
"39","7","MrAllen"
"40","6","MrHenryTilney"
"41","7","MrsAllen"
"42","7","MrsThorpe"
"43","8","CatherineMorland"
"44","8","EleanorTilney"
"45","8","IsabellaThorpe"
"46","8","JamesMorland"
"47","8","JohnThorpe"
"48","8","MrAllen"
"49","8","MrHenryTilney"
"50","8","MrsAllen"
"51","8","MrsHughes"
"52","8","MrsThorpe"
"53","8","AnneThorpe"
"54","9","EleanorTilney"
"55","9","IsabellaThorpe"
"56","9","JamesMorland"
"57","9","JohnThorpe"
"58","8","MariaThorpe"
"59","9","MrAllen"
"60","9","MrHenryTilney"
"61","9","MrsAllen"
"62","9","MrsHughes"
"63","9","MrsThorpe"
"64","9","CatherineMorland"
"65","10","EleanorTilney"
"66","10","IsabellaThorpe"
"67","10","JamesMorland"
"68","10","JohnThorpe"
"69","10","MrAllen"
"70","10","MrHenryTilney"
"71","10","MrsAllen"
"72","11","EleanorTilney"
"73","10","GeneralTilney"
"74","11","IsabellaThorpe"
"75","11","JohnThorpe"
"76","11","MrAllen"
"77","11","MrHenryTilney"
"78","11","MrsAllen"
"79","12","EleanorTilney"
"80","12","GeneralTilney"
"81","12","IsabellaThorpe"
"82","11","JamesMorland"
"83","12","JohnThorpe"
"84","12","MrAllen"
"85","12","MrHenryTilney"
"86","12","MrsAllen"
"87","10","MrsThorpe"
"88","10","AnneThorpe"
"89","11","CatherineMorland"
"90","13","EleanorTilney"
