"source" "target" "tag"
"1" 1 2 "CatherineMorland"
"2" 1 2 "JamesMorland"
"3" 1 2 "MrAllen"
"4" 1 2 "SarahMoreland"
"5" 2 3 "CatherineMorland"
"6" 2 3 "MrAllen"
"7" 2 3 "MrsAllen"
"8" 3 4 "CatherineMorland"
"9" 2 4 "JamesMorland"
"10" 3 4 "MrAllen"
"11" 3 4 "MrHenryTilney"
"12" 3 4 "MrsAllen"
"13" 4 5 "AnneThorpe"
"14" 4 5 "IsabellaThorpe"
"15" 4 5 "JohnThorpe"
"16" 4 5 "MariaThorpe"
"17" 4 5 "MrAllen"
"18" 4 5 "MrHenryTilney"
"19" 4 5 "MrsAllen"
"20" 4 5 "MrsThorpe"
"21" 5 6 "IsabellaThorpe"
"22" 4 6 "JamesMorland"
"23" 5 6 "MrHenryTilney"
"24" 5 7 "AnneThorpe"
"25" 4 7 "CatherineMorland"
"26" 6 7 "IsabellaThorpe"
"27" 6 7 "JamesMorland"
"28" 5 7 "JohnThorpe"
"29" 5 7 "MariaThorpe"
"30" 5 7 "MrAllen"
"31" 5 7 "MrsAllen"
"32" 5 7 "MrsThorpe"
"33" 7 8 "AnneThorpe"
"34" 7 8 "CatherineMorland"
"35" 7 8 "IsabellaThorpe"
"36" 7 8 "JamesMorland"
"37" 7 8 "JohnThorpe"
"38" 7 8 "MariaThorpe"
"39" 7 8 "MrAllen"
"40" 6 8 "MrHenryTilney"
"41" 7 8 "MrsAllen"
"42" 7 8 "MrsThorpe"
"43" 8 9 "CatherineMorland"
"44" 8 9 "EleanorTilney"
"45" 8 9 "IsabellaThorpe"
"46" 8 9 "JamesMorland"
"47" 8 9 "JohnThorpe"
"48" 8 9 "MrAllen"
"49" 8 9 "MrHenryTilney"
"50" 8 9 "MrsAllen"
"51" 8 9 "MrsHughes"
"52" 8 9 "MrsThorpe"
"53" 8 10 "AnneThorpe"
"54" 9 10 "EleanorTilney"
"55" 9 10 "IsabellaThorpe"
"56" 9 10 "JamesMorland"
"57" 9 10 "JohnThorpe"
"58" 8 10 "MariaThorpe"
"59" 9 10 "MrAllen"
"60" 9 10 "MrHenryTilney"
"61" 9 10 "MrsAllen"
"62" 9 10 "MrsHughes"
"63" 9 10 "MrsThorpe"
"64" 9 11 "CatherineMorland"
"65" 10 11 "EleanorTilney"
"66" 10 11 "IsabellaThorpe"
"67" 10 11 "JamesMorland"
"68" 10 11 "JohnThorpe"
"69" 10 11 "MrAllen"
"70" 10 11 "MrHenryTilney"
"71" 10 11 "MrsAllen"
"72" 11 12 "EleanorTilney"
"73" 10 12 "GeneralTilney"
"74" 11 12 "IsabellaThorpe"
"75" 11 12 "JohnThorpe"
"76" 11 12 "MrAllen"
"77" 11 12 "MrHenryTilney"
"78" 11 12 "MrsAllen"
"79" 12 13 "EleanorTilney"
"80" 12 13 "GeneralTilney"
"81" 12 13 "IsabellaThorpe"
"82" 11 13 "JamesMorland"
"83" 12 13 "JohnThorpe"
"84" 12 13 "MrAllen"
"85" 12 13 "MrHenryTilney"
"86" 12 13 "MrsAllen"
"87" 10 13 "MrsThorpe"
"88" 10 14 "AnneThorpe"
"89" 11 14 "CatherineMorland"
"90" 13 14 "EleanorTilney"
"91" 1 14 "GeorgeMorland"
"92" 13 14 "IsabellaThorpe"
"93" 13 14 "JamesMorland"
"94" 13 14 "JohnThorpe"
"95" 10 14 "MariaThorpe"
"96" 13 14 "MrAllen"
"97" 13 14 "MrHenryTilney"
"98" 13 14 "MrsAllen"
"99" 14 15 "AnneThorpe"
"100" 14 15 "CatherineMorland"
"101" 14 15 "EleanorTilney"
"102" 14 15 "IsabellaThorpe"
"103" 14 15 "JamesMorland"
"104" 14 15 "JohnThorpe"
"105" 14 15 "MariaThorpe"
"106" 6 15 "MissAndrews"
"107" 14 15 "MrAllen"
"108" 14 15 "MrsAllen"
"109" 13 15 "MrsThorpe"
"110" 14 16 "CaptainFrederickTilney"
"111" 15 16 "EleanorTilney"
"112" 13 16 "GeneralTilney"
"113" 15 16 "IsabellaThorpe"
"114" 15 16 "JamesMorland"
"115" 15 16 "JohnThorpe"
"116" 14 16 "MrHenryTilney"
"117" 10 16 "MrsHughes"
"118" 15 16 "MrsThorpe"
"119" 15 17 "CatherineMorland"
"120" 16 17 "EleanorTilney"
"121" 16 17 "GeneralTilney"
"122" 16 17 "IsabellaThorpe"
"123" 16 17 "JamesMorland"
"124" 15 17 "MrAllen"
"125" 16 17 "MrHenryTilney"
"126" 1 17 "MrRichardMorland"
"127" 15 17 "MrsAllen"
"128" 16 18 "CaptainFrederickTilney"
"129" 17 18 "IsabellaThorpe"
"130" 17 18 "JamesMorland"
"131" 16 18 "JohnThorpe"
"132" 17 18 "MrHenryTilney"
"133" 17 18 "MrsAllen"
"134" 15 19 "AnneThorpe"
"135" 18 19 "CaptainFrederickTilney"
"136" 17 19 "CatherineMorland"
"137" 18 19 "IsabellaThorpe"
"138" 18 19 "JamesMorland"
"139" 18 19 "JohnThorpe"
"140" 15 19 "MariaThorpe"
"141" 18 19 "MrHenryTilney"
"142" 16 19 "MrsThorpe"
"143" 19 20 "CaptainFrederickTilney"
"144" 19 20 "CatherineMorland"
"145" 17 20 "EleanorTilney"
"146" 17 20 "GeneralTilney"
"147" 19 20 "IsabellaThorpe"
"148" 17 20 "MrAllen"
"149" 19 20 "MrHenryTilney"
"150" 18 20 "MrsAllen"
"151" 13 20 "William"
"152" 20 21 "CatherineMorland"
"153" 20 21 "EleanorTilney"
"154" 20 21 "GeneralTilney"
"155" 20 21 "MrAllen"
"156" 20 21 "MrHenryTilney"
"157" 20 22 "CaptainFrederickTilney"
"158" 21 22 "CatherineMorland"
"159" 21 22 "EleanorTilney"
"160" 21 22 "MrAllen"
"161" 21 22 "MrHenryTilney"
"162" 20 22 "MrsAllen"
"163" 9 22 "MrsTilney"
"164" 22 23 "CatherineMorland"
"165" 22 23 "EleanorTilney"
"166" 22 23 "MrHenryTilney"
"167" 22 23 "MrsAllen"
"168" 22 23 "MrsTilney"
"169" 22 24 "CaptainFrederickTilney"
"170" 23 24 "CatherineMorland"
"171" 23 24 "EleanorTilney"
"172" 20 24 "IsabellaThorpe"
"173" 23 24 "MrHenryTilney"
"174" 23 24 "MrsTilney"
"175" 24 25 "CaptainFrederickTilney"
"176" 24 25 "EleanorTilney"
"177" 24 25 "IsabellaThorpe"
"178" 19 25 "JamesMorland"
"179" 19 25 "JohnThorpe"
"180" 24 25 "MrHenryTilney"
"181" 17 25 "MrRichardMorland"
"182" 23 25 "MrsAllen"
"183" 25 26 "CaptainFrederickTilney"
"184" 24 26 "CatherineMorland"
"185" 25 26 "EleanorTilney"
"186" 25 26 "IsabellaThorpe"
"187" 25 26 "MrHenryTilney"
"188" 26 27 "CaptainFrederickTilney"
"189" 16 27 "CharlesHodges"
"190" 26 27 "EleanorTilney"
"191" 26 27 "IsabellaThorpe"
"192" 25 27 "JamesMorland"
"193" 26 27 "MrHenryTilney"
"194" 27 28 "CaptainFrederickTilney"
"195" 26 28 "CatherineMorland"
"196" 27 28 "EleanorTilney"
