"id1" "id2" "label"
"AnneMitchell" "CaptainFrederickTilney" 1
"AnneMitchell" "CharlesHodges" 1
"AnneMitchell" "EleanorTilney" 1
"AnneMitchell" "IsabellaThorpe" 1
"AnneMitchell" "JamesMorland" 1
"AnneMitchell" "MrHenryTilney" 1
"AnneThorpe" "CaptainFrederickTilney" 2
"AnneThorpe" "CatherineMorland" 6
"AnneThorpe" "EdwardThorpe" 1
"AnneThorpe" "EleanorTilney" 4
"AnneThorpe" "Emily" 1
"AnneThorpe" "Freeman" 1
"AnneThorpe" "GeneralTilney" 1
"AnneThorpe" "GeorgeMorland" 1
"AnneThorpe" "IsabellaThorpe" 8
"AnneThorpe" "Jackson" 1
"AnneThorpe" "JamesMorland" 7
"AnneThorpe" "JohnThorpe" 8
"AnneThorpe" "MariaThorpe" 8
"AnneThorpe" "MissAndrews" 1
"AnneThorpe" "MrAllen" 7
"AnneThorpe" "MrHenryTilney" 6
"AnneThorpe" "MrsAllen" 7
"AnneThorpe" "MrsHughes" 2
"AnneThorpe" "MrsThorpe" 7
"AnneThorpe" "Sophia" 1
"AnneThorpe" "WilliamThorpe" 1
"CaptainFrederickTilney" "CatherineMorland" 7
"CaptainFrederickTilney" "CharlesHodges" 2
"CaptainFrederickTilney" "Dorothy" 1
"CaptainFrederickTilney" "EleanorTilney" 9
"CaptainFrederickTilney" "Emily" 1
"CaptainFrederickTilney" "GeneralTilney" 3
"CaptainFrederickTilney" "GeorgeMorland" 1
"CaptainFrederickTilney" "IsabellaThorpe" 10
"CaptainFrederickTilney" "JamesMorland" 7
"CaptainFrederickTilney" "JohnThorpe" 5
"CaptainFrederickTilney" "LadyAliceLongtown" 1
"CaptainFrederickTilney" "MariaThorpe" 2
"CaptainFrederickTilney" "MarquisofLongtown" 1
"CaptainFrederickTilney" "MrAllen" 4
"CaptainFrederickTilney" "MrHenryTilney" 11
"CaptainFrederickTilney" "MrRichardMorland" 2
"CaptainFrederickTilney" "MrsAllen" 6
"CaptainFrederickTilney" "MrsHughes" 1
"CaptainFrederickTilney" "MrsThorpe" 2
"CaptainFrederickTilney" "MrsTilney" 2
"CaptainFrederickTilney" "Sophia" 1
"CaptainFrederickTilney" "William" 1
"CaptainHunt" "IsabellaThorpe" 1
"CaptainHunt" "JamesMorland" 1
"CaptainHunt" "MissAndrews" 1
"CaptainHunt" "MrHenryTilney" 1
"CatherineMorland" "Dorothy" 1
"CatherineMorland" "EdwardThorpe" 1
"CatherineMorland" "EleanorTilney" 14
"CatherineMorland" "Emily" 1
"CatherineMorland" "Freeman" 1
"CatherineMorland" "GeneralCourteney" 1
"CatherineMorland" "GeneralTilney" 5
"CatherineMorland" "GeorgeMorland" 2
"CatherineMorland" "GeorgeParry" 1
"CatherineMorland" "HarrietMorland" 1
"CatherineMorland" "IsabellaThorpe" 14
"CatherineMorland" "Jackson" 1
"CatherineMorland" "JamesMorland" 13
"CatherineMorland" "JohnThorpe" 9
"CatherineMorland" "LadyAliceLongtown" 1
"CatherineMorland" "LittleRichardMorland" 2
"CatherineMorland" "MariaThorpe" 6
"CatherineMorland" "MarquisofLongtown" 2
"CatherineMorland" "MissAndrews" 1
"CatherineMorland" "MrAllen" 16
"CatherineMorland" "MrDrummond" 1
"CatherineMorland" "MrHenryTilney" 16
"CatherineMorland" "MrKing" 1
"CatherineMorland" "MrRichardMorland" 3
"CatherineMorland" "MrsAllen" 15
"CatherineMorland" "MrsHughes" 2
"CatherineMorland" "MrsThorpe" 6
"CatherineMorland" "MrsTilney" 4
"CatherineMorland" "SarahMoreland" 3
"CatherineMorland" "Sophia" 1
"CatherineMorland" "William" 1
"CatherineMorland" "WilliamThorpe" 1
"CharlesHodges" "EleanorTilney" 2
"CharlesHodges" "GeneralTilney" 1
"CharlesHodges" "IsabellaThorpe" 2
"CharlesHodges" "JamesMorland" 2
"CharlesHodges" "JohnThorpe" 1
"CharlesHodges" "MrHenryTilney" 2
"CharlesHodges" "MrsHughes" 1
"CharlesHodges" "MrsThorpe" 1
"Dorothy" "EleanorTilney" 1
"Dorothy" "GeneralTilney" 1
"Dorothy" "IsabellaThorpe" 1
"Dorothy" "MrAllen" 1
"Dorothy" "MrHenryTilney" 1
"Dorothy" "MrsAllen" 1
"Dorothy" "William" 1
"EdwardThorpe" "IsabellaThorpe" 1
"EdwardThorpe" "JamesMorland" 1
"EdwardThorpe" "JohnThorpe" 1
"EdwardThorpe" "MariaThorpe" 1
"EdwardThorpe" "MrAllen" 1
"EdwardThorpe" "MrHenryTilney" 1
"EdwardThorpe" "MrsAllen" 1
"EdwardThorpe" "MrsThorpe" 1
"EdwardThorpe" "WilliamThorpe" 1
"EleanorTilney" "Emily" 1
"EleanorTilney" "GeneralCourteney" 1
"EleanorTilney" "GeneralTilney" 10
"EleanorTilney" "GeorgeMorland" 2
"EleanorTilney" "HarrietMorland" 1
"EleanorTilney" "IsabellaThorpe" 18
"EleanorTilney" "JamesMorland" 15
"EleanorTilney" "JohnThorpe" 12
"EleanorTilney" "LadyAliceLongtown" 1
"EleanorTilney" "LittleRichardMorland" 1
"EleanorTilney" "MariaThorpe" 4
"EleanorTilney" "MarquisofLongtown" 2
"EleanorTilney" "MissAndrews" 1
"EleanorTilney" "MrAllen" 15
"EleanorTilney" "MrDrummond" 1
"EleanorTilney" "MrHenryTilney" 21
"EleanorTilney" "MrRichardMorland" 5
"EleanorTilney" "MrsAllen" 16
"EleanorTilney" "MrsHughes" 4
"EleanorTilney" "MrsThorpe" 7
"EleanorTilney" "MrsTilney" 4
"EleanorTilney" "SarahMoreland" 2
"EleanorTilney" "Sophia" 1
"EleanorTilney" "TheViscount" 1
"EleanorTilney" "William" 2
"Emily" "GeorgeMorland" 1
"Emily" "IsabellaThorpe" 1
"Emily" "JamesMorland" 1
"Emily" "JohnThorpe" 1
"Emily" "MariaThorpe" 1
"Emily" "MrAllen" 1
"Emily" "MrHenryTilney" 1
"Emily" "MrsAllen" 1
"Emily" "Sophia" 1
"Freeman" "IsabellaThorpe" 1
"Freeman" "Jackson" 1
"Freeman" "JamesMorland" 1
"Freeman" "JohnThorpe" 1
"Freeman" "MariaThorpe" 1
"Freeman" "MrAllen" 1
"Freeman" "MrsAllen" 1
"Freeman" "MrsThorpe" 1
"GeneralCourteney" "GeneralTilney" 1
"GeneralCourteney" "IsabellaThorpe" 1
"GeneralCourteney" "JamesMorland" 1
"GeneralCourteney" "MarquisofLongtown" 1
"GeneralCourteney" "MrAllen" 1
"GeneralCourteney" "MrHenryTilney" 1
"GeneralCourteney" "MrRichardMorland" 1
"GeneralCourteney" "MrsAllen" 1
"GeneralTilney" "GeorgeMorland" 1
"GeneralTilney" "HarrietMorland" 1
"GeneralTilney" "IsabellaThorpe" 9
"GeneralTilney" "JamesMorland" 7
"GeneralTilney" "JohnThorpe" 5
"GeneralTilney" "LadyAliceLongtown" 1
"GeneralTilney" "LittleRichardMorland" 1
"GeneralTilney" "MariaThorpe" 1
"GeneralTilney" "MarquisofLongtown" 2
"GeneralTilney" "MrAllen" 9
"GeneralTilney" "MrHenryTilney" 10
"GeneralTilney" "MrRichardMorland" 3
"GeneralTilney" "MrsAllen" 8
"GeneralTilney" "MrsHughes" 2
"GeneralTilney" "MrsThorpe" 4
"GeneralTilney" "SarahMoreland" 2
"GeneralTilney" "William" 2
"GeorgeMorland" "HarrietMorland" 2
"GeorgeMorland" "IsabellaThorpe" 2
"GeorgeMorland" "JamesMorland" 3
"GeorgeMorland" "JohnThorpe" 1
"GeorgeMorland" "LittleRichardMorland" 1
"GeorgeMorland" "MariaThorpe" 1
"GeorgeMorland" "MrAllen" 3
"GeorgeMorland" "MrHenryTilney" 2
"GeorgeMorland" "MrRichardMorland" 2
"GeorgeMorland" "MrsAllen" 2
"GeorgeMorland" "MrsThorpe" 1
"GeorgeMorland" "SarahMoreland" 2
"GeorgeMorland" "Sophia" 1
"GeorgeParry" "JamesMorland" 1
"GeorgeParry" "MrAllen" 1
"GeorgeParry" "MrsAllen" 1
"GeorgeParry" "SarahMoreland" 1
"HarrietMorland" "IsabellaThorpe" 1
"HarrietMorland" "JamesMorland" 2
"HarrietMorland" "LittleRichardMorland" 1
"HarrietMorland" "MrAllen" 2
"HarrietMorland" "MrHenryTilney" 1
"HarrietMorland" "MrRichardMorland" 2
"HarrietMorland" "MrsAllen" 1
"HarrietMorland" "MrsThorpe" 1
"HarrietMorland" "SarahMoreland" 2
"IsabellaThorpe" "Jackson" 1
"IsabellaThorpe" "JamesMorland" 19
"IsabellaThorpe" "JohnThorpe" 16
"IsabellaThorpe" "LadyAliceLongtown" 1
"IsabellaThorpe" "LittleRichardMorland" 1
"IsabellaThorpe" "MariaThorpe" 8
"IsabellaThorpe" "MarquisofLongtown" 2
"IsabellaThorpe" "MissAndrews" 2
"IsabellaThorpe" "MrAllen" 16
"IsabellaThorpe" "MrDrummond" 1
"IsabellaThorpe" "MrHenryTilney" 22
"IsabellaThorpe" "MrRichardMorland" 4
"IsabellaThorpe" "MrsAllen" 18
"IsabellaThorpe" "MrsHughes" 4
"IsabellaThorpe" "MrsThorpe" 11
"IsabellaThorpe" "MrsTilney" 2
"IsabellaThorpe" "SarahMoreland" 2
"IsabellaThorpe" "Sophia" 1
"IsabellaThorpe" "William" 2
"IsabellaThorpe" "WilliamThorpe" 1
"Jackson" "JamesMorland" 1
"Jackson" "JohnThorpe" 1
"Jackson" "MariaThorpe" 1
"Jackson" "MrAllen" 1
"Jackson" "MrsAllen" 1
"Jackson" "MrsThorpe" 1
"JamesMorland" "JohnThorpe" 15
"JamesMorland" "LadyAliceLongtown" 1
"JamesMorland" "LittleRichardMorland" 2
"JamesMorland" "MariaThorpe" 7
"JamesMorland" "MarquisofLongtown" 2
"JamesMorland" "MissAndrews" 2
"JamesMorland" "MrAllen" 15
"JamesMorland" "MrDrummond" 1
"JamesMorland" "MrHenryTilney" 18
"JamesMorland" "MrRichardMorland" 6
"JamesMorland" "MrsAllen" 16
"JamesMorland" "MrsHughes" 4
"JamesMorland" "MrsThorpe" 10
"JamesMorland" "MrsTilney" 1
"JamesMorland" "SarahMoreland" 4
"JamesMorland" "Sophia" 1
"JamesMorland" "TheViscount" 1
"JamesMorland" "William" 1
"JamesMorland" "WilliamThorpe" 1
"JohnThorpe" "LittleRichardMorland" 1
"JohnThorpe" "MariaThorpe" 8
"JohnThorpe" "MissAndrews" 1
"JohnThorpe" "MrAllen" 12
"JohnThorpe" "MrDrummond" 1
"JohnThorpe" "MrHenryTilney" 15
"JohnThorpe" "MrRichardMorland" 2
"JohnThorpe" "MrsAllen" 14
"JohnThorpe" "MrsHughes" 4
"JohnThorpe" "MrsThorpe" 10
"JohnThorpe" "MrsTilney" 1
"JohnThorpe" "SarahMoreland" 1
"JohnThorpe" "Sophia" 1
"JohnThorpe" "TheViscount" 1
"JohnThorpe" "William" 1
"JohnThorpe" "WilliamThorpe" 1
"LadyAliceLongtown" "MarquisofLongtown" 1
"LadyAliceLongtown" "MrAllen" 1
"LadyAliceLongtown" "MrHenryTilney" 1
"LadyAliceLongtown" "MrRichardMorland" 1
"LadyAliceLongtown" "MrsAllen" 1
"LittleRichardMorland" "MrAllen" 2
"LittleRichardMorland" "MrHenryTilney" 1
"LittleRichardMorland" "MrRichardMorland" 1
"LittleRichardMorland" "MrsAllen" 1
"LittleRichardMorland" "SarahMoreland" 2
"MariaThorpe" "MissAndrews" 1
"MariaThorpe" "MrAllen" 7
"MariaThorpe" "MrHenryTilney" 6
"MariaThorpe" "MrsAllen" 7
"MariaThorpe" "MrsHughes" 2
"MariaThorpe" "MrsThorpe" 7
"MariaThorpe" "Sophia" 1
"MariaThorpe" "WilliamThorpe" 1
"MarquisofLongtown" "MrAllen" 2
"MarquisofLongtown" "MrHenryTilney" 2
"MarquisofLongtown" "MrRichardMorland" 2
"MarquisofLongtown" "MrsAllen" 2
"MissAndrews" "MrAllen" 1
"MissAndrews" "MrHenryTilney" 1
"MissAndrews" "MrsAllen" 1
"MissAndrews" "MrsThorpe" 1
"MrAllen" "MrDrummond" 1
"MrAllen" "MrHenryTilney" 17
"MrAllen" "MrKing" 1
